"firm","lookup_firm","lookup_firm_web","firm_length","name_clnd","name_length","manual_fix","hit_url","hit_url_length","rank","matches","public","acquired_merged","Votes","Group","nano","green","synbio","count_all_ind","max_emps","size_state","sme","first_year","num_patents_all","num_patents_3","mean_assignees_all","mean_assignees_3","mean_inventors_all","mean_inventors_3"
"COVERIS FLEXIBLES US LLC","COVERIS FLEXIBLES US","COVERIS FLEXIBLES US",20,"Coveris - Official Site",23,NA,"coveris.com/",23,1,1,0,0,5,265,1,0,0,1,14,"FirmSize.SMALL_FIRM",1,2016,7,1,1,1,3.85714285714286,1
"Covidien LP","Covidien LP","Covidien LP",11,"Covidien LP: Private Company Information - Bloomberg",52,1,"",82,1,2,0,0,0,349,0,1,0,1,10687,"FirmSize.LARGE_FIRM",0,2010,3369,7,1.00445235975067,1,2.6286731967943,3.71428571428571
"CP KELCO APS","CP KELCO APS","CP KELCO APS",12,"CP Kelco - Official Site",24,NA,"cpkelco.com/",24,1,2,0,0,5,266,0,1,0,1,1249,"FirmSize.LARGE_FIRM",0,2002,15,2,1,1,2.33333333333333,2
"CP Kelco U.S.","CP Kelco US","CP Kelco US",11,"CP Kelco - Official Site",24,NA,"cpkelco.com/",24,1,2,0,0,5,267,0,0,1,1,1249,"FirmSize.LARGE_FIRM",0,2001,49,2,1.06122448979592,1,4.04081632653061,3
"CPC International Inc.","CPC","CPC",3,"CPC - Certified Professional Coder - Medical Coding ...",55,1,"",39,2,1,0,0,0,268,1,0,0,1,324,"FirmSize.US_MEDIUM_FIRM",1,1976,363,1,1.03856749311295,1,2.37465564738292,5
"CPT IP Holdings","CPT IP Holdings","CPT IP Holdings",15,"CPT Holdings, Inc.: Private Company Information - Bloomberg",59,1,"",79,1,2,0,0,0,269,1,0,1,2,13,"FirmSize.SMALL_FIRM",1,2016,1,2,1,2,3,6
"Cree","Cree","Cree",4,"Cree Inc. - Official Site",25,NA,"cree.com/",21,1,1,0,0,5,350,1,1,0,2,6387,"FirmSize.LARGE_FIRM",0,1988,2092,6,1.00621414913958,1,2.86615678776291,3.16666666666667
"Crepaco","Crepaco","Crepaco",NA,"Home of APV | SPX FLOW",22,1,"",31,1,0,0,0,4,351,1,0,0,1,3584,"FirmSize.LARGE_FIRM",0,1976,55,3,1.05454545454545,1,2.23636363636364,2.66666666666667
"Crestovo LLC","Crestovo","Crestovo",8,"Crestovo",8,NA,"crestovo.com/",24,1,1,0,0,5,352,1,0,0,1,0,"FirmSize.UNDEFINED",1,2015,31,1,1.12903225806452,1,2.19354838709677,2
"Cristal USA Inc.","Cristal USA","Cristal USA",11,"Cristal - Official Site",23,NA,"cristal.com/",23,1,1,0,0,5,353,1,0,0,1,150,"FirmSize.EU_MEDIUM_FIRM",1,2009,28,1,1,1,2.39285714285714,1
"Cross Match Technologies","Cross Match Technologies","Cross Match Technologies",24,"Crossmatch - Official Site",26,NA,"crossmatch.com/",27,1,2,0,0,5,354,1,0,0,1,273,"FirmSize.US_MEDIUM_FIRM",1,2000,74,2,1,1,2.35135135135135,2
"Crossbar","Crossbar","Crossbar",8,"ReRAM Memory | Crossbar",23,NA,"crossbar-inc.com/en/",32,1,1,1,0,5,355,1,0,0,1,73,"FirmSize.EU_MEDIUM_FIRM",1,1997,149,1,1,1,2.04697986577181,3
"Crystal Solar Inc.","Crystal Solar","Crystal Solar",13,"Crystal Solar",13,NA,"xtalsolar.com/",21,1,2,0,0,5,356,1,1,0,2,0,"FirmSize.US_MEDIUM_FIRM",1,2011,56,20,1,1.25,3.64285714285714,4
"Crystal Solar Incorporated","Crystal Solar","Crystal Solar",13,"Crystal Solar",13,NA,"xtalsolar.com/",21,1,2,0,0,5,357,1,1,0,2,0,"FirmSize.US_MEDIUM_FIRM",1,2011,56,20,1,1.25,3.64285714285714,4
"Crystalplex Corporation","Crystalplex","Crystalplex",11,"Crystalplex - Sapphire Quantum Dots > Home",42,NA,"crystalplex.com/",24,1,1,0,0,5,358,1,0,0,1,7,"FirmSize.MICRO_FIRM",1,2013,2,1,1,1,1.5,2
"CSEM Centre Suisse d'Electronique et de Microtechnique SA-Recherche et Developpement","CSEM Centre Suisse d'Electronique et de Microtechnique SA-Recherche et Developpement","CSEM Centre Suisse d'Electronique et de Microtechnique SA-Recherche et Developpement",84,"CSEM - CSEM SA",14,NA,"csem.ch/",20,1,2,0,0,3,270,1,1,0,2,0,"FirmSize.UNDEFINED",1,1995,67,1,1,1,2.58208955223881,3
"CUMMINS FILTRATION IP","CUMMINS FILTRATION IP","CUMMINS FILTRATION IP",21,"Select Region and Language | Cummins Filtration",47,NA,"cumminsfiltration.com/",34,1,2,0,0,5,271,1,0,0,1,153,"FirmSize.EU_MEDIUM_FIRM",1,2007,287,1,1.01742160278746,2,4.45644599303136,6
"Cura Vac","Cura Vac","Cura Vac",8,"Curavac | Therapeutic Vaccines for Autoimmune Diseases",54,NA,"curavac.com/",23,1,2,0,0,5,359,0,0,1,1,0,"FirmSize.UNDEFINED",1,2014,2,1,1,1,2,2
"Custom Electronics Inc.","Custom Electronics","Custom Electronics",18,"customelec",10,NA,"customelec.com/#!",29,1,1,0,0,5,360,1,0,0,1,3,"FirmSize.MICRO_FIRM",1,2015,2,1,1,1,1,1
"CYBERCITY 3D","CYBERCITY 3D","CYBERCITY 3D",12,"cybercity-3d-website",20,NA,"cybercity3d.com/",27,1,2,0,0,5,272,0,1,0,1,12,"FirmSize.SMALL_FIRM",1,2017,1,1,1,1,2,2
"Cyberonics","Cyberonics","Cyberonics",10,"Medical Device Company - VNS, Vagus Nerve Stimulation ...",57,NA,"livanova.cyberonics.com/",35,1,0,0,0,5,361,0,0,1,1,3,"FirmSize.MICRO_FIRM",1,1987,236,1,1.04237288135593,1,2.3728813559322,3
"CyboEnergy","CyboEnergy","CyboEnergy",10,"CyboEnergy",10,NA,"cyboenergy.com/",26,1,1,0,0,5,362,0,1,0,1,6,"FirmSize.MICRO_FIRM",1,2014,8,4,1,1,2.375,2.5
"CYKL Technology","CYKL Technology","CYKL Technology",15,"CYKL TECHNOLOGY, INC. / Kelly Deanna B",38,1,"",72,1,2,0,0,1,273,1,0,0,1,14,"FirmSize.SMALL_FIRM",1,1990,3,1,1,1,2,3
"Cymatics Laboratories Corp.","Cymatics Laboratories Corp","Cymatics Laboratories Corp",26,"Cymatics Laboratories Corp 425 N Craig St Ste 200 ...",53,1,"",81,3,3,0,0,0,363,1,0,0,1,4,"FirmSize.MICRO_FIRM",1,2013,3,1,1,1,3,2
"Cypress Semiconductor Corp.","Cypress Semiconductor Corp","Cypress Semiconductor Corp",26,"Cypress Semiconductor - Official Site",37,NA,"cypress.com/",23,1,2,0,0,5,364,1,0,0,1,6099,"FirmSize.LARGE_FIRM",0,1987,2776,22,1.0028818443804,1,2.2056916426513,2.45454545454545
"D-Wave Systems Inc.","D-Wave Systems","D-Wave Systems",14,"D-Wave Systems",14,NA,"dwavesys.com/",25,1,3,0,0,5,365,1,0,0,1,184,"FirmSize.EU_MEDIUM_FIRM",1,1984,169,1,1.01183431952663,1,3.01775147928994,7
"Da Yu Enterprises","Da Yu Enterprises LLC","Da Yu Enterprises",17,"Da Yu Protein Sciences - Da Yu Enterprises",42,NA,"dayuenterprises.com/",27,1,3,0,0,5,378,0,0,0,0,0,"FirmSize.UNDEFINED",1,2007,2,1,1,1,1,1
"Daikin Industries","Daikin Industries","Daikin Industries",17,"Daikin - Official Site",22,NA,"daikin.com/",22,1,1,0,0,5,379,0,1,0,1,63252,"FirmSize.LARGE_FIRM",0,1985,2457,1,1.06715506715507,1,3.12128612128612,5
"Dana Corporation","Dana","Dana",4,"Dana Incorporated - Official Site",33,NA,"dana.com/",20,1,1,0,0,5,380,0,1,1,2,27500,"FirmSize.LARGE_FIRM",0,1976,1653,2,1.00423472474289,2,1.7664851784634,10
"Dana-Farber Cancer Institute","Dana-Farber Cancer Institute","Dana-Farber Cancer Institute",28,"Dana-Farber Cancer Institute - Cancer Treatment and ...",55,NA,"dana-farber.org/",28,1,4,0,0,3,381,1,0,1,2,69000,"FirmSize.LARGE_FIRM",0,1984,498,2,1.49598393574297,4.5,3.33333333333333,5.5
"Danisco US Inc.","Danisco US","Danisco US",10,"Danisco - Official Site",23,NA,"danisco.com/food-beverages/",38,1,1,0,0,3,382,0,0,1,1,4076,"FirmSize.LARGE_FIRM",0,2004,329,5,1.13981762917933,1.4,4.74772036474164,4.4
"Daylight Solutions","Daylight Solutions","Daylight Solutions",18,"Daylight Solutions - Official Site",34,NA,"daylightsolutions.com/",34,1,2,0,0,5,383,1,0,0,1,118,"FirmSize.EU_MEDIUM_FIRM",1,2008,36,1,1,1,2.69444444444444,2
"DCG SYSTEMS","DCG SYSTEMS","DCG SYSTEMS",11,"DCG Systems, Inc.: Private Company Information - Bloomberg",58,1,"",81,2,2,0,0,0,366,1,0,0,1,105,"FirmSize.EU_MEDIUM_FIRM",1,1978,497,1,1.00804828973843,1,3.15492957746479,5
"DECA Technologies Inc.","DECA Technologies","DECA Technologies",17,"Deca electronics interconnect & semiconductor packaging ...",59,NA,"decatechnologies.com/",32,1,1,0,0,5,367,1,0,0,1,318,"FirmSize.US_MEDIUM_FIRM",1,1986,50,1,1,1,1.98,2
"Deep Science","Deep Science","Deep Science",12,"Active Video Monitoring | Deep Science",38,NA,"deepscience.ai/",22,1,2,0,0,5,385,1,0,0,1,34,"FirmSize.SMALL_FIRM",1,2016,19,1,1,1,5.42105263157895,6
"Deep Well Power","Deep Well Power","Deep Well Power",15,"Deep Well Power LLC: Private Company Information - Bloomberg",60,1,"",82,1,3,0,0,0,386,0,1,0,1,164,"FirmSize.EU_MEDIUM_FIRM",1,2016,1,1,1,1,1,1
"DEKA Products Limited Partnership","DEKA Products Limited Partnership","DEKA Products Limited Partnership",33,"DEKA - Official Site",20,NA,"dekaresearch.com/",28,1,1,0,0,4,368,1,0,0,1,559,"FirmSize.LARGE_FIRM",0,1992,600,1,1,1,3.98666666666667,7
"Delavau LLC","Delavau","Delavau",7,"Delavau Food Partners | Bakery Formulation Troubleshooting ...",62,NA,"delavaufood.com/",27,1,1,0,0,5,387,0,1,0,1,15,"FirmSize.SMALL_FIRM",1,2007,45,1,1,1,3.22222222222222,2
"Dell Software Inc.","Dell Software","Dell Software",13,"Dell - Official Site",20,NA,"quest.com",26,2,1,0,1,2,388,0,0,1,1,8988,"FirmSize.LARGE_FIRM",0,2013,150,1,1,1,2.76666666666667,1
"Delphi Technologies","Delphi Technologies","Delphi Technologies",19,"The New Delphi Technologies",27,NA,"delphi.com/new-delphi-technologies",46,1,2,0,0,2,389,1,1,0,2,19000,"FirmSize.LARGE_FIRM",0,1991,5038,2,1.0174672489083,1,2.71476776498611,3.5
"Delta Electronics","Delta Electronics","Delta Electronics",17,"Welcome to Delta Group",22,NA,"deltaww.com/",23,1,1,0,0,5,390,1,1,0,2,17190,"FirmSize.LARGE_FIRM",0,1977,1948,5,1.02053388090349,1,2.67145790554415,1.4
"Denso Corporation","Denso","Denso",5,"DENSO Global Website",20,NA,"denso.com/global/en/",32,1,1,0,0,3,391,1,1,1,3,10728,"FirmSize.LARGE_FIRM",0,1976,12900,19,1.16100775193798,1.47368421052632,2.66821705426357,3.10526315789474
"Dentsply International","Dentsply","Dentsply",8,"Dentsply Sirona | Corporate",27,NA,"corporate.dentsplysirona.com/en.html",44,1,1,0,0,2,392,1,0,1,2,8150,"FirmSize.LARGE_FIRM",0,1985,207,3,1.0048309178744,1,2.33333333333333,4.66666666666667
"Deployable Space Systems","Deployable Space Systems","Deployable Space Systems",24,"Deployable Space Systems",24,NA,"dss-space.com/",25,1,3,0,0,5,393,0,1,0,1,19,"FirmSize.SMALL_FIRM",1,2014,13,3,1,1,3.07692307692308,3
"DePuy Synthes Products","DePuy Synthes Products","DePuy Synthes Products",22,"Innovative Medical Devices & Solutions | DePuy Synthes ...",58,NA,"depuysynthes.com/",29,1,2,0,0,5,384,0,0,1,1,7610,"FirmSize.LARGE_FIRM",0,2013,1096,2,1.02098540145985,1,3.29835766423358,5.5
"Dermazone Solutions","Dermazone Solutions","Dermazone Solutions",19,"Dermazone Solutions",19,NA,"dermazone.com/",21,1,2,0,0,5,394,1,0,0,1,11,"FirmSize.SMALL_FIRM",1,2013,6,2,1,1,1,1
"Dexerials Corporation","Dexerials","Dexerials",9,"Dexerials",9,NA,"dexerials.jp/en/",27,1,1,0,0,5,395,1,0,0,1,1003,"FirmSize.LARGE_FIRM",0,1993,185,7,1.01081081081081,1,3.04864864864865,2.71428571428571
"DHPC TECHNOLOGIES","DHPC TECHNOLOGIES","DHPC TECHNOLOGIES",17,"DHPC Technologies - Official Site",33,NA,"dhpctech.com/",24,1,2,0,0,5,369,1,0,0,1,140,"FirmSize.EU_MEDIUM_FIRM",1,2016,2,2,1,1,3,3
"Dialight Corporation","Dialight","Dialight",8,"Dialight - Official Site",24,NA,"dialight.com/",25,1,1,0,0,5,396,1,0,0,1,1139,"FirmSize.LARGE_FIRM",0,1990,100,1,1,1,2.37,5
"Dialogic Corporation","Dialogic","Dialogic",8,"Dialogic - Cloud-Optimized Real-Time Communications Solutions",61,NA,"dialogic.com/",25,1,1,0,0,5,397,1,0,0,1,893,"FirmSize.LARGE_FIRM",0,1978,130,1,1,1,1.95384615384615,2
"Diamicron","Diamicron","Diamicron",9,"DIAMICRON 60 MG MR TABLETS | Drugs.com",38,1,"",64,1,1,0,0,1,398,0,0,1,1,30,"FirmSize.SMALL_FIRM",1,1985,43,1,1,1,5.62790697674419,4
"Diamond Innovations","Diamond Innovations","Diamond Innovations",19,"Hyperion",8,NA,"hyperionmt.com/",27,1,0,0,0,5,399,1,0,0,1,2000,"FirmSize.LARGE_FIRM",0,2004,79,1,1.0379746835443,1,2.63291139240506,2
"DIC Corporation","DIC","DIC",3,"Dictionary.com - Official Site",30,NA,"dictionary.com/",27,1,1,0,0,4,370,1,0,0,1,20628,"FirmSize.LARGE_FIRM",0,1977,587,8,1.10902896081772,1.125,3.01533219761499,3.75
"Digital Wind Systems","Digital Wind Systems","Digital Wind Systems",20,"Digital Wind Farm & Digital Wind Systems - ge.com",49,1,"",75,1,3,0,1,1,400,0,1,0,1,0,"FirmSize.UNDEFINED",1,2015,5,1,1,1,1,1
"DiscoveRx Corporation","DiscoveRx","DiscoveRx",9,"DiscoverX Solutions for Drug Discovery",38,NA,"discoverx.com/home",26,1,1,0,0,5,401,0,0,1,1,138,"FirmSize.EU_MEDIUM_FIRM",1,1987,30,1,1,1,2.63333333333333,3
"DISCOVERYBIOMED INC.","DISCOVERYBIOMED","DISCOVERYBIOMED",15,"Home - Discovery Biomed",23,NA,"discoverybiomed.com/",28,1,0,0,0,5,371,0,0,1,1,5,"FirmSize.MICRO_FIRM",1,2015,3,2,1,1,3,2.5
"Disney Enterprises","Disney Enterprises","Disney Enterprises",18,"The Walt Disney Company - Official Site",39,NA,"thewaltdisneycompany.com/",37,1,1,0,0,5,402,1,0,0,1,133000,"FirmSize.LARGE_FIRM",0,1998,1266,1,1.03001579778831,1,3.09952606635071,3
"DNA Twopointo","DNA Twopointo","DNA Twopointo",13,"ATUM | Bioengineering Solutions",31,NA,"atum.bio/",21,1,0,0,0,5,372,0,0,1,1,33,"FirmSize.SMALL_FIRM",1,2009,16,1,1,1,2.625,3
"DNA2.0","DNA20","DNA20",5,"ATUM | Bioengineering Solutions",31,NA,"atum.bio/",21,1,0,0,0,5,373,0,0,1,1,33,"FirmSize.SMALL_FIRM",1,1977,40,4,1.175,1,2.1,4
"Dogwood Pharmaceuticals","Dogwood Pharmaceuticals","Dogwood Pharmaceuticals",23,"Dogwood Pharmaceuticals, Inc.: Private Company Information ...",62,1,"",82,1,2,0,0,0,403,0,0,1,1,3,"FirmSize.MICRO_FIRM",1,1991,21,1,1,1,3.38095238095238,9
"Dolby Laboratories Licensing Corporation","Dolby Laboratories Licensing","Dolby Laboratories Licensing",28,"Apply for a Dolby Consumer or Professional License",50,NA,"dolby.com/us/en/professional/licensing.html",55,1,1,0,0,1,404,1,0,0,1,2151,"FirmSize.LARGE_FIRM",0,1981,941,2,1.04144527098831,1,2.45802337938363,1.5
"Domtar Paper Company","Domtar Paper Company","Domtar Paper Company",20,"Domtar | The Sustainable Pulp, Paper and Personal Care Company",62,NA,"domtar.com/en",25,1,3,0,0,5,405,1,0,0,1,61,"FirmSize.EU_MEDIUM_FIRM",1,2016,1,1,1,1,3,3
"Dongbu Hitek Co.","Dongbu Hitek Co","Dongbu Hitek Co",15,"DB HiTek Co., Ltd. Company Profile | Key Contacts ...",53,1,"",103,1,2,0,1,0,406,1,0,0,1,4,"FirmSize.MICRO_FIRM",1,2007,860,1,1.00116279069767,1,1.21395348837209,3
"Dow AgroSciences LLC","Dow AgroSciences","Dow AgroSciences",16,"Dow AgroSciences - Official Site",32,NA,"dowagro.com/en-us/",29,1,2,0,0,5,407,0,1,1,2,15,"FirmSize.SMALL_FIRM",1,1998,915,10,1.07213114754098,1.1,5.5672131147541,5.3
"Dow Corning Corporation","Dow Corning","Dow Corning",11,"Dow Corning Integration | The Dow Chemical Company",50,NA,"dow.com/en-us/dow-corning-integration",49,1,2,0,0,1,408,1,0,1,2,46200,"FirmSize.LARGE_FIRM",0,1976,2776,5,1.06844380403458,1,2.58177233429395,2.8
"Dow Global Technologies Inc.","Dow Global Technologies","Dow Global Technologies",23,"Dow Chemical Company - Official Site",36,NA,"dow.com/en-us",25,1,1,0,0,5,409,1,1,1,3,46200,"FirmSize.LARGE_FIRM",0,2002,2475,21,1.10343434343434,1.33333333333333,4.05212121212121,4.09523809523809
"Dow Technology Investments LLC","Dow Technology Investments","Dow Technology Investments",26,"Dow Chemical Company - Official Site",36,NA,"dow.com/en-us",25,2,1,0,0,2,410,0,0,1,1,46200,"FirmSize.LARGE_FIRM",0,2009,65,1,1.03076923076923,1,4.49230769230769,3
"DPD","DPD","DPD",3,"DPD Tracking",12,1,"",28,2,1,0,0,0,374,1,0,0,1,4,"FirmSize.MICRO_FIRM",1,1985,67,3,1.02985074626866,1,1.82089552238806,2
"DPx Holdings B.V.","DPx Holdings BV","DPx Holdings BV",15,"DPx Holdings B.V.: Private Company Information - Bloomberg",58,1,"",82,1,2,0,0,0,375,0,1,0,1,37,"FirmSize.SMALL_FIRM",1,2015,10,1,1,1,3.6,3
"Dr. Reddy's Laboratories Ltd.","Dr Reddy's Laboratories","Dr Reddy's Laboratories",23,"Dr. Reddy's Laboratories - Official Site",40,NA,"drreddys.com/",24,1,4,0,0,5,411,1,0,0,1,14705,"FirmSize.LARGE_FIRM",0,2003,201,1,1.72139303482587,1,5.35323383084577,5
"Dresser-Rand Company","Dresser-Rand Company","Dresser-Rand Company",20,"Dresser-Rand Group - Official Site",34,NA,"dresser-rand.com/",28,1,2,0,0,5,412,0,1,0,1,4597,"FirmSize.LARGE_FIRM",0,1988,286,1,1.01048951048951,1,1.87762237762238,1
"DRS Network & Imaging Systems","DRS Network &#x26; Imaging Systems","DRS Network & Imaging Systems",29,"Welcome to LeonardoDRS.com | Leonardo DRS",41,NA,"leonardodrs.com/",23,1,1,1,0,5,376,0,0,0,0,3682,"FirmSize.LARGE_FIRM",0,2015,24,4,1,1,2.95833333333333,2
"DSP Group LTD.","DSP Group","DSP Group",9,"DSP Group - Official Site",25,NA,"dspg.com/",21,1,2,1,0,5,377,1,0,0,1,783,"FirmSize.LARGE_FIRM",0,1989,107,1,1,1,2.10280373831776,4
"DuPont Teijin Films U.S. Limited Partnership","DuPont Teijin Films US Limited Partnership","DuPont Teijin Films US Limited Partnership",42,"DuPont Teijin Films - Top Global Producers of PET & PEN ...",59,NA,"usa.dupontteijinfilms.com/",34,1,3,0,0,1,413,1,0,0,1,213,"FirmSize.EU_MEDIUM_FIRM",1,2001,66,2,1.01515151515152,1,2.78787878787879,2
"Dymax Corporation","Dymax","Dymax",5,"Dymax Corporation - Official Site",33,NA,"dymax.com/",18,1,1,0,0,5,414,0,0,1,1,191,"FirmSize.EU_MEDIUM_FIRM",1,1978,49,2,1,1,2,3
"Dynamic Solutions Worldwide","Dynamic Solutions Worldwide","Dynamic Solutions Worldwide",27,"DynaTrap 3-Way Insect Control | DynaTrap",40,NA,"dynatrap.com/",21,1,0,0,0,5,415,0,1,0,1,23,"FirmSize.SMALL_FIRM",1,2014,4,1,1,1,1,1
"E Ink Corporation","E Ink","E Ink",5,"E Ink  Creativity on Display",28,NA,"eink.com/",17,1,2,0,0,5,416,1,0,0,1,516,"FirmSize.LARGE_FIRM",0,1978,323,3,1.02476780185759,1,4.40866873065016,2
"E. I. du Pont de Nemours and Company duPont Displays Inc","E I du Pont de Nemours and Company duPont Displays","E I du Pont de Nemours and Company duPont Displays",50,"DuPont - Official Site",22,NA,"dupont.com/",22,1,5,0,0,3,418,1,0,0,1,44000,"FirmSize.LARGE_FIRM",0,2010,2,1,1,1,3,3
"E. Tech Incorporation","E Techorporation","E Techorporation",16,"Terra Tech Corp. (TRTC)",23,NA,"terratechcorp.com/",30,1,1,0,0,5,419,0,1,1,2,0,"FirmSize.UNDEFINED",1,2007,3,4,1,2,4,10
"Easel Biotechnologies","Easel Biotechnologies","Easel Biotechnologies",21,"Easel Biotechnologies, LLC. | Pioneering strategies to ...",58,NA,"easelbio.com/",24,1,2,1,0,5,432,0,0,1,1,311,"FirmSize.US_MEDIUM_FIRM",1,2015,3,1,1,1,3,3
"Eastman Chemical Company","Eastman Chemical Company","Eastman Chemical Company",24,"Eastman Chemical Company - Official Site",40,NA,"eastman.com/Pages/Home.aspx",39,1,3,0,0,5,433,1,1,1,3,14000,"FirmSize.LARGE_FIRM",0,1992,1678,4,1.00417163289631,1,3.32061978545888,5.5
"Eastman Kodak Company","Eastman Kodak Company","Eastman Kodak Company",21,"Science, Art and Industry | Kodak",33,NA,"kodak.com/us/en/corp/default.htm",44,1,1,1,0,4,434,1,0,1,2,13100,"FirmSize.LARGE_FIRM",0,1976,21414,10,1.00154104791258,1,2.38152178990144,3.2
"Eaton Corporation","Eaton","Eaton",5,"EATON Powering Business Worldwide",33,NA,"eaton.com/us/en-us.html",34,1,1,0,0,2,435,1,1,0,2,96000,"FirmSize.LARGE_FIRM",0,1976,5868,2,1.0040899795501,1,2.22464632691324,2.5
"Echogen Power Systems","Echogen Power Systems","Echogen Power Systems",21,"Echogen Power Systems - Waste Heat Recovery Power Generation",60,NA,"echogen.com/",24,1,3,0,0,5,437,0,1,0,1,20,"FirmSize.SMALL_FIRM",1,2011,24,1,1,1,2.41666666666667,1
"EchoStar Technologies LLC","EchoStar Technologies","EchoStar Technologies",21,"EchoStar - Official Site",24,NA,"echostar.com/",25,1,1,1,0,5,436,0,1,0,1,2050,"FirmSize.LARGE_FIRM",0,2006,679,1,1.01472754050074,1,1.95139911634757,4
"Ecolab Inc.","Ecolab","Ecolab",6,"Ecolab - Official Site",22,NA,"ecolab.com/",23,1,1,0,0,5,438,1,0,0,1,48400,"FirmSize.LARGE_FIRM",0,1987,1474,3,1.0033921302578,1,3.43856076035302,4.66666666666667
"ECOSYNTHETIX LTD.","ECOSYNTHETIX","ECOSYNTHETIX",12,"Welcome to EcoSynthetix | EcoSynthetix",38,NA,"ecosynthetix.com/",24,1,1,0,0,5,421,1,0,0,1,30,"FirmSize.SMALL_FIRM",1,2001,13,1,1,1,3.23076923076923,3
"Ecovative Design","Ecovative Design","Ecovative Design",16,"Ecovative Design - Official Site",32,NA,"ecovativedesign.com/",32,1,2,0,0,5,439,0,0,1,1,70,"FirmSize.EU_MEDIUM_FIRM",1,2011,8,1,1,1,2.375,2
"Egenera","Egenera","Egenera",7,"Egenera - Official Site",23,NA,"egenera.com/",24,1,1,0,0,5,440,1,0,0,1,174,"FirmSize.EU_MEDIUM_FIRM",1,2005,24,1,1,1,4.45833333333333,3
"Eisai Co.","Eisai Co","Eisai Co",8,"Eisai Co., Ltd.",15,NA,"eisai.com/index.html",32,1,2,0,0,5,441,0,1,0,1,10438,"FirmSize.LARGE_FIRM",0,1976,659,1,1.10166919575114,2,6.77389984825493,2
"ELC Management LLC","ELC Management","ELC Management",14,"Elc Management LLC Company Profile | Key Contacts ...",53,1,"",102,1,2,0,0,0,422,1,0,0,1,50,"FirmSize.EU_MEDIUM_FIRM",1,1999,257,1,1.00389105058366,1,2.87937743190661,2
"Elcriton","Elcriton","Elcriton",8,"Elcriton Inc. | United States Startup - gust.com",48,1,"",40,3,1,0,0,0,442,0,0,1,1,4,"FirmSize.MICRO_FIRM",1,2016,1,1,1,1,2,2
"ElectraTherm","ElectraTherm","ElectraTherm",12,"ElectraTherm",12,NA,"electratherm.com/",25,1,1,0,0,5,443,0,1,0,1,24,"FirmSize.SMALL_FIRM",1,1976,25,1,1,1,1.48,3
"Electrix","Electrix","Electrix",8,"Electrix Illumination - Commercial & Architectural LED ...",58,NA,"electrixillumination.com/",37,1,1,0,0,3,444,0,1,0,1,40100,"FirmSize.LARGE_FIRM",0,1986,17,1,1,1,1.29411764705882,4
"Electronic Warfare Associates","Electronic Warfare Associates","Electronic Warfare Associates",29,"EWA - Electronic Warfare Associates",35,NA,"ewa.com/",15,1,3,0,0,5,445,1,0,0,1,353,"FirmSize.US_MEDIUM_FIRM",1,1988,19,1,1.05263157894737,1,2.36842105263158,2
"Electrovaya Inc.","Electrovaya","Electrovaya",11,"Electrovaya - Official Site",27,NA,"electrovaya.com/",23,1,1,0,0,5,446,1,0,0,1,37,"FirmSize.SMALL_FIRM",1,1979,10,1,1,1,2.8,4
"Element One","Element One","Element One",11,"ELEMENT ONE - Monitor Factory",29,NA,"elementonescreens.com/",29,1,2,0,0,5,447,1,0,0,1,16,"FirmSize.SMALL_FIRM",1,2013,3,1,1,1,2.66666666666667,3
"Elenion Technologies","Elenion Technologies","Elenion Technologies",20,"Elenion Technologies",20,NA,"elenion.com/",20,1,2,0,0,5,448,1,0,0,1,55,"FirmSize.EU_MEDIUM_FIRM",1,2017,10,1,1,1,3.1,4
"Elwha LLC","Elwha","Elwha",5,"Lower Elwha Klallam Tribe",25,NA,"elwha.org/",22,2,1,0,0,3,449,1,0,0,1,108,"FirmSize.EU_MEDIUM_FIRM",1,2013,676,2,1,1,7.70710059171598,6.5
"Em-Tech LLC","Em-Tech","Em-Tech",7,"Emtech, Inc.",12,NA,"em-techinc.com/",26,1,2,0,0,5,450,0,1,1,2,10,"FirmSize.SMALL_FIRM",1,2002,8,2,1,2,2.125,8
"Embro Corporation","Embro","Embro",5,"6 Things You Didnt Know about Embro - bicycling.com",51,1,"",82,2,1,0,0,0,451,1,0,0,1,5,"FirmSize.MICRO_FIRM",1,1977,260,2,1.01153846153846,1,2.82692307692308,3
"EMC Corporation","EMC","EMC",3,"EMC Insurance Companies",23,NA,"emcins.com/",23,2,1,0,0,2,423,1,0,1,2,72000,"FirmSize.LARGE_FIRM",0,1976,5181,5,1.00714147847906,1,3.01254584057132,3.4
"EMD Technologies Inc.","EMD Technologies","EMD Technologies",16,"emd technologies",16,NA,"emd-technologies.com/",32,1,2,0,0,5,424,0,1,0,1,2912,"FirmSize.LARGE_FIRM",0,1987,135,1,1,1,2.4,5
"Empire Technology Development LLC","Empire Technology Development","Empire Technology Development",29,"Empire Technical Development LLC - Home",39,NA,"empirelabauto.com/index.html",39,1,2,0,0,2,452,1,1,1,3,3,"FirmSize.MICRO_FIRM",1,2010,1396,17,1.00071633237822,1,1.43194842406877,1.41176470588235
"Energen","Energen","Energen",7,"Energen - Official Site",23,NA,"energen.com/",23,1,1,0,0,5,453,1,1,0,2,390,"FirmSize.US_MEDIUM_FIRM",1,2001,17,2,1,1,2,1.5
