count(epa.id),lookup_firm
1,"Tau Therapeutics"
1,"Ojai Retinal Technology"
1,"Scientific Design Company"
2,"Foret Plasma Labs"
1,"Roche Innovation Center Copenhagen A/S"
2,Dana
4,DNA20
1,Nanostatics
1,"Global Solar Water Power Systems"
1,Landauer
1,HTS
1,"Starsource Scientific"
1,"Rillito Rive Solar"
1,CA
1,"Daylight Solutions"
1,"Siemens Medical Solutions USA"
1,ATTOSTAT
1,"Toshiba Tec Kabushiki Kaisha"
2,"Nestec S A"
2,"Solvay Specialty Polymers USA"
2,"Simple Approach Systems"
1,Alcotek
1,"Chevron Oronitz Company"
1,"Lux Bio Group"
1,"Turf Group"
1,"PLYCEM USA"
1,"Wave Energy Conversion of America"
1,Newport
4,"VERILY LIFE SCIENCES"
1,"Angaza Design"
2,Solan
1,"Bosch Energy Storage Solutions"
1,"Cardiva Medical"
1,"Forest Concepts"
8,"Ford Global Technologies"
2,"POSiFA MICROSYSTEMS"
4,"Southwest Research Institute"
1,"Pioneer Energy"
1,"Incyte Holdings"
1,Exatec
1,"Building Envelope Innovations"
2,Em-Tech
1,Genisphere
1,"California Industrial Facilities Resources"
1,"Terra Caloric"
1,"Biocare Medical"
1,"Samsung Corning Precision Materials Co"
1,"Panasonic Intellectual Property of America"
2,"Ostendo Technologies"
3,Entegris
5,TetraSun
2,"Truckee Applied Genomics"
1,"Aurora Alage"
1,"Biosense Webster (Israel)"
1,"Dogwood Pharmaceuticals"
1,"Dr Reddy's Laboratories"
1,"Siluria Technologies"
2,Voxtel
1,Canon
1,bioTheranostics
1,"APPLIED MATERIALS ISRAEL"
1,"Pendar Technologies"
1,Kansei
1,"Coriant Advanced Technology"
1,"540 Grid Solutions"
1,"EchoStar Technologies"
1,"GOOGLE TECHNOLOGY HOLDINGS"
1,"Professional Compounding Centers of America"
1,"Allison Transmission"
1,"Imperial Innovations Limited"
2,"Columbia Insurance Company"
1,"Enginuity Worldwide"
1,"SHOW ME ENERGY"
1,"Sierra Sciences"
2,GLYCON
1,"Performance Plants"
1,"HNO Greenfuels"
1,"Digital Wind Systems"
1,"Kulite Semiconductor Products"
1,ROM
1,"EMD Technologies"
1,"Advanced Cardiovascular Systems"
1,"Alcon Research"
1,BTPATENT
1,"Akron Polymer Systems"
1,"SNS NANO FIBER TECHNOLOGY"
1,"New Technology Ventures"
1,"Matrix Odyssey"
1,"Michigan Biotechnology Institute"
1,"MIETAMARK GENETICS"
2,Cleanvantage
1,"PeterBrod Corp"
1,"Wyatt Technology"
2,"ASTUTE MEDICAL"
8,"Momentive Performance Materials"
1,"Coactive Drive"
1,ServiceNow
3,"AIR PRODUCTS AND CHEMICALS"
2,"Express Imaging Systems"
1,"Universal Leaf Tobacco Co"
1,Diamicron
1,Neumedicines
1,"BHA Technologies"
1,"Theraclone Sciences"
1,Kamtec
1,"US Smokeless Tobacco Company"
2,"Dolby Laboratories Licensing"
1,"SK Telecom Co"
1,"Carl Zeiss Microscopy"
1,"Dell Software"
1,"Deep Science"
1,"SixPoint Materials"
1,"Pinnacle Technology"
1,GOSOLARLIFE
1,"ARBOR THERAPEUTICS"
1,"Child Laboratories"
1,"Therapeutic Proteins"
1,"SEIKO NPC"
1,"Ecovative Design"
1,"Nationwide Children's Hospital"
1,II-VI
1,"Precision Custom Coatings"
1,AFMODEL
1,Atleisure
1,"Eisai Co"
1,"Litron Laboratories Limited"
1,Altivera
1,Cavium
3,"E Ink"
1,"SYNTHOMER USA"
1,Ambature
2,AT&T
1,Ma-West
1,"Neural Signals"
1,"Milliken & Company"
1,"CNH Industrial America"
1,"ADVANCED INNOVATION CENTER"
1,"Transitions Optical"
1,"Greyrock Energy"
1,"Advanced Technology Materials"
2,Codexis
1,"All Power Labs"
2,"U S MICROPOWER"
1,"SB ENERGY"
2,"PTC Therapeutics"
1,Lumenco
1,Kureha
3,"Rockwell Collins"
1,"Sustainable Technologies"
1,"Smith &#x26; Nephew"
1,"Tarveda Therapeutics"
1,"Angstron Materials"
2,"Verliant Energy"
1,"Kinestral Technologies"
1,"Community Power"
1,Evri
1,Anterios
1,"Copernicus Therapeutics"
1,"Interface Performance Materials"
1,"Global Filtration Systems"
1,"Watlow Electric Manufacturing Company"
1,"GE Healthcare Limited"
1,"LIQUID X PRINTED METALS"
1,"Praxair ST Technology"
1,Traex
1,FHT
1,"Quest Diagnostics Investments"
1,WOVN
1,"Global Eagle Entertainment"
1,fybr
1,Qualsig
1,"Sanyo Electric Co"
1,SunEdison
1,"TIME WARNER CABLE ENTERPRISES"
1,"Sanuvox Technologies"
1,"Reynolds Technologies"
1,"NEWFIELD THERAPEUTICS"
3,"IBC Pharmaceuticals"
2,"Avtaec Limited"
2,"TerraVia Holdings"
2,"Nippon Shokubai Co"
1,Elcriton
1,"NCC Nano"
1,Ticona
1,"Continental Manufacturing"
1,"True-Safe Technologies"
1,Veracyte
2,"Avery Dennison"
1,Acer
1,"Custom Electronics"
1,Innovalight
2,"MONTEREY RESEARCH"
3,"W&Wsens Devices"
1,"Monarch Power Corp"
1,"Pelican Imaging"
2,"DePuy Synthes Products"
1,"Sony Interactive Entertainment"
2,Kronos
1,"Sweetwater Energy"
2,"CP KELCO APS"
1,"V35A Enterprises"
1,"Vascular BioSciences"
1,"Laserline Mfg"
1,"Zephyr Energy Systems"
1,"LORDO AMERICA"
1,"Selas Heat Technology Company"
1,Esolar
1,Wostec
1,"ABB AB"
1,"SCHOTTKY LSI"
1,NovaSolix
3,"Raytheon BBN Technologies Corp"
1,"Nederlandse Organisatie voor toegepast-natuurwetenschappelijk onderzoek TNO"
1,"HOWARD INDUSTRIES"
1,"Cymatics Laboratories Corp"
1,BTU
1,Facebook
1,"Fezza Family Properties"
1,Mumetel
2,"Nissan North America"
1,"RenovaCare Sciences Corp"
1,"Hollywood Trucks"
1,"Meso Scale Technologies"
1,NanoLab
2,Iogen
1,Morpho
1,Sirnaomics
1,"Medical Diagnostic Laboratories"
1,Proterra
1,GDO
2,Kiverdi
1,"SRG Global"
1,"The Eastern Co"
1,"DCG SYSTEMS"
1,"SolarWorld Americas"
1,"Sinton Consulting"
1,ZON
1,"Arkival Technology Corp"
1,"GENCO SCIENCES"
1,"Kashiv Pharma"
1,Bestway
2,"X DEVELOPMENT"
2,"646840 Alberta"
2,GLIKNIK
1,"Lovelace Respiratory Research Institute"
2,KUBIX
1,"S&S X-Ray Products"
1,"LUCERA LABS"
1,"Perkinelmer Holdings"
1,"Oculus VR"
1,"Rolls-Royce North American Technologies"
1,"Access Business Group"
1,Baxter
1,"Baxter Healthcare SA"
1,"DEKA Products Limited Partnership"
1,Roho
1,"COVERIS FLEXIBLES US"
1,"Bluestar Silicones France"
2,"Isis Pharmaceuticals"
1,"Kemira OY"
1,"Thorn Bioscience"
1,"MANUFACTURING RESOURCES"
1,"III HOLDINGS 1"
1,Evernote
1,"Amtech Systems"
2,"Princeton Optronics"
1,Anlinx
1,Bird-B-Gone
1,"Ampio Pharmaceuticals"
1,"Matrix Genetics"
1,"Novus Energy"
1,GeoSynFuels
1,Chromalox
1,IDEALAB
1,INTEVAC
1,Senaya
2,"Garrity Power Services"
1,"Annam Biosciences"
1,Thoratec
1,Shubin
1,"Aushon Biosystems"
2,"Illinois Tool Works"
1,"JAC Products"
2,"GEOTHERMAL ENERGY PROJECT"
1,Materia
2,"MERCK SHARP & DOHME CORP"
1,"The Carbon Cable Company"
3,"SELMAN AND ASSOCIATES"
1,"Kinetech Power Company"
1,"Travis Industries"
1,"SolarReserve Technology"
1,"Sunrun South"
1,NeoVision
1,"Molecular Imprints"
1,Sinewatts
2,"Vindico NanoBioTechnology"
1,Nanao
1,Avertech
1,"ALGETERNAL TECHNOLOGIES"
1,"Applied Genetic Technologies"
1,Sigmatel
1,"Adlens Beacon"
1,"Photon Dynamics"
1,"The Paymaster"
1,"Cambridge Electronics"
1,"Allertein Therapeutics"
1,Electrix
1,"Bristol-Myers Squibb Company"
1,Mintera
1,"Garland Industries"
1,"Manta Instruments"
1,"VEECO PRECISION SURFACE PROCESSING"
3,"Magnolia Solar"
1,Tensor
1,ACUCELA
1,"TOMOWAVE LABORATORIES"
1,"Swift Engineering"
1,Tekkware
1,"Agilent Technologies"
1,adaptiveARC
2,"NXP USA"
1,"Thorlabs Quantum Electronics"
1,THEM
2,"RES USA"
2,"INTEL IP"
1,"TEKNOR APEX COMPANY"
1,MAHLE
1,"INFINEUM LIMITED"
1,iBio
1,"Genomic Health"
1,TECNIUM
1,Stratasys
1,"Plasma Tech Holdings"
1,"HIQ SOLAR"
1,"Schneider Electric USA"
1,"GOAL ZERO"
1,"Carl Zeiss Meditec AG"
1,"Immunopath Profile"
2,Chiron
1,"ADMA Products"
1,Selkermetrics
1,"Nutech Ventures"
1,"King Electric Vehicles"
1,NANOBIO
1,"Ruse Technologies"
1,"Brightfield Transportation Solutions"
1,"WADHAM ENERGY LP"
1,Astech
1,AstenJohnson
1,"Rebellion Photonics"
1,Ziptronix
2,Aneeve
1,"TECHNOLOGY RESEARCH"
1,Twitter
1,"Production Resource Group LLC"
1,"Northwest Biotherapeutics"
1,"Zoetis Services"
1,"BG Negev Technologies and Applications"
1,"Rio Grande Valley Sugar Growers"
1,"Evoqua Water Technologies"
1,"Industrial Science & Technology Network"
1,"Asahi Kasei Kabushiki Kaisha"
1,"AG ENERGY SOLUTIONS"
1,"Thermorefinery Technologies"
1,"CYBERCITY 3D"
1,"Lof Solar"
1,"Medgenics Medical Israel"
1,"Clearside Biomedical"
1,"Nanoquantum Sciences"
1,"AVI BioPharma"
2,"Lion Copolymer Geismar"
1,"Lehigh Technologies"
1,"Uniseal Solutions"
1,"NanoTech Lubricants"
1,"Vaxiion Therapeutics"
2,"Biotechnology Foundation"
1,GTherm
2,"Cisco Technology"
1,Piksel
1,"Corporation for National Research Initiatives"
1,"ATI Technologies ULC"
1,Supremex
1,"Quantum Materials"
1,SOLARTONIC
1,Dialogic
1,VINYLAST
1,Dialight
1,"Mission Product Holdings"
1,"Alexion Pharmaceuticals"
1,"Aerosol Dynamics"
1,"Marathon Equipment Company"
1,Biotta
1,Ablexis
1,"Advanced Cell Technology"
1,"Philip Morris USA"
1,Bitrode
1,"INVISTA North America Sarl"
1,"IDEA TREE"
1,Sequenom
1,ECOSYNTHETIX
1,"Solaris Holdings Limited"
1,"ITN Energy Systems"
1,"EPCOS AG"
1,"Ormet Circuits"
1,"CSEM Centre Suisse d'Electronique et de Microtechnique SA-Recherche et Developpement"
1,"Reliance Controls"
1,"SEEK THERMAL"
1,Revivicor
1,"Ivoclar Vivadent AG"
1,eNow
1,Nanomix
1,"Elenion Technologies"
1,"Shoals Technologies Group"
1,"GIGA SOLAR FPC"
1,Amberwave
1,Santoku
1,SolaBlock
