"firm","lookup_firm","lookup_firm_web","firm_length","name_clnd","name_length","manual_fix","hit_url","hit_url_length","rank","matches","public","acquired_merged","Votes","Group","nano","green","synbio","count_all_ind","max_emps","size_state","sme","num_patents_all","pages","num_words","avg_words_per_page","first_year","num_patents_3","mean_assignees_all","mean_assignees_3","mean_inventors_all","mean_inventors_3"
"HAMAMATSU PHOTONICS K.K.","HAMAMATSU PHOTONICS KK","HAMAMATSU PHOTONICS KK",22,"Home | Hamamatsu Photonics",26,NA,"hamamatsu.com/jp/en/index.html",42,1,2,0,0,5,586,1,0,0,1,4878,"FirmSize.LARGE_FIRM",0,1617,142,2933427,20657.9366197183,1988,19,1.07235621521336,1,2.98639455782313,3.36842105263158
"Swagelok Company","Swagelok Company","Swagelok Company",16,"Swagelok - Official Site",24,NA,"swagelok.com/",25,1,1,0,0,5,1277,1,0,0,1,4800,"FirmSize.LARGE_FIRM",0,141,NA,NA,NA,1978,1,1,1,3.52482269503546,3
"Lintec Corporation","Lintec","Lintec",6,"LINTEC Corporation",18,NA,"lintec-global.com/",29,1,1,0,0,4,766,1,1,0,2,4794,"FirmSize.LARGE_FIRM",0,564,8,24042,3005.25,1976,6,1.10460992907801,1.16666666666667,2.84042553191489,2.83333333333333
"Intuitive Surgical Operations","Intuitive Surgical Operations","Intuitive Surgical Operations",29,"Intuitive Surgical - Official Site",34,NA,"intuitive.com/",26,1,2,0,0,5,682,0,0,1,1,4719,"FirmSize.LARGE_FIRM",0,635,18,426913,23717.3888888889,2010,1,1.00314960629921,1,3.26456692913386,1
"INVISTA North America S.a.r.l.","INVISTA North America Sarl","INVISTA North America Sarl",26,"Invista - Official Site",23,NA,"invista.com/",24,1,1,0,0,5,642,0,0,1,1,4658,"FirmSize.LARGE_FIRM",0,307,15,92968,6197.86666666667,2004,1,1.00325732899023,1,2.5700325732899,4
"Dresser-Rand Company","Dresser-Rand Company","Dresser-Rand Company",20,"Dresser-Rand Group - Official Site",34,NA,"dresser-rand.com/",28,1,2,0,0,5,412,0,1,0,1,4597,"FirmSize.LARGE_FIRM",0,286,76,552724,7272.68421052632,1988,1,1.01048951048951,1,1.87762237762238,1
"LG Display Co.","LG Display Co","LG Display Co",13,"LG Display",10,NA,"lgdisplay.com/eng/main",33,1,2,0,0,5,747,1,1,0,2,4584,"FirmSize.LARGE_FIRM",0,5766,78,538703,6906.44871794872,2008,46,1.01023239680888,1.02222222222222,2.54908081859174,3.13333333333333
"Sierra Sciences","Sierra Sciences","Sierra Sciences",15,"Sierra sciences on Curing Aging",31,1,"sierrasci.com/?p=home",33,2,2,0,0,0,1197,0,0,1,1,4500,"FirmSize.LARGE_FIRM",0,6,6,4604843,767473.833333333,2004,1,1,1,4.66666666666667,4
"Sigma-Aldrich Co. LLC","Sigma-Aldrich Co","Sigma-Aldrich Co",16,"Sigma-Aldrich: Analytical, Biology, Chemistry & Materials ...",61,NA,"sigmaaldrich.com/",29,1,2,0,0,5,1198,0,0,1,1,4408,"FirmSize.LARGE_FIRM",0,99,42,1632765,38875.3571428571,1998,2,1.02020202020202,1.5,2.83838383838384,3
"SunEdison Semiconductor Limited","SunEdison Semiconductor Limited","SunEdison Semiconductor Limited",31,"Home - GlobalWafers",19,NA,"gw-semi.com/",24,1,0,0,0,5,1265,1,0,0,1,4400,"FirmSize.LARGE_FIRM",0,39,9,218239,24248.7777777778,2014,4,1.07692307692308,1.5,2.48717948717949,2.25
"Ortho-Clinical Diagnostics","Ortho-Clinical Diagnostics","Ortho-Clinical Diagnostics",26,"Ortho Clinical Diagnostics - Official Site",42,NA,"orthoclinicaldiagnostics.com/",41,1,3,0,0,4,961,1,0,0,1,4300,"FirmSize.LARGE_FIRM",0,113,95,2798911,29462.2210526316,1999,1,1.04424778761062,1,3.39823008849558,3
"Macronix International Co.","Macronix Co","Macronix Co",11,"Macronix - Nonvolatile Memory Solutions",39,NA,"macronix.com/en-us/Pages/default.aspx",48,1,1,0,0,1,797,1,0,0,1,4270,"FirmSize.LARGE_FIRM",0,2762,56,1186156,21181.3571428571,1992,26,1.02570601013758,1,2.60391020999276,2.15384615384615
"SAINT-GOBAIN ABRASIFS","SAINT-GOBAIN ABRASIFS","SAINT-GOBAIN ABRASIFS",21,"Saint-Gobain Abrasives | USA & Canada",37,NA,"saint-gobain-abrasives.com/en-us",44,1,2,0,0,4,1108,1,0,0,1,4077,"FirmSize.LARGE_FIRM",0,343,33,1547557,46895.6666666667,2003,2,1.92419825072886,2,3.32361516034985,5
"Danisco US Inc.","Danisco US","Danisco US",10,"Danisco - Official Site",23,NA,"danisco.com/food-beverages/",38,1,1,0,0,3,382,0,0,1,1,4076,"FirmSize.LARGE_FIRM",0,329,80,580791,7259.8875,2004,5,1.13981762917933,1.4,4.74772036474164,4.4
"Polaris Products LLC","Polaris Products","Polaris Products",16,"Polaris Industries - Official Site",34,NA,"polaris.com/en-us",28,1,1,0,0,5,1020,0,1,0,1,4068,"FirmSize.LARGE_FIRM",0,1,57,389488,6833.12280701754,2016,1,1,1,1,1
"R.J. Reynolds Tobacco Company","RJ Reynolds Tobacco Company","RJ Reynolds Tobacco Company",27,"R. J. Reynolds Tobacco Company - Official Site",46,NA,"rjrt.com/",20,1,3,0,0,5,1054,0,1,0,1,4000,"FirmSize.LARGE_FIRM",0,712,12,139252,11604.3333333333,1976,3,1.00421348314607,1,3.13904494382022,1.66666666666667
"Reynolds Technologies","Reynolds Technologies","Reynolds Technologies",21,"Reynolds Technology - Official Site",35,NA,"reynoldstechnology.biz/",34,1,1,0,0,5,1079,0,0,1,1,4000,"FirmSize.LARGE_FIRM",0,6,34,176937,5204.02941176471,2007,1,1,1,3.33333333333333,3
"The Babcock & Wilcox Company","The Babcock & Wilcox Company","The Babcock & Wilcox Company",28,"Babcock & Wilcox - Official Site",32,NA,"babcock.com/",23,1,2,0,0,5,1332,0,1,0,1,4000,"FirmSize.LARGE_FIRM",0,1122,50,503936,10078.72,1976,5,1.01158645276292,1,2.09196428571429,5.2
"Universal Leaf Tobacco Co.","Universal Leaf Tobacco Co","Universal Leaf Tobacco Co",25,"Universal Corporation - Official Site",37,NA,"universalcorp.com/",29,1,2,0,0,5,1406,0,1,0,1,4000,"FirmSize.LARGE_FIRM",0,14,35,391751,11192.8857142857,1984,1,1,1,1.64285714285714,2
"Milliken & Company","Milliken & Company","Milliken & Company",18,"Milliken & Company - Official Site",34,NA,"milliken.com/",24,1,2,0,0,5,840,1,0,0,1,3950,"FirmSize.LARGE_FIRM",0,839,46,1163079,25284.3260869565,1999,1,1.00357568533969,1,2.65911799761621,1
"BlackBerry Limited","BlackBerry Limited","BlackBerry Limited",18,"BlackBerry - Cell Phones, Smartphones & Mobile Phones from ...",62,NA,"blackberry.com/",26,1,1,0,0,5,232,1,1,0,2,3910,"FirmSize.LARGE_FIRM",0,4177,NA,NA,NA,2013,2,1.01412497007422,1,2.80919320086186,3
"OSI Optoelectronics","OSI Optoelectronics","OSI Optoelectronics",19,"OSI Optoelectronics - Official Site",35,NA,"osioptoelectronics.com/",34,1,2,0,0,5,945,1,0,0,1,3900,"FirmSize.LARGE_FIRM",0,24,4,42581,10645.25,2011,1,1,1,2.125,3
"Virent","Virent","Virent",6,"Virent, Inc.",12,NA,"virent.com/",22,1,1,0,0,5,1427,0,1,0,1,3900,"FirmSize.LARGE_FIRM",0,86,26,88082,3387.76923076923,2000,13,1.06976744186047,1,3.59302325581395,3.69230769230769
"Nederlandse Organisatie voor toegepast-natuurwetenschappelijk onderzoek TNO","Nederlandse Organisatie voor toegepast-natuurwetenschappelijk onderzoek TNO","Nederlandse Organisatie voor toegepast-natuurwetenschappelijk onderzoek TNO",75,"TNO - innovation for life | TNO",31,NA,"tno.nl/en/",22,1,1,0,0,3,899,1,0,0,1,3892,"FirmSize.LARGE_FIRM",0,534,273,7398643,27101.2564102564,1976,1,1.15543071161049,1,2.73358348968105,3
"Johnson & Johnson Vision Care","Johnson &#x26; Johnson Vision Care","Johnson & Johnson Vision Care",29,"The Magic of Our Eyes | Johnson and Johnson Vision",50,NA,"jjvision.com/",25,1,3,0,0,5,700,0,0,0,0,3891,"FirmSize.LARGE_FIRM",0,748,13,143979,11075.3076923077,1991,2,1.02005347593583,1,4.24331550802139,2
"Qiagen GmbH","Qiagen","Qiagen",6,"Qiagen - Official Site",22,NA,"qiagen.com/us/",26,1,1,0,0,5,1045,0,0,1,1,3828,"FirmSize.LARGE_FIRM",0,173,312,8293246,26580.9166666667,1997,1,1.0635838150289,1,3.20231213872832,5
"UChicago Argonne","UChicago Argonne","UChicago Argonne",16,"UChicago Argonne, LLC.",22,NA,"uchicagoargonnellc.org/",30,1,2,0,0,5,1390,1,1,0,2,3807,"FirmSize.LARGE_FIRM",0,397,20,63164,3158.2,2006,27,1.02770780856423,1.2,3.27455919395466,4
"Iogen Corporation","Iogen","Iogen",5,"Iogen Corporation - Official Site",33,NA,"iogen.ca/",21,1,1,0,0,5,685,0,1,0,1,3789,"FirmSize.LARGE_FIRM",0,26,11,84566,7687.81818181818,1997,2,1,1,2,2.5
"American Science and Technology Corporation","American Science and Technology","American Science and Technology",31,"American Science and Technology",31,NA,"amsnt.com/",21,1,4,0,0,5,107,0,1,0,1,3738,"FirmSize.LARGE_FIRM",0,2,7,20934,2990.57142857143,2016,2,1,1,6,6
"DRS Network & Imaging Systems","DRS Network &#x26; Imaging Systems","DRS Network & Imaging Systems",29,"Welcome to LeonardoDRS.com | Leonardo DRS",41,NA,"leonardodrs.com/",23,1,1,1,0,5,376,0,0,0,0,3682,"FirmSize.LARGE_FIRM",0,24,68,1777827,26144.5147058824,2015,4,1,1,2.95833333333333,2
"Carestream Health","Carestream Health","Carestream Health",17,"Carestream Medical and Healthcare Information Technology",56,NA,"carestream.com/en/us",32,1,2,0,0,5,289,1,0,0,1,3650,"FirmSize.LARGE_FIRM",0,479,154,2236760,14524.4155844156,2007,4,1.00208768267223,1,2.72025052192067,1.5
"Kemira OY","Kemira OY","Kemira OY",9,"Kemira - Official Site",22,NA,"kemira.com/",23,1,1,0,0,5,727,0,1,0,1,3649,"FirmSize.LARGE_FIRM",0,150,45,4723629,104969.533333333,1977,1,1.08666666666667,1,2.99333333333333,3
"Tanaka Kikinzoku Kogyo K.K.","Tanaka Kikinzoku Kogyo KK","Tanaka Kikinzoku Kogyo KK",25,"Tanaka Kikinzoku Kogyo K.K.",27,NA,"gold.tanaka.co.jp/english/",34,1,3,1,0,5,1310,1,0,0,1,3600,"FirmSize.LARGE_FIRM",0,185,2,2367,1183.5,1986,5,1.52972972972973,1,3.29189189189189,3.8
"Crepaco","Crepaco","Crepaco",NA,"Home of APV | SPX FLOW",22,1,"",31,1,0,0,0,4,351,1,0,0,1,3584,"FirmSize.LARGE_FIRM",0,55,NA,NA,NA,1976,3,1.05454545454545,1,2.23636363636364,2.66666666666667
"STATS ChipPAC","STATS ChipPAC","STATS ChipPAC",13,"STATS ChipPAC Ltd - Official Site",33,NA,"statschippac.com/",28,1,2,0,0,5,1132,1,0,0,1,3535,"FirmSize.LARGE_FIRM",0,1553,42,275417,6557.54761904762,2005,16,1.0032195750161,1,3.10624597553123,3.6875
"Entegris","Entegris","Entegris",8,"Entegris - Official Site",24,NA,"entegris.com/",25,1,1,0,0,5,459,1,0,0,1,3500,"FirmSize.LARGE_FIRM",0,380,67,684652,10218.6865671642,2001,3,1.01052631578947,1,3.15263157894737,2.33333333333333
"Masimo Semiconductor","Masimo Semiconductor","Masimo Semiconductor",20,"Masimo Semiconductor for advanced compound semiconductor ...",60,NA,"masimosemiconductor.com/masimo-semiconductor/",52,1,2,0,0,1,809,0,1,0,1,3500,"FirmSize.LARGE_FIRM",0,3,9,24898,2766.44444444444,2013,1,1,1,3.66666666666667,5
"RF Micro Devices","RF Micro Devices","RF Micro Devices",16,"Qorvo - Official Site",21,NA,"qorvo.com/",22,1,0,0,0,5,1058,1,0,0,1,3500,"FirmSize.LARGE_FIRM",0,622,208,4030761,19378.6586538462,1997,1,1.0016077170418,1,2.53215434083601,3
"Chipmos Technologies Inc.","Chipmos Technologies","Chipmos Technologies",20,"ChipMOS TECHNOLOGIES INC.  Back-end testing service for ...",59,NA,"chipmos.com/index-en.aspx",36,1,2,1,0,5,313,1,0,0,1,3437,"FirmSize.LARGE_FIRM",0,184,35,130061,3716.02857142857,1998,2,1.45108695652174,1,2.5,4
"LORDO AMERICA","LORDO AMERICA","LORDO AMERICA",13,"Lordo America Receives 2014 AHR Expo Innovation Award ...",57,NA,"",56,1,2,0,0,1,752,1,0,0,1,3371,"FirmSize.LARGE_FIRM",0,1,NA,NA,NA,2016,1,1,1,2,2
"Advanced Silicon Group","Advanced Silicon Group","Advanced Silicon Group",22,"Advanced Silicon Group",22,NA,"advancedsilicongroup.com/",36,1,3,0,0,5,73,1,0,0,1,3300,"FirmSize.LARGE_FIRM",0,4,8,83492,10436.5,2015,2,1,1,5.25,5
"JAC Products Inc.","JAC Products","JAC Products",12,"JAC Products - Official Site",28,NA,"jacproducts.com/",28,1,2,0,0,5,690,0,1,0,1,3274,"FirmSize.LARGE_FIRM",0,102,18,41845,2324.72222222222,1978,1,1,1,2.34313725490196,3
"Microsemi SoC Corporation","Microsemi SoC","Microsemi SoC",13,"Microsemi - Official Site",25,NA,"microsemi.com/",26,2,1,1,0,2,836,1,0,0,1,3186,"FirmSize.LARGE_FIRM",0,31,159,2756567,17336.8993710692,1978,1,1,1,2.25806451612903,1
"Cabot Corporation","Cabot","Cabot",5,"Cabot Corporation - Official Site",33,NA,"cabotcorp.com/",25,1,1,1,0,5,274,1,0,0,1,3097,"FirmSize.LARGE_FIRM",0,879,29,215728,7438.89655172414,1976,1,1.01137656427759,1,2.93970420932878,2
"Pioneer Energy","Pioneer Energy","Pioneer Energy",14,"Pioneer Energy | Texas Residential and Commercial ...",53,NA,"mypioneerenergy.com/",31,1,2,0,0,5,1009,0,1,0,1,3068,"FirmSize.LARGE_FIRM",0,27,11,278765,25342.2727272727,2009,1,1,1,3.51851851851852,4
"Applied Optoelectronics","Applied Optoelectronics","Applied Optoelectronics",23,"Applied Optoelectronics, Inc.",29,NA,"ao-inc.com/",18,1,2,0,0,5,134,1,0,0,1,3054,"FirmSize.LARGE_FIRM",0,98,39,136972,3512.10256410256,2002,3,1,1,2.57142857142857,3
"Carl Zeiss Meditec AG","Carl Zeiss Meditec AG","Carl Zeiss Meditec AG",21,"An Investment in the Future of Health | Carl Zeiss Meditec AG",61,NA,"zeiss.com/meditec-ag/home.html",42,1,4,1,0,3,291,1,0,0,1,3048,"FirmSize.LARGE_FIRM",0,868,22,155624,7073.81818181818,2002,1,1.07027649769585,1,3.58986175115207,3
"Carl Zeiss Microscopy GmbH","Carl Zeiss Microscopy","Carl Zeiss Microscopy",21,"ZEISS Microscopy - Official Site",32,NA,"zeiss.com/microscopy/int/home.html",46,1,2,0,0,2,292,1,0,0,1,3048,"FirmSize.LARGE_FIRM",0,263,1,43374,43374,2013,1,1.0722433460076,2,3.20152091254753,4
"Heraeus Precious Metals North America Conshohocken LLC","Heraeus Precious Metals North America Conshohocken","Heraeus Precious Metals North America Conshohocken",50,"Heraeus Group",13,NA,"heraeus.com/us/group/home/home.aspx",47,1,1,0,0,2,609,0,1,0,1,2975,"FirmSize.LARGE_FIRM",0,20,38,237518,6250.47368421053,2013,4,1,1,3.7,3.5
"Bostik","Bostik","Bostik",6,"Bostik USA Construction Adhesives Industrial Adhesives ...",58,NA,"bostik.com/us/",26,1,1,1,0,5,238,0,0,1,1,2950,"FirmSize.LARGE_FIRM",0,42,124,1249051,10072.9919354839,1991,1,1.04761904761905,1,2.11904761904762,3
"EMD Technologies Inc.","EMD Technologies","EMD Technologies",16,"emd technologies",16,NA,"emd-technologies.com/",32,1,2,0,0,5,424,0,1,0,1,2912,"FirmSize.LARGE_FIRM",0,135,14,153506,10964.7142857143,1987,1,1,1,2.4,5
"Gas Technology Institute","Gas Technology Institute","Gas Technology Institute",24,"Gas Technology Institute - Official Site",40,NA,"gastechnology.org/",29,1,3,0,0,5,546,0,1,0,1,2900,"FirmSize.LARGE_FIRM",0,187,23,305748,13293.3913043478,2002,3,1.05347593582888,1,2.58288770053476,2.66666666666667
"SolarWorld Americas Inc.","SolarWorld Americas","SolarWorld Americas",19,"SolarWorld USA - Official Site",30,NA,"solarworld-usa.com/",30,1,1,0,0,5,1230,0,1,0,1,2898,"FirmSize.LARGE_FIRM",0,4,28,390216,13936.2857142857,2016,1,1,1,1.75,1
"FLIR Systems","FLIR Systems","FLIR Systems",12,"FLIR Systems - Official Site",28,NA,"flir.com/",21,1,2,0,0,5,479,1,0,0,1,2870,"FirmSize.LARGE_FIRM",0,262,95,1115919,11746.5157894737,1977,2,1.04198473282443,1,3.33206106870229,3
"Fina Technology","Fina Technology","Fina Technology",15,"FINA Technology Group, LLC.",27,NA,"finatg.com/",22,1,2,0,0,5,497,1,0,0,1,2802,"FirmSize.LARGE_FIRM",0,602,6,10772,1795.33333333333,1988,3,1,1,2.77408637873754,3
"Federal Signal Corporation","Federal Signal","Federal Signal",14,"Federal Signal Corporation - Official Site",42,NA,"federalsignal.com/",26,1,2,0,0,5,490,0,1,0,1,2800,"FirmSize.LARGE_FIRM",0,115,37,115234,3114.43243243243,1977,1,1.03478260869565,1,2.07826086956522,2
"FEI Company","FEI Company","FEI Company",11,"WELCOME TO THERMO FISHER SCIENTIFIC - FEI Company",49,NA,"fei.com/careers/",28,1,2,0,0,5,477,1,0,1,2,2800,"FirmSize.LARGE_FIRM",0,442,46,722484,15706.1739130435,1993,4,1.02488687782805,1.33333333333333,3.12669683257919,2.66666666666667
"NOVA Chemicals (International) S.A.","NOVA Chemicals (International) SA","NOVA Chemicals (International) SA",33,"NOVA Chemicals Home",19,NA,"novachem.com/pages/home.aspx",39,1,2,0,0,1,872,1,0,0,1,2800,"FirmSize.LARGE_FIRM",0,187,35,631299,18037.1142857143,2000,3,1.01069518716578,1,3.79144385026738,5.33333333333333
"SYNTHOMER USA LLC","SYNTHOMER USA","SYNTHOMER USA",13,"Synthomer - Official Site",25,NA,"synthomer.com/",25,1,1,0,0,5,1137,1,0,0,1,2789,"FirmSize.LARGE_FIRM",0,2,239,4043709,16919.2845188285,2016,1,1,1,3.5,2
"Riverbed Technology","Riverbed Technology","Riverbed Technology",19,"Riverbed - Official Site",24,NA,"riverbed.com/",25,1,1,0,0,5,1086,1,0,0,1,2786,"FirmSize.LARGE_FIRM",0,199,135,1785594,13226.6222222222,2006,2,1,1,3.05527638190955,3
"Star Technology and Research","Star Technology and Research","Star Technology and Research",28,"Star Technology and Research",28,NA,"star-tech-inc.com/",29,1,4,0,0,4,1249,0,1,0,1,2784,"FirmSize.LARGE_FIRM",0,4,12,72147,6012.25,2005,1,1,1,1.25,1
"EXOS LLC","EXOS","EXOS",4,"EXOS - Official Site",20,NA,"teamexos.com/",25,1,1,0,0,5,431,1,0,0,1,2776,"FirmSize.LARGE_FIRM",0,4,19,272431,14338.4736842105,2015,1,1,1,1.25,1
"Toyota Motor Engineering & Manufacturing North America","Toyota Motor Engineering & Manufacturing North America","Toyota Motor Engineering & Manufacturing North America",54,"Toyota USA | Career Opportunities | Job Openings",48,NA,"toyota.com/usa/careers/index.html",45,1,1,0,0,1,1368,1,1,0,2,2765,"FirmSize.LARGE_FIRM",0,1449,42,901325,21460.119047619,2007,15,1.15251897860594,1.26666666666667,2.20910973084886,2.13333333333333
"Alexion Pharmaceuticals","Alexion Pharmaceuticals","Alexion Pharmaceuticals",23,"Alexion - Official Site",23,NA,"alexion.com/",19,1,1,0,0,5,91,0,0,1,1,2760,"FirmSize.LARGE_FIRM",0,105,98,2140040,21837.1428571429,1996,1,1.04761904761905,1,3.32380952380952,3
"Evoqua Water Technologies LLC","Evoqua Water Technologies","Evoqua Water Technologies",25,"Evoqua Water Technologies",25,NA,"evoqua.com/",22,1,3,0,0,5,468,1,0,0,1,2759,"FirmSize.LARGE_FIRM",0,94,NA,NA,NA,2014,1,1,1,2.74468085106383,3
"The Boeing Company","The Boeing Company","The Boeing Company",18,"Boeing - Official Site",22,NA,"boeing.com/",22,1,1,0,0,5,1333,1,1,0,2,2752,"FirmSize.LARGE_FIRM",0,13080,97,983796,10142.2268041237,1976,39,1.00711009174312,1.05405405405405,2.38619160486276,2.56756756756757
"SunRun","SunRun","SunRun",6,"Sunrun Solar - Official Site",28,NA,"sunrun.com/",23,1,1,0,0,5,1268,0,1,0,1,2722,"FirmSize.LARGE_FIRM",0,1,1,16515,16515,2015,1,1,1,2,2
"Sunrun South LLC","Sunrun South","Sunrun South",12,"Sunrun Solar - Official Site",28,NA,"sunrun.com/",23,1,1,0,0,5,1273,0,1,0,1,2722,"FirmSize.LARGE_FIRM",0,9,NA,NA,NA,2014,1,1,1,1.33333333333333,1
"Tamura Corporation","Tamura","Tamura",6,"Tamura Corp - Official Site",27,NA,"tamuracorp.com/",26,1,1,0,0,5,1309,1,0,0,1,2715,"FirmSize.LARGE_FIRM",0,95,40,112568,2814.2,1984,5,1.35789473684211,2,2.50526315789474,2
"Coleman Cable","Coleman Cable","Coleman Cable",13,"Coleman Wires and Cables",24,NA,"colemancables.com/",29,1,2,0,0,5,325,0,1,0,1,2708,"FirmSize.LARGE_FIRM",0,19,25,76965,3078.6,1998,1,1,1,1.15789473684211,1
"National Education Corporation","National Education","National Education",18,"National Education",18,NA,"nationaleducation.com/",33,1,2,0,0,5,897,0,1,0,1,2700,"FirmSize.LARGE_FIRM",0,4,10,49990,4999,2000,1,1,1,3.5,2
"Southwest Research Institute","Southwest Research Institute","Southwest Research Institute",28,"Southwest Research Institute",28,NA,"swri.org/",21,1,3,0,0,5,1244,1,0,0,1,2683,"FirmSize.LARGE_FIRM",0,895,204,1367122,6701.57843137255,1976,4,1.02011173184358,1,2.37541899441341,3.25
"Alpha and Omega Semiconductor Incorporated","Alpha and Omega Semiconductor","Alpha and Omega Semiconductor",29,"Alpha and Omega Semiconductor",29,NA,"aosmd.com/",17,1,4,0,0,5,98,1,0,0,1,2670,"FirmSize.LARGE_FIRM",0,405,12,198514,16542.8333333333,2006,10,1,1,3.21234567901235,2.9
"Adeka Corporation","Adeka","Adeka",5,"ADEKA",5,NA,"adeka.co.jp/en/",27,1,1,0,0,3,63,1,1,0,2,2661,"FirmSize.LARGE_FIRM",0,285,80,457221,5715.2625,1980,3,1.08771929824561,1.5,3.23859649122807,4
"OTSUKA PHARMACEUTICAL CO.","OTSUKA PHARMACEUTICAL CO","OTSUKA PHARMACEUTICAL CO",24,"Otsuka Pharmaceutical Co., Ltd.",31,NA,"otsuka.co.jp/en/",28,1,3,0,0,5,946,0,0,1,1,2648,"FirmSize.LARGE_FIRM",0,611,85,593712,6984.84705882353,1976,2,1.13747954173486,2,5.05073649754501,10
"IMEC","IMEC","IMEC",4,"IMEC Login",10,NA,"imec.org/",17,2,1,0,0,4,636,1,0,0,1,2639,"FirmSize.LARGE_FIRM",0,527,21,1963985,93523.0952380952,1996,4,1.49525616698292,1.75,2.75521821631879,4
"Certain-teed Corporation","Certain-teed","Certain-teed",12,"CertainTeed - Official Site",27,NA,"certainteed.com/",28,1,2,0,0,5,304,1,1,0,2,2634,"FirmSize.LARGE_FIRM",0,673,101,1568728,15531.9603960396,1976,2,1.00445765230312,1,2.80683506686478,3
"Allison Transmission","Allison Transmission","Allison Transmission",20,"Allison Transmission - Official Site",36,NA,"allisontransmission.com/",32,1,2,1,0,5,96,1,0,0,1,2600,"FirmSize.LARGE_FIRM",0,189,94,4399266,46800.7021276596,2011,1,1.00529100529101,1,2.36507936507937,3
"GENCO SCIENCES LLC","GENCO SCIENCES","GENCO SCIENCES",14,"Vape Pens & Portable Vaporizers. Official Site of G Pen ...",59,NA,"gpen.com/",21,1,0,0,0,5,521,1,0,0,1,2571,"FirmSize.LARGE_FIRM",0,1,48,1265657,26367.8541666667,2016,1,1,1,1,1
"Magnachip Semiconductor","Magnachip Semiconductor","Magnachip Semiconductor",23,"Magnachip - Official Site",25,NA,"magnachip.com/",25,1,1,0,0,5,799,1,0,0,1,2520,"FirmSize.LARGE_FIRM",0,314,118,1030498,8733.03389830508,2005,2,1,1,2.14968152866242,1.5
"Bell Helicopter Textron Inc.","Bell Helicopter Textron","Bell Helicopter Textron",23,"Bell - Home",11,NA,"bellflight.com/",22,1,1,1,0,5,209,1,0,0,1,2500,"FirmSize.LARGE_FIRM",0,402,50,380252,7605.04,1984,1,1.00995024875622,1,2.80099502487562,2
"Energysolutions","Energysolutions","Energysolutions",15,"EnergySolutions - Official Site",31,NA,"energysolutions.com/",31,1,1,0,0,5,454,1,0,0,1,2500,"FirmSize.LARGE_FIRM",0,11,19,319415,16811.3157894737,2010,2,1,1,3.54545454545455,1
"GCP Applied Technologies Inc.","GCP Applied Technologies","GCP Applied Technologies",24,"The GCP Experience - GCP Applied Technologies",45,NA,"gcpat.com/en",20,1,3,0,0,5,515,0,1,0,1,2500,"FirmSize.LARGE_FIRM",0,7,203,2314651,11402.2216748768,2016,1,1,1,4.28571428571429,3
"Lumentum Operations LLC","Lumentum Operations","Lumentum Operations",19,"Lumentum Operations LLC",23,NA,"lumentum.com/en",27,1,2,0,0,5,779,1,1,0,2,2494,"FirmSize.LARGE_FIRM",0,58,69,387754,5619.6231884058,2015,5,1.01724137931034,1.25,2.75862068965517,4
"Nexcom Technology","Nexcom Technology","Nexcom Technology",17,"NEXCOM - Official Site",22,NA,"nexcom.com/",22,2,1,0,0,2,913,1,1,0,2,2485,"FirmSize.LARGE_FIRM",0,50,180,1811613,10064.5166666667,1993,4,1.06,1.25,1.98,3.5
"Newport Corporation","Newport","Newport",7,"Newport - Photonics Solutions for Extending the Frontiers ...",61,NA,"newport.com/",24,1,1,0,0,5,912,0,1,0,1,2480,"FirmSize.LARGE_FIRM",0,118,246,11363275,46192.174796748,1984,1,1,1,2.06779661016949,4
"Nippon Shokubai Co.","Nippon Shokubai Co","Nippon Shokubai Co",18,"NIPPON SHOKUBAI - ",18,NA,"shokubai.co.jp/en/",30,1,2,0,0,5,916,1,0,0,1,2335,"FirmSize.LARGE_FIRM",0,1485,49,164002,3346.97959183673,1976,2,1.09158249158249,1.5,3.6976430976431,1
"Kureha Corporation","Kureha","Kureha",6,"Top page | KUREHA CORPORATION",29,NA,"kureha.co.jp/en/",27,1,1,0,0,4,742,1,0,0,1,2327,"FirmSize.LARGE_FIRM",0,238,24,58868,2452.83333333333,1981,1,1.03781512605042,1,3.30672268907563,4
"UTC FIRE & SECURITY CORPORATION","UTC FIRE & SECURITY","UTC FIRE & SECURITY",19,"Home Page | UTC Climate, Controls & Security",44,NA,"ccs.utc.com/ccs/en/worldwide/",41,1,2,0,0,4,1394,1,0,0,1,2305,"FirmSize.LARGE_FIRM",0,59,17,96269,5662.88235294118,2009,1,1.01694915254237,1,3.89830508474576,2
"KYOCERA DOCUMENT SOLUTIONS INC.","KYOCERA DOCUMENT SOLUTIONS","KYOCERA DOCUMENT SOLUTIONS",26,"KYOCERA Document Solutions Inc. - Official Site",47,NA,"kyoceradocumentsolutions.com/",41,1,3,0,0,3,714,1,0,0,1,2300,"FirmSize.LARGE_FIRM",0,2373,46,302296,6571.65217391304,2012,4,1.00126422250316,1,1.70459334176148,2.25
"Biosense Webster (Israel) Ltd.","Biosense Webster (Israel)","Biosense Webster (Israel)",25,"Biosense Webster, Inc. - Defining the Field of ...",50,NA,"biosensewebster.com/",32,1,2,0,0,5,224,1,0,0,1,2294,"FirmSize.LARGE_FIRM",0,181,38,381333,10035.0789473684,2012,1,1,1,2.60773480662983,4
