Two Blades Foundation,2blades.org/
LUCERA LABS,luceralabs.com/
Matrix Genetics,lumenbioscience.com/
Lumentum Operations LLC,lumentum.com/en
Gestion Ultra International Inc.,luminultra.com/
Luna Innovations Incorporated,lunainc.com/
Lux Bio Group,luxbiogroup.com/
Basell Polyolefine GmbH,lyondellbasell.com/
Mitsubishi Polyester Film,m-petfilm.com/
MATERIALS ANALYSIS TECHNOLOGY (US) CORP.,ma-tek.com/about_us.php?act=rd
Macronix International Co.,macronix.com/en-us/Pages/default.aspx
Magna International Inc.,magna.com/
Magnachip Semiconductor,magnachip.com/
Magnolia Optical Technologies,magnoliaoptical.com/
Magnolia Solar,magnoliasolar.com/
Magnolia Solar,magnoliasolar.com/
MAHLE International GmbH,mahle.com/
Mainstream Engineering Corp.,mainstream-engr.com/
Manta Instruments,mantainc.com/
Marathon Equipment Company,marathonequipment.com/
Marine Biotech Inc.,marinebiotech.eu/
Marine Polymer Technologies,marinepolymer.com/
Markel Corporation,markelcorp.com/
Masimo Semiconductor,masimosemiconductor.com/masimo-semiconductor/
Materia,materia-inc.com/
Johnson Matthey PLC,matthey.com/
Mattson Technology,mattson.com/
Maxim Integrated Products,maximintegrated.com/en.html
MAXLINEAR,maxlinear.com/
Maxout Renewables,maxoutrenewables.com/
MONTEREY RESEARCH,mbari.org/
MBC Ventures,mbc.net/en/corporate/ventures/about
Michigan Biotechnology Institute,mbi.org/
McAlister Technologies,mcallister.com/
McElroy Manufacturing,mcelroy.com/
MCI,mci.com/mcihome.jsp
Medical Diagnostic Laboratories,mdlab.com/
Medgenics Medical Israel Ltd.,medgenics.com/
Mediatek Inc.,mediatek.com/
Medicis Pharmaceutical Corporation,medicis.com/
MEDport,medport.com/
MERCK SHARP & DOHME CORP.,merck.com/index.html
Merck Patent GmbH,merck.com/product/patent/home.html
Biosphere Medical,merit.com/interventional-oncology-spine/embolotherapy/
Meso Scale Technologies,mesoscale.com/
Handstand Innovations,messagewrap.com/
MIETAMARK GENETICS,metamarkgenetics.com/
Met Tech Inc.,mettech.us/
Meyer Tool,meyertool.com/
Michelin Recherche et Technique S.A.,michelin.com/eng
Microchip Technology Incorporated,microchip.com/
Microchips Biotech,microchipsbiotech.com/
MicroContinuum,microcontinuum.com/
Micro Cooling Concepts,microcoolingconcepts.com/
Micron Technology,micron.com/
U S MICROPOWER INC,micropower-group.com/
Microsemi SoC Corporation,microsemi.com/
MICROSOFT TECHNOLOGY LICENSING,microsoft.com/en-us/legal/intellectualproperty/mtl/default.aspx
Midori USA,midorihealth.com/
Midrex Technologies,midrex.com/
MILLENIUM SYNTHFUELS CORPORATION,milleniumsynthfuels.com/
Milliken & Company,milliken.com/
Minebea Co.,minebeamitsumi.com/english/
MirTech,mirtechusa.com/
Mission Product Holdings,mission.com/
Mitsubishi Metal Corporation,mitsubishicorp.com/jp/en/bg/metals/
Mitsubishi Electric Corporation,mitsubishielectric.com/
MicroLink Devices,mldevices.com/
Abbott Molecular Inc.,molecular.abbott/
Ibis Biosciences,molecular.abbott/int/en/home
Molecular Rebar Design,molecularrebar.com/
Momentive Performance Materials GmbH,momentive.com/en-US/
Momentive Performance Materials Inc.,momentive.com/en-US/
Monolithe Semiconductor Inc.,monolithsemi.com/
MonoSol,monosol.com/
Monsanto Technology LLC,monsanto.com/products/product-stewardship/technology-use-guides/
Morpho,morpho.com/en
Moxtek,moxtek.com/
Mumetel,mumetel.com/index.html
Murata Manufacturing Co.,murata.com/
Musco Corporation,musco.com/
Pioneer Energy,mypioneerenergy.com/
Warsaw Orthopedic,mywarsaw.net/
NanoLab,nano-lab.com/
Nanomix,nano.com/
NANO CELL SYSTEMS,nanocellsystems.com
nanoComposix,nanocomposix.com/
Nanocopocia,nanocopoeia.com/
Nanoco Technologies,nanocotechnologies.com/
NanoGram Corporation,nanogram.com
NanoMech,nanomech.com/
NANOPHTHALMICS,nanophthalmics.com/
Nanoquantum Sciences,nanoquantum.com/
FastCAP Systems Corporation,nanoramic.com/
Nanoridge Materials,nanoridge.com/
Nanospectra Biosciences,nanospectra.com/
Nanosys,nanosysinc.com/
Nanotech Biomachines,nanotechbio.com/
NanoTech Lubricants,nanotechlubricantsinc.com/Home.html
Nanotek Instruments,nanotekinstruments.com/
Nantero,nantero.com/
National Education Corporation,nationaleducation.com/
Nationwide Children's Hospital,nationwidechildrens.org/
Child Laboratories Inc.,nationwidechildrens.org/specialties/laboratory-services
Nthdegree Technologies Worldwide Inc.,ndeg.com/
New England Biolabs,neb.com/
NEC Corporation,nec.com/
NeoPhotonics Corporation,neophotonics.com/
NeoVision LLC,neovisiongroup.com/
Nestec S. A.,nestle.com/
NetApp,netapp.com/us/index.aspx
Neumedicines,neumedicines.com/
NeuMoDx Molecular,neumodx.com/
Neural Signals,neuralsignals.com/
ABB Technology Ltd.,new.abb.com/about/technology
ABB Research Ltd.,new.abb.com/about/technology/corporate-research-centers/corporate-research-center-united-states
Sirnaomics,new.sirnaomics.com/
NEWFIELD THERAPEUTICS CORPORATION,newfieldthera.com/
Newdoll Enterprises LLC,newholdllc.com/
Newlans,newlans.com/
Newport Corporation,newport.com/
New Technology Ventures,newtechvc.com/
Nexcom Technology,nexcom.com/
AVOGY,nexgenpowersystems.com/
NGK Spark Plug Co.,ngksparkplugs.com/
Nanoholdings,nh2.com/
NICHIA CORPORATION,nichiha.com/
Nikon Corporation,nikon.com/
Nissan Motor Co.,nissan-global.com/EN/
Nissan North America,nissanusa.com/about/corporate-information.html
Fianium Ltd.,nktphotonics.com/
nLIGHT,nlight.net/
nLIGHT Photonics Corporation,nlight.net/
JX Nippon Mining & Metals Corporation,nmm.jx-group.co.jp/english/
The Samuel Roberts Noble Foundation,noble.org/
Nokia Corporation,nokia.com/
Nokia Technologies Oy,nokia.com/
Nokomis,nokomisinc.com/
Nordic Technologies,nordic-technologies.com/
Nordson Corporation,nordson.com/
Northrop Grumman Systems Corporation,northropgrumman.com/
NCC Nano,novacentrix.com/
NOVA Chemicals (International) S.A.,novachem.com/pages/home.aspx
NOVA PANGAEA TECHNOLOGIES LIMITED,novapangaea.com/
Novartis AG,novartis.com/
NovaSolix,novasolix.com/
Nova Technologies,novatechnologies.com/
Novon,novon.com/
Novozymes A/S,novozymes.com/
Novozymes Inc.,novozymes.com/
Novozymes North America,novozymes.com/en/north-america
Novus Energy LLC,novusenergy.ca/index.php?page=investor_documents_news_release
Novus Technology,novustek.net/
SEIKO NPC Corporation,npc.co.jp/en/
Neutronic Perpetual Innovations,npimobile.com/
GE-Hitachi Nuclear Energy Americas LLC,nuclear.gepower.com/
mVerify Corporation,numverify.com/
NuOrtho Surgical,nuortho.com/
Nutech Ventures,nutechventures.org/
U.S. NUTRACEUTICALS,nutraceutical.com/
Pentair Thermal Management LLC,nventthermal.com/
Nvidia Corporation,nvidia.com/page/home.html
Northwest Biotherapeutics,nwbio.com/
Freescale Semiconductor,nxp.com/
NXP USA,nxp.com/
Owens-Brockway Glass Container Inc.,o-i.com/
OAS Design Group,oasdesigngroup.com/
O.B.I. Inc.,obi.org/
Oceanit Laboratories,oceanit.com/
Oculus VR,oculus.com/
OFS Fitel,ofsoptics.com/
Oki Data Corporation,oki.com/us/printing/
Universal Display Corporation,oled.com/
Olympus NDT,olympus-ims.com/en/
OLYMPUS CORPORATION,olympusamerica.com/
Omron Corporation,omron.com/
One Earth Designs Inc.,oneearthdesigns.com/
Fairchild Semiconductor Corporation,onsemi.com/
Opel Solar,opelinc.com/
Optodot Corporation,optodot.com/
Oracle International Corporation,oracle.com/index.html
Photon Dynamics,orbotech.com/
OrbusNeich Medical,orbusneich.com/
MICROMIDAS,originmaterials.com/
Ormat Technologies Inc.,ormat.com/en/home/a/main/
Chevron Oronitz Company LLC,oronite.com/
Ortho-Clinical Diagnostics,orthoclinicaldiagnostics.com/
OSI Optoelectronics,osioptoelectronics.com/
Ostendo Technologies,ostendo.com/
OTSUKA PHARMACEUTICAL CO.,otsuka.co.jp/en/
OmniVision Technologies,ovt.com/
Pacific Biosciences of California,pacb.com/
PACCAR Inc,paccar.com/
Pacific Light Technologies,pacificlighttech.com/
VINYLAST,palisaderail.com/
Sanyo Electric Co.,panasonic.com/global/corporate/profile/group-companies/sanyo.html
Paratek Pharmaceuticals,paratekpharma.com/
Palo Alto Research Center Incorporated,parc.com/
Pardev,pardev.com/
Parion Sciences,parion.com/
Parker-Hannifin Corporation,parker.com/
PAX Scientific,paxscientific.com/
The Paymaster Corporation,paymaster.com/
Professional Compounding Centers of America,pccarx.com/
PDF Solutions,pdf.com
Pegatron Corporation,pegatroncorp.com/
PELLION TECHNOLOGIES,pelliontech.com/
Pendar Technologies,pendar.com/
Pentron Clinical Technologies,pentron.com/
Performance Plants,performanceplants.com/
Perkinelmer Holdings,perkinelmer.com/
PetraSolar,petrasystems.com/
PeterBrod Corp.,petroblend.com/
Peytant Solutions,peytant.com/
Pfizer Inc.,pfizer.com/
The Procter & Gamble Company,pg.com/
Pharmatrophix,pharmatrophix.com/
Phillips 66 Company,phillips66.com/
UOP LLC,phoenix.edu/
Phoseon Technology,phoseon.com/
Pacific Industrial Development Corporation,pidc.com/
Piksel,piksel.com/
Karsten Manufacturing Corporation,ping.com/
Pinnacle Technology,pinnacle-technology.com/
Pixar,pixar.com/
Pixelligent Technologies,pixelligent.com/
Plant Sensory Systems,plantsensorysystems.com/
Plasma-Therm,plasmatherm.com/
Foret Plasma Labs,plasmawhirl.com/
Saint-Gobain Performance Plastics Corporation,plastics.saint-gobain.com/
PLEX LLC,plex.tv/
PluroGen Therapeutics,plurogen.com/
PNM,pnm.com/
POET Research,poet.com/scotland
Abbott Point of Care Inc.,pointofcare.abbott/us/en/home
POLAR LIGHT TECHNOLOGIES AB,polar-light-technologies.com/
Polaris Products LLC,polaris.com/en-us
Poly-Med,poly-med.com/
PolyOne Corporation,polyone.com/
PolyPlus Battery Company,polyplus.com/
Polysar Corporation,polystar.com/
PortaFire,port-a-fire.ca/
POSiFA MICROSYSTEMS,posifamicrosystems.com/
Power Integrations,power.com/
Strategic Solar Energy,powerparasol.com/
PQ CORPORATION,pqcorp.com/
Propagation Research Associates,pra-corp.com/
Praxair S.T. Technology,praxair.com/
Praxair Technology,praxair.com/
Previvo Genetics,previvo.com/
Production Resource Group,prg.com/
Semics Inc.,prober.com/semics-opus3-prober/
Prosoft International,prosoft-technology.com/
Proterra Inc.,proterra.com/
Proton Power,protonpower.com/
PTC Therapeutics,ptcbio.com/
Pulse Therapeutics,pulsetherapeutics.com/
Pyrexar Medical Inc.,pyrexar.com/
Qiagen GmbH,qiagen.com/us/
Quantum Materials Corporation,qmcdots.com/
RF Micro Devices,qorvo.com/
QUALCOMM Incorporated,qualcomm.com/
QUALCOMM MEMS Technologies,qualcomm.com/
Qualsig Inc.,qualsig.com/
Quantapore,quantapore.com/
Quantum Devices,quantumdev.com/
QuantumScape Corporation,quantumscape.com/
Dell Software Inc.,quest.com
RADIANCE SOLAR,radiancesolar.com/
Renewable Algal Energy,rae-energy.com/
R.A. Miller Industries,rami.com/
Rapamycin Holdings,rapamycinholdings.com/
Raytheon Company,raytheon.com/
Raytheon BBN Technologies Corp.,raytheon.com/ourcompany/bbn
Rebellion Photonics,rebellionphotonics.com/
Red Hat,redhat.com/en
Redwood Systems,redwoodsystemsgroup.com/
Regeneron Pharmaceuticals,regeneron.com/
Reliance Controls Corporation,reliancecontrols.com/
Relypsa,relypsa.com/
Renesas Electronics Corporation,renesas.com/en-us/
Renmatix,renmatix.com/
RenovaCare Sciences Corp.,renovacareinc.com/contact/
RES USA,res-usa.com/
Synaptic Research,research.synaptic.co.uk/
MANUFACTURING RESOURCES INTERNATIONAL,resourcemfg.com/
Revera,reveraliving.com/
Revivicor,revivicor.com/
Reynolds Technologies,reynoldstechnology.biz/
Rio Grande Valley Sugar Growers,rgvsugar.com/
Richtek Technology Corporation,richtek.com/
Ricoh Company Limited,ricoh.com/
Rima Enterprises,rimaenterprises.in/
Riverbed Technology,riverbed.com/
R.J. Reynolds Tobacco Company,rjrt.com/
Roche Molecular Systems,roche.com/
Roche Diabetes Care,roche.com/partnering/diagnostics-areas-of-interest/diabetes-management.htm
Roche Innovation Center Copenhagen A/S,roche.com/research_and_development/who_we_are_how_we_work/rnd_locations/research_location.htm?id=c98f27ea-a769-48ee-b7ef-4441cf20e267
Rockwell Automation Technologies,rockwellautomation.com/site-selection.html
Rockwell Collins,rockwellcollins.com/
Roll-N-Lock Corporation,rollnlock.com/
Rolls-Royce PLC,rolls-royce.com/
Rolls-Royce North American Technologies,rolls-royce.com/country-sites/northamerica.aspx
Renewable Power Conversion,rpcincorporated.com/
Research Triangle Institute,rti.org/
Sensor Electronic Technology,s-et.com/
SABIC GLOBAL TECHNOLOGIES B.V.,sabic.com/en
SAE Magnetics (HK) Ltd.,sae.com.hk/
Sagacious Investment Group L.L.C.,sagaciousinvestmentservices.com/
SAINT-GOBAIN ABRASIFS,saint-gobain-abrasives.com/en-us
Solan,salon.com/
Samsung Electronics,samsung.com/us/
Samsung Electronics Co.,samsung.com/us/
Samsung SDI Co.,samsungsdi.com/
Sandia Corporation,sandia.gov
SanDisk Technologies LLC,sandisk.com/
SanDisk 3D LLC,sandisk.com/home/ssd/ultra-3d-ssd
Sangamo BioSciences,sangamo.com/
Sanken Electric Co.,sanken-ele.co.jp/en/index.php
Sanofi,sanofi.com/en/
Genzyme Corporation,sanofigenzyme.com/
Sanuvox Technologies,sanuvox.com/
AVI BioPharma,sarepta.com/
Sarepta Therapeutics,sarepta.com/
Schneider Electric USA,schneider-electric.us/en/
Scientific Design Company,scidesign.com/
S. C. Johnson & Son,scjohnson.com/
S.C. Johnson & Son,scjohnson.com/
SD Technologies,sd-techs.com/
SEaB Energy Holdings Ltd.,seabenergy.com/
Seagate Technology LLC,seagate.com/
Sumitomo Electric Device Innovations,sedi.co.jp/?version=en
Seetron Inc.,seetron.com/index.html
Seiko Instruments Inc.,seikoinstruments.com/
Semiconductor Energy Laboratory Co.,sel.co.jp/en/
Selas Heat Technology Company LLC,selas.com/
Selecta Biosciences,selectabio.com/
Selkermetrics,selkermetrics.com/
SELMAN AND ASSOCIATES,selmanlog.com/
Sima Therapeutics,semma-tx.com/
Semprius,semprius.com
Senaya,senaya.com/
Sensor-Kinesis Corporation,sensor-kinesis.com/
Sequenom,sequenom.com/
ServiceNow,servicenow.com/
Sharp Laboratories of America,sharplabs.com/
Shell Oil Company,shell.us/
Shimadzu Corporation,shimadzu.com/
Shin-Etsu Chemical Co.,shinetsu.co.jp/en/
BAXALTA INCORPORATED,shire.com/
Shoals Technologies Group,shoals.com/
Nippon Shokubai Co.,shokubai.co.jp/en/
Pansonic Corporation,shop.panasonic.com/
Sick AG,sick.com/de/en/
SICPA Holding SA,sicpa.com/
Sony Interactive Entertainment America LLC,sie.com/en/index.html
Siemens Aktiengesellschaft ,siemens.com/global/en/home.html
Siemens Corporation,siemens.com/global/en/home.html
Siemens Energy,siemens.com/global/en/home/products/energy.html
Siemens Industry,siemens.com/us/en/home/products/automation.html
Sienna Biopharmaceuticals,siennabio.com/
Sienna Labs,siennabio.com/
ProNAi Therapeutics,sierraoncology.com/
Sierra Sciences,sierrasci.com/?p=home
Silicon Genesis Corporation,sigen.net/
Sigma-Aldrich Co. LLC,sigmaaldrich.com/
Sila Nanotechnologies,silanano.com/
Bluestar Silicones France,silicones.elkem.com/
Silicor Materials Inc.,silicormaterials.com/
Siluria Technologies,siluria.com/
Sinewatts,sinewatts.com/
Singular Bio,singularbio.com/
Singulex,singulexclarity.eu/
Sinton Consulting,sintoninstruments.com/
Sion Power Corporation,sionpower.com/
Solar Junction Corporation,sj-solar.com/
St. Jude Medical,sjm.com/
Hynix Semiconductor Inc.,skhynix.com/eng/index.jsp
SK Hynix Inc.,skhynix.com/eng/index.jsp
Skidmore,skidmore.edu/
SK Telecom Co.,sktelecom.com/index.html
Schlumberger Technology Corporation,slb.com/
Smart Planet Technologies,smartplanettech.com/
Surebeam Corporation,smebeam.com/
Smith & Nephew,smith-nephew.com/
SNS NANO FIBER TECHNOLOGY,snsnano.com/
SB ENERGY,softbank.jp/en/energy/
SOL-ELECTRICA,sol-electrica.com/
Sola U.S.A. Inc.,sola.at/
SolaBlock LLC,solablock.com/
SolAero Technologies Corp.,solaerotech.com
Schneider Electric Solar Inverters USA,solar.schneider-electric.com/
Solarmer Energy,solarmer.com/
SolarReserve Technology,solarreserve.com/en/technology
Solar-Tectic LLC,solartecticllc.com/
SOLARTONIC,solartonic.com/
SolarWorld Americas Inc.,solarworld-usa.com/
SOLAZYME,solazyme.com/
SOLENA FUELS CORPORATION,solenafuels.com/
Solight Solar,solight.com/
Soliton Lasers,soliton.com/
SunCulture Solar Inc.,solpad.com/
Solvay Specialty Polymers USA,solvay.com/en
Rhodia Operations,solvay.com/en/search/products
Sony Corporation,sony.com/
Soraa,soraa.com/
Soraa Laser Diode,soraalaser.com/
SPC International,spc-intl.com
SPICE SOLAR,spicesolar.com/
Siliconware Precision Industries Co.,spil.com.tw/
SixPoint Materials,spmaterials.com/
SRG Global,srgglobal.com/
Silicon Storage Technology,sst.com/
S&S X-Ray Products,ssxray.com/
St. Microelectronics Inc.,st.com/content/st_com/en.html
STMicroelectronics Limited,st.com/content/st_com/en.html
STMicroelectronics S.A.,st.com/content/st_com/en.html
Stablcor Technology,stablcor.com/
STANDARD ALCOHOL COMPANY OF AMERICA,standardalcohol.com/#!
Stanley Electric Co.,stanley.co.jp/e/
Star Technology and Research,star-tech-inc.com/
Starlight Energy Holdings LLC,starlightenergy.us/
Starsource Scientific LLC,starsource.com/about/?41.html
STATS ChipPAC,statschippac.com/
Stora Enso Oyj,storaenso.com/
Stratasys,stratasys.com/
Suganit Systems,suganit.com/
Sumco Corporation,sumco.com/
Sumitomo Rubber Industries,sumitomorubber-usa.com/
Sun Chemical Corporation,sunchemical.com/
Suncore Photovoltaics,suncoreus.com/
Sun Drilling Products Corporation,sundrilling.com/
Sundrop Fuels,sundropfuels.com/
SunEdison,sunedison.com/
Sungevity Inc.,sungevity.com/
Sunlight Photonics Inc.,sunlightphotonics.com/
SunLink Corporation,sunlink.com/
Solaire Generation LLC,sunpowercarports.com/
SunRun,sunrun.com/
Sunrun South LLC,sunrun.com/
SUNSALUTER,sunsaluter.org/
Sun Synchrony,sunsynchrony.com/
Integrated Solar Technology,suntegrasolar.com/
Supremex Inc.,supremex.com/
Sustainable Technologies,sustech.cc/wordpress/
Swagelok Company,swagelok.com/
Sweetwater Energy,sweetwater.us/
Swift Engineering,swiftengineering.com/
Southwest Research Institute,swri.org/
SUMITOMO WIRING SYSTEMS,sws.co.jp/en/
Osram Sylvania Inc.,sylvania.com/
Symantec Corporation,symantec.com/
Simbol Inc.,symbols.com/
Conexant Systems,synaptics.com/
Syngenta Participations AG,syngenta.com/
Synopsys,synopsys.com/
Synthetic Genomics,syntheticgenomics.com/
SYNTHOMER USA LLC,synthomer.com/
Sysmex Corporation,sysmex.com/Pages/default.aspx
System Biosciences,systembio.com/
TRI ALPHA ENERGY,tae.com/
Taiyo Ink Mfg. Co.,taiyo-hd.co.jp/en/group/ink/
Takara Bio Inc.,takarabio.com/
Takeda Pharmaceutical Company Limited,takeda.com/
Microsurge,talcusa.com/microsurge/
Tamura Corporation,tamuracorp.com/
Tapwave,tapwave.net/
Tarveda Therapeutics,tarveda.com/
Tau Therapeutics LLC,taurx.com/
TMC Corporation,tcm.com/
Tata Consultancy Services Limited,tcs.com/
Tyco Electronics Corporation,te.com/usa-en/home.html
Tyco Electronics U.K. LTD,te.com/usa-en/home.html
EXOS LLC,teamexos.com/
TECNIUM,tecnium.es/
TEKNOR APEX COMPANY,teknorapex.com/
Tokyo Electron Limited,tel.com/
Tela Innovations,tela-inc.com/
Teledyne Scientific & Imaging,teledyne-si.com/
Cetac Technologies Inc.,teledynecetac.com/
Teradata US,teradata.com/About-Us
E. Tech Incorporation,terratechcorp.com/
TerraVia Holdings,terravia.com/
Tersus Environmental,tersusenv.com/
SolarCity Corporation,tesla.com/solarpanels?energy_redirect=true
Tesla Nanocoatings,teslanano.com/
Tessera,tessera.com/
Tessera Advanced Technologies,tessera.com/
THE BOARD INSTITUTE,theboardinstitute.com/
The Carbon Cable Company,thecableco.com/
Angstron Materials,theglobalgraphenegroup.com/
TheGreenCell,thegreencell.com/
T.H.E.M.,them.net/
Theraclone Sciences,theraclone-sciences.com/home.php
SEEK THERMAL,thermal.com/
Life Technologies Corporation,thermofisher.com/us/en/home.html
Thermo Finnigan,thermofisher.com/us/en/home.html
Thermo Fisher Scientific Inc.,thermofisher.com/us/en/home.html
Applied Biosystems,thermofisher.com/us/en/home/brands/applied-biosystems.html
Disney Enterprises,thewaltdisneycompany.com/
Thoratec Corporation,thoratec.com/
Thorlabs,thorlabs.com/
Thorlabs Quantum Electronics,thorlabs.com/
Thorn Bioscience LLC,thornbioscience.com/
THYSSENKRUPP INDUSTRIAL SOLUTIONS GMBH,thyssenkrupp.com/en/
Texas Instruments Incorporated,ti.com/
NLT TECHNOLOGIES,tianma.co.jp/en/
Tigo Energy,tigoenergy.com/
Nederlandse Organisatie voor toegepast-natuurwetenschappelijk onderzoek TNO,tno.nl/en/
Toda Kogyo Corporation,todakogyo.co.jp/english/
Tokyo Ohka Kogyo Co.,tok.co.jp/eng/
TOMOWAVE LABORATORIES,tomowave.com/
Toray Industries Inc. ,toray.com/
Toray Plastics (America),toraytpa.com/
Kabushikikaisha Toshiba,toshiba.com/tai/
Toshiba America Electronic Components,toshiba.semicon-storage.com/us/top.html
Tosoh Corporation,tosoh.com/
Total Marketing Services,total.com/en
Toyota Jidosha Kabushiki Kaisha,toyota-global.com/pages/contents/investors/ir_library/sec/pdf/form_sd_201605_final.pdf
Toyota Motor Engineering & Manufacturing North America,toyota.com/usa/careers/index.html
TP Solar,tpsolar.nl/?lang=en
TRANE INTERNATIONAL INC.,trane.com/index.aspx
Transilwrap Company,transcendia.com/
Transitions Optical,transitions.com/en-us/
Transposagen Biopharmaceuticals,transposagenbio.com/
Transtron Solutions LLC,transtron.com/en/
Travis Industries,travisindustries.com/
TECHNOLOGY RESEARCH,trci.net/
Texas Research International,tri-intl.com/
TRIDONIC GMBH & CO KG,tridonic.com/com/en/
Triple Ring Technologies,tripleringtech.com/
Valicor,trucent.com/
True-Safe Technologies,true-safe.com/
Teal Sales Incorporated,tsi-inc.net
Taiwan Semiconductor Manufacturing Company,tsmc.com/english/default.htm
TT Technologies,tttechnologies.com/
Tufts Medical Center,tuftsmedicalcenter.org/
Turf Group LLC,turfgroup.net/
Turtle Beach Corporation,turtlebeach.com/
Ube Industries,ube-ind.co.jp/ube/en/index.html
UCB Pharma S.A.,ucb.com/
UChicago Argonne,uchicagoargonnellc.org/
United Microelectronics Corp.,umc.com/
Uni-Charm Corporation,unicharm.co.jp/english/index.html
Unifrax I LLC,unifrax.com/
UNISANTIS ELECTRONICS SINGAPORE PTE. LTD.,unisantis.com/
Uniseal Solutions Inc.,unisealsolutions.com/
Unistrut International Corp.,unistrut.us/
Unity Semiconductor Corporation,unity-sc.com/
Universal Leaf Tobacco Co.,universalcorp.com/
Kao Corporation,us.army.mil/
Bioneer Corporation,us.bioneer.com/
SunPower Corporation,us.sunpower.com/
Canon,usa.canon.com/internet/portal/us/home
DuPont Teijin Films U.S. Limited Partnership,usa.dupontteijinfilms.com/
Siemens Medical Solutions USA,usa.healthcare.siemens.com/
UT-Battelle,ut-battelle.org/
United Technologies Corporation,utc.com/
Hamilton Sundstrand Corporation,utcaerospacesystems.com/
UVIC INDUSTRY PARTNERSHIPS INC.,uvic.ca/research/partner/index.php
UWM Research Foundation,uwmrf.org/
Vadient Optics,vadient.com/
Abbott Cardiovascular Systems Inc.,vascular.abbott/us/homepage.html
Vascular BioSciences,vascularbiosciences.com/
Vaxiion Therapeutics,vaxiion.com/
VEECO PRECISION SURFACE PROCESSING LLC,veeco.com/technologies-and-products/precision-surface-processing-systems
Veracode,veracode.com/
Veracyte,veracyte.com/
VERILY LIFE SCIENCES LLC,verily.com/
VERLASE TECHNOLOGIES LLC,verlase.com/
Verliant Energy,verliantenergy.com/
VIASAT INC.,viasat.com/
VINDICO NANOBIO TECHNOLOGY INC.,vindicoat.com/
VIOLIN MEMORY,violinsystems.com/
Virent,virent.com/
Vizio Inc.,vizio.com/
VMware,vmware.com/
Traex Corporation,vollrath.com/Traex-Full-Size-Compartment-Racks-1766.htm
Silicon Space Technology Corp.,voragotech.com/
Vorbeck Materials Corporation,vorbeck.com/
Voxtel,voxtel-inc.com/
WAFERTECH,wafertech.com/en/careers/
Waters Technologies Corporation,waters.com/waters/home.htm?locale=en_US
Watlow Electric Manufacturing Company,watlow.com/
WCA Group LLC,wca-group.com/
Weatherford Canada Partnership,weatherford.com/
Wave Energy Conversion Corporation of America,weccamerica.com/
Terra Caloric,wellconnectgeo.com/
Wenger Corporation,wengercorp.com/
Wentworth Laboratories,wentworthlabs.com/
Wostec,westec.org/
WestPoint Home,westpointhome.com/
Building Envelope Innovations,wet-flash.com/
WHATSAPP INC.,whatsapp.com/
Wikipad,wikipad.com/
Winbond Electronics Corp.,winbond.com/
Wine.com,wine.com/
Wireless Environment,wirelessenv.com/
WiSys Technology Foundation,wisys.org/
Wizard Labs,wizardlabs.us/
Casio Computer Co.,world.casio.com/
WOVN,wovns.com/
W&Wsens Devices,wwsensdevices.com/
NOK Corporation,nok.co.jp/en/
George Mason Research Foundation,.gmu.edu/research
Hewlett-Packard Development Company,.hp.com/us/en/home.html
Wyatt Technology Corporation,wyatt.com/
X DEVELOPMENT LLC,x.org/wiki/Development/
ZENA TECHNOLOGIES,xena-technologies.com/
Xerox Corporation,xerox.com/
Xintec Inc.,xintec.com.tw/eng/index.aspx
Crystal Solar Inc.,xtalsolar.com/
Crystal Solar Incorporated,xtalsolar.com/
22nd Century Limited,xxiicentury.com/
Xyleco,xyleco.com/
Yageo Corporation,yageo.com/portal/product/product.jsp
Yamaha Corporation,yamaha-motor.com/
Yeda Research and Development Co.,yedarnd.com/Overview
Metabolix,yield10bio.com/
Yissum,yissum.co.il/
ZIH Corp.,zebra.com/us/en.html/
Carl Zeiss Meditec AG,zeiss.com/meditec-ag/home.html
Carl Zeiss Microscopy GmbH,zeiss.com/microscopy/int/home.html
Zeno Semiconductor Inc,zenosemi.com/
Zephyr Energy Systems LLC,zephyrenergy.com/
Zoetis Services LLC,zoetis.com/products-services/
ZON,zon.si/
Zygo Corporation,zygo.com/
Zyvex Labs,zyvexlabs.com/
