id,organization,thes_types,hand_edited
594,"Revivicor, Inc.",Corporate,
595,"Reynolds Technologies, Inc.",Corporate,
596,"Richtek Technology Corporation, R.O.C.",Corporate,
597,"Rillito Rive Solar, LLC",Corporate,
598,"Rio Grande Valley Sugar Growers, Inc.",Corporate,
599,"Riverbed Technology, Inc.",Corporate,
600,"Roche Diabetes Care, Inc.",Corporate,
601,"Rockwell Automation Technologies, Inc.",Corporate,
602,"Rockwell Collins, Inc.",Corporate,
603,"Roho, Inc.",Corporate,
604,"Rolls-Royce North American Technologies, Inc.",Corporate,
605,"Ruse Technologies, LLC",Corporate,
606,"Rutgers, The State University of New Jersey",Academic,
607,"Rutgers, The State of New Jersey",Government,
608,"S&S X-Ray Products, Inc.",Corporate,
609,"S. C. Johnson & Son, Inc. ",Corporate,
610,"S.C. Johnson & Son, Inc.",Corporate,
611,"SAMSUNG DISPLAY CO., LTD.",Corporate,
612,"SB ENERGY, LLC",Corporate,
613,"SCHOTTKY LSI, INC.",Corporate,
614,"SD Technologies, LLC",Corporate,
615,"SDCmaterials, Inc.",Corporate,
616,"SEEK THERMAL, INC.",Corporate,
617,"SELMAN AND ASSOCIATES, LTD.",Corporate,
618,"SK Telecom Co., Ltd",Corporate,
619,"SNS NANO FIBER TECHNOLOGY, LLC",Corporate,
620,"SOL-ELECTRICA, LLC",Corporate,
621,"SOLARTONIC, LLC",Corporate,
622,"SOLAZYME, INC.",Corporate,
623,"SPC International, LLC",Corporate,
624,"SPICE SOLAR, INC.",Corporate,
625,"SRG Global, Inc.",Corporate,
626,"STANDARD ALCOHOL COMPANY OF AMERICA, INC.",Corporate,
627,"STATS ChipPAC, Ltd.",Corporate,
628,"SUMITOMO WIRING SYSTEMS, LTD.",Corporate,
629,"Saint-Gobain Adfors Canada, Ltd",Corporate,
630,"Saint-Gobain Ceramics & Plastics, Inc.",Corporate,
631,"Samsung Corning Precision Materials Co., Ltd",Corporate,
632,"Samsung Electro-Mechanics Co., Ltd.",Corporate,
633,"Samsung Electronics Co., Ltd.",Corporate,
634,"Samsung Electronics, Cp. Ltd.",Corporate,
635,"Samsung SDI Co., Ltd.",Corporate,
636,"Sangamo BioSciences, Inc.",Corporate,
637,"Sanken Electric Co., Ltd.",Corporate,
638,"Sanyo Electric Co., Ltd.",Corporate,
639,"Sarepta Therapeutics, Inc.",Corporate,
640,"Schneider Electric Solar Inverters USA, Inc.",Corporate,
641,"Schneider Electric USA, Inc.",Corporate,
642,"Scientific Design Company, Inc.",Corporate,
643,"SeQual Technologies, Inc.",Corporate,
644,"Selecta Biosciences, Inc.",Corporate,
645,"Selkermetrics, LLC",Corporate,
646,"Semiconductor Components Industries, L.L.C.",Corporate,
647,"Semiconductor Energy Laboratory Co., Ltd.",Corporate,
648,"Semprius, Inc.",Corporate,
649,"Senaya, Inc.",Corporate,
650,"Senga Advisors, LLC",Corporate,
651,"Sensor Electronic Technology, Inc.",Corporate,
652,"Sequenom, Inc.",Corporate,
653,"ServiceNow, Inc.",Corporate,
654,"Sharp Laboratories of America, Inc.",Corporate,
655,"Shenzhen China Star Optoelectronics Technology Co., Ltd",Corporate,
656,"Shin-Etsu Chemical Co., Ltd.",Corporate,
657,"Shoals Technologies Group, LLC",Corporate,
658,"Shubin, Inc.",Corporate,
659,"Siemens Energy, Inc.",Corporate,
660,"Siemens Industry, Inc.",Corporate,
661,"Siemens Medical Solutions USA, Inc.",Corporate,
662,"Sienna Biopharmaceuticals, Inc.",Corporate,
663,"Sienna Labs, Inc.",Corporate,
664,"Sierra Sciences, LLC",Corporate,
665,"Sigmatel, Inc.",Corporate,
666,"Sila Nanotechnologies, Inc.",Corporate,
667,"Silicon Storage Technology, Inc.",Corporate,
668,"Siliconware Precision Industries Co., Ltd.",Corporate,
669,"Siluria Technologies, Inc.",Corporate,
670,"Sima Therapeutics, Inc.",Corporate,
671,"Simple Approach Systems, Inc.",Corporate,
672,"Sinewatts, Inc.",Corporate,
673,"Singular Bio, Inc.",Corporate,
674,"Singulex, Inc.",Corporate,
675,"Sinton Consulting, Inc.",Corporate,
676,"Sirnaomics, Inc.",Corporate,
677,"SixPoint Materials, Inc.",Corporate,
678,"Skidmore, Owings & Merrill LLP",Corporate,1
679,"Smart Planet Technologies, Inc.",Corporate,
680,"Smith & Nephew, Inc.",Corporate,
681,"Solan, LLC",Corporate,
682,"SolarReserve Technology, LLC",Corporate,
683,"Solarmer Energy, Inc.",Corporate,
684,"Solexa, Inc.",Corporate,
685,"Solight Solar, Inc.",Corporate,
686,"Solvay Specialty Polymers USA, LLC",Corporate,
687,"SonoGene, L.L.C.",Corporate,1
688,"Sophoro Biotechnologies, LLC",Corporate,
689,"Soraa Laser Diode, Inc.",Corporate,
690,"Soraa, Inc.",Corporate,
691,"St. Jude Medical, Inc.",Corporate,
692,"Stablcor Technology, Inc.",Corporate,
693,"Stanley Electric Co., Ltd.",Corporate,
694,"Star Technology and Research, Inc.",Corporate,
695,"Stratasys, Inc.",Corporate,
696,"Strategic Solar Energy, LLC",Corporate,
697,"Suganit Systems, Inc.",Corporate,
698,"Sumitomo Electric Device Innovations, Inc.",Corporate,
699,"Sumitomo Electric Industries, Ltd.",Corporate,
700,"Sumitomo Rubber Industries, Ltd. ",Corporate,
701,"SunEdison, Inc.",Corporate,
702,"SunRun, Inc.",Corporate,
703,"Suncore Photovoltaics, Incorporated",Corporate,
704,"Sundrop Fuels, Inc.",Corporate,
705,"Sustainable Technologies, LLC",Corporate,
706,"Sweetwater Energy, Inc.",Corporate,
707,"Swift Engineering, Inc.",Corporate,
708,"Synaptic Research, LLC",Corporate,
709,"Synopsys, Inc.",Corporate,
710,"Synthetic Genomics, Inc.",Corporate,
711,"Synthezyme, LLC",Corporate,
712,"System Biosciences, LLC",Corporate,
713,"T.H.E.M., Inc.",Corporate,
714,"TECHNOLOGY RESEARCH, LLC",Corporate,
715,"TECNIUM, LLC",Corporate,
716,"THE BOARD INSTITUTE, INC.",Corporate,
717,"THE SWEET LIVING GROUP, LLC",Corporate,
718,"TOMOWAVE LABORATORIES, INC.",Corporate,
719,"TP Solar, Inc.",Corporate,
720,"TRI ALPHA ENERGY, INC.",Corporate,
721,"TT Technologies, Inc.",Corporate,
722,"Taiwan Semiconductor Manufacturing Company, Ltd.",Corporate,
723,"Taiyo Ink Mfg. Co., Ltd.",Corporate,
724,"Tapwave, Inc.",Corporate,
725,"Tarveda Therapeutics, Inc.",Corporate,
726,"Taxon Biosciences, Inc.",Corporate,
727,"Tekkware, Inc.",Corporate,
728,"Tela Innovations, Inc.",Corporate,
729,"Teledyne Scientific & Imaging, LLC",Corporate,
730,"Tensor, Inc.",Corporate,
731,"Teradata US, Inc.",Corporate,
732,"Terra Caloric, LLC",Corporate,
733,"TerraVia Holdings, Inc.",Corporate,
734,"Tersus Environmental, LLC",Corporate,
735,"Tesla Nanocoatings, Inc.",Corporate,
736,"Tessera Advanced Technologies, Inc.",Corporate,
737,"Tessera, Inc.",Corporate,
738,"TetraSun, Inc.",Corporate,
739,"Texas Research International, Inc.",Corporate,
740,"The Board of Trustees of the University of Alabama, for and on behalf of the University of Alabama in Huntsville",Academic,
741,"The Carbon Cable Company, LLC",Corporate,
742,"The Charles Stark Draper Laboratory, Inc.",Corporate,
743,"The Government of the United States of America as represented by The Secretary of The Department of Health and Human Services, The National Institutes of Health",Government,
744,"The Government of the United States of America as represented by the Secretary of Health and Human Services, Centers for Disease Control and Prevention",Government,
745,"The Henry M. Jackson Foundation for the Advancement of Military Medicine, Inc.",Corporate,
746,"The Regents of the University of Colorado, a body corporate",Academic,
747,"The Research Foundation of State University Of New York Research Development Services, Binghamton University",Academic,
748,"The Samuel Roberts Noble Foundation, Inc.",Corporate,
749,"The United States of America, Naval Undersea Warfare Center",Government,
750,"TheGreenCell, Inc.",Corporate,
751,"Theraclone Sciences, Inc.",Corporate,
752,"Therapeutic Proteins International, LLC",Corporate,
753,"Thermo Finnigan, LLC",Corporate,
754,"Thorlabs Quantum Electronics, Inc.",Corporate,
755,"Thorlabs, Inc.",Corporate,
756,"Tigo Energy, Inc.",Corporate,
757,"Tokyo Ohka Kogyo Co., Ltd.",Corporate,
758,"Toray Plastics (America), Inc.",Corporate,
759,"Toshiba America Electronic Components, Inc.",Corporate,
760,"Toyota Motor Engineering & Manufacturing North America, Inc.",Corporate,
761,"Transilwrap Company, Inc.",Corporate,
762,"Transitions Optical, Inc.",Corporate,
763,"Transposagen Biopharmaceuticals, Inc.",Corporate,
764,"Travis Industries, Inc.",Corporate,
765,"Triple Ring Technologies, Inc.",Corporate,
766,"Truckee Applied Genomics, LLC",Corporate,
767,"True-Safe Technologies, Inc.",Corporate,
768,"Tufts Medical Center, Inc.",Corporate,
769,"Twitter, Inc.",Corporate,
770,"U.S. NUTRACEUTICALS, LLC",Corporate,
771,"UChicago Argonne, LLC",Corporate,?
772,"UNIVERSITY OF MARYLAND, COLLEGE PARK",Academic,
773,"UT-Battelle, LLC",Corporate,?
774,"UWM Research Foundation, Inc.",Corporate,
775,"Ube Industries, Ltd.",Corporate,
776,"Universal Leaf Tobacco Co., Inc.",Corporate,
777,"University of Central Florida Research Foundation, Inc.",Academic,1
778,"University of Florida Research Foundation, Inc.",Academic,1
779,"University of Georgia Research Foundation, Inc.",Academic,1
780,"University of Louisville Research Foundation, Inc.",Academic,1
781,"University of Maryland, Baltimore County",Academic,1
782,"V35A Enterprises, LLC",Corporate,
783,"VALTED, LLC",Corporate,
784,"VINYLAST, INC.",Corporate,
785,"VMware, Inc.",Corporate,
786,"Vadient Optics, LLC",Corporate,
787,"Valicor, Inc.",Corporate,
788,"Varian Semiconductor Equipment Associates, Inc.",Corporate,
789,"Vaxiion Therapeutics, Inc.",Corporate,
790,"Ventana Medical Systems, Inc.",Corporate,
791,"Veracode, Inc.",Corporate,
792,"Veracyte, Inc.",Corporate,
793,"Verliant Energy, Inc.",Corporate,
794,"Vindico NanoBioTechnology, LLC",Corporate,
795,"Virent, Inc.",Corporate,
796,"Virginia Tech Intellectual Properties, Inc.",Academic,
797,"Voxtel, Inc.",Corporate,
798,"W&Wsens Devices, Inc.",Corporate,
799,"WAFERTECH, LLC",Corporate,
800,"WOVN, INC.",Corporate,
801,"Warsaw Orthopedic, Inc.",Corporate,
802,"Wentworth Laboratories, Inc.",Corporate,
803,"WestPoint Home, Inc.",Corporate,
804,"Western Digital (Fremont), LLC",Corporate,
805,"Western Digital Technologies, Inc.",Corporate,
806,"WiSys Technology Foundation, Inc.",Corporate,
807,"Wikipad, Inc.",Corporate,
808,"Wine.com, Inc.",Corporate,
809,"Wireless Environment, LLC",Corporate,
810,"Wizard Labs, LLC",Corporate,
811,"Wostec, Inc. 032138/0242",Corporate,
812,"Xyleco, Inc.",Corporate,
813,"Yeda Research and Development Co., Ltd.",Corporate,
814,"Yissum, Research Development Company of the Hebrew University of Jerusalem",Corporate,
815,"ZENA TECHNOLOGIES, INC.",Corporate,
816,"Ziptronix, Inc.",Corporate,
817,"Zyvex Labs, LLC",Corporate,
818,"aTyr Pharma, Inc.",Corporate,
819,"adaptiveARC, Inc.",Corporate,
820,"bioTheranostics, Inc.",Corporate,
821,"eNow, Inc.",Corporate,
822,"iBio, Inc.",Corporate,
823,"k-Space Associates, Inc.",Corporate,
824,"kSep Systems, LLC",Corporate,
825,"nLIGHT, Inc.",Corporate,
826,"nanoComposix, Inc.",Corporate,
827,3M Innovative Properties Company,Corporate,
828,646840 Alberta Ltd.,Corporate,
829,AAC Technologies Pte. Ltd.,Corporate,
830,ABB AB,Corporate,
831,ABB Research Ltd.,Corporate,
832,ABB Technology Ltd.,Corporate,
833,ABL IP Holding LLC,Corporate,
834,AC International Inc.,Corporate,
835,ACACIA RESEARCH GROUP LLC,Corporate,
836,ACUCELA INC.,Corporate,
837,ADASA INC.,Corporate,
838,ADVANCED INNOVATION CENTER LLC,Corporate,
839,AGFA-GEVAERT N.V.,Corporate,
840,ALSTOM Technology Ltd,Corporate,
841,AMERICAN BIO ENERGY CONVERTING CORP.,Corporate,
842,APPLIED MATERIALS ISRAEL LTD.,Corporate,
843,ASM IP HOLDING B.V.,Corporate,
844,ASM IP Holdings LLC,Corporate,
845,ASML Netherlands B.V.,Corporate,
846,AT&T Corporation,Corporate,
847,ATI Technologies ULC,Corporate,
848,ATOMERA INCORPORATED,Corporate,
849,AZ Electronic Materials (Luxembourg) S.A.R.L.,Corporate,
850,AbbVie Inc.,Corporate,
851,Abbott Cardiovascular Systems Inc.,Corporate,
852,Abbott Molecular Inc.,Corporate,
853,Abbott Point of Care Inc.,Corporate,
854,Access Business Group International LLC,Corporate,
855,AccuRay Corporation,Corporate,
856,Acer Incorporated,Corporate,
857,Achushnet Company,Corporate,
858,Adaptive Biotechnologies Corp.,Corporate,
859,Adeka Corporation,Corporate,
860,Adobe Systems Incorporated,Corporate,
861,Advanced Aqua Group,Corporate,
862,Aerosol Dynamics Inc.,Corporate,
863,AgroFresh Inc.,Corporate,
864,Alcatel Lucent,Corporate,
865,Algenol Biotech LLC,Corporate,
866,Alpha and Omega Semiconductor Incorporated,Corporate,
867,Altex Technologies Corporation,Corporate,
868,Amberwave Inc.,Corporate,
869,American Science and Technology Corporation,Corporate,
870,American University of Beirut,Academic,
871,Amgen Fremont Inc.,Corporate,
872,Amgen Inc.,Corporate,
873,Ana G. MÌ©ndez University System,Academic,
874,Andritz Inc.,Corporate,
875,Aneeve LLC,Corporate,
876,Anelva Corporation,Corporate,
877,Angstron Materials,Corporate,
878,Anlinx,Corporate,
879,Antaya Technologies Corporation,Corporate,
880,Apple Inc.,Corporate,
881,Applied Genetic Technologies Corporation,Corporate,
882,Archer Daniels Midland Company,Corporate,
883,Arizona Board of Regents acting on behalf of Arizona State University,Academic,
884,Arizona Board of Regents on Behalf of the University of Arizona,Academic,
885,Arkema Inc.,Corporate,
886,Arkival Technology Corp.,Corporate,
887,Armageddon Energy Inc.,Corporate,
888,Asahi Kasei Kabushiki Kaisha,Corporate,
889,Assistance Pulique-HÌ«pitaux de Paris,Hospital,
890,Atleisure LLC,Corporate,
891,Atomic Energy Council-Institute of Nuclear Energy Research,Corporate,
892,Atotech Deutschland GmbH,Corporate,
893,Atrium Medical Corporation,Corporate,
894,Auburn University,Academic,
895,Avago Technologies General IP (Singapore) Pte. Ltd.,Corporate,
896,Avant Garde Therapeutics & Technologies LLC,Corporate,
897,Avery Dennison Corporation,Corporate,
898,Avtaec Limited,Corporate,
899,B.G. Negev Technologies and Applications Ltd.,Corporate,
900,BAE Systems Information and Electronic Systems Integration Inc.,Corporate,
901,BASF,Corporate,
902,BASF Coatings GmbH,Corporate,
903,BASF Corporation ,Corporate,
904,BASF Enzymes LLC,Corporate,
905,BASF Plant Science GmbH,Corporate,
906,BASF SE,Corporate,
907,BAXALTA INCORPORATED,Corporate,
908,BCE Inc.,Corporate,
909,BERKEN ENERGY LLC,Corporate,
910,BLANC VINEYARDS L.L.C.,Corporate,
911,BOLTIER R&D,Corporate,
912,BP Corporation North America Inc.,Corporate,
913,BRIGHAM YOUNG UNIVERSITY,Academic,
914,BRIGHTLEAF TECHNOLOGIES INC.,Corporate,
915,BROADCOM CORPORATION,Corporate,
916,BROOKLYN QUANTUM WORKS,Corporate,
917,BTPATENT LLC,Corporate,
918,BTU International,Corporate,
919,Baker Hughes Incorporated,Corporate,
920,Bakersun,Corporate,
921,Banpil Photonics,Corporate,
922,Basell Polyolefine GmbH,Corporate,
923,Battelle Memorial Institute,Corporate,
924,Bausch & Lomb Incorporated,Corporate,
925,Baxter Healthcare SA,Corporate,
926,Baxter International Inc.,Corporate,
927,Bayer Cropscience AG,Corporate,
928,Bayer Materialscience LLC,Corporate,
929,Baylor College of Medicine,Academic,
930,Bell Helicopter Textron Inc.,Corporate,
931,Beryllium Discovery Corp.,Corporate,
932,Beth Israel Medical Center,Hospital,
933,Bi-Modal Corporation,Corporate,
934,Bigelow Aerospace,Corporate,
935,Biocon Limited,Corporate,
936,Bioneer Corporation,Corporate,
937,Biosense Webster (Israel) Ltd.,Corporate,
938,Biotta LLC,Corporate,
939,Bitrode Corporation,Corporate,
940,BlackBerry Limited,Corporate,
941,Bluestar Silicones France,Corporate,
942,Board of Trustees of Michigan State University,Academic,
943,Boehringer Ingelheim International GmbH,Corporate,
944,Boehringer Ingelheim Vetmedica GmbH,Corporate,
945,Bosch Energy Storage Solutions LLC,Corporate,
946,Boston Scientific Neuromodulation Corporation,Corporate,
947,Brandels University,Academic,
948,Brewer Science Inc.,Corporate,
949,Bridgestone Corporation,Corporate,
950,Brigham and Women's Hospital,Hospital,
951,Bristol-Myers Squibb Company,Corporate,
952,Brookhaven Science Associates LLC ,Corporate,
953,Brother International Corporation,Corporate,
954,Brother Kogyo Kabushiki Kaisha,Corporate,
955,Brown University,Academic,
956,Butamax(TM) Advanced Biofuels LLC,Corporate,
957,CAMBRIDGE ENTERPRISE LIMITED,Corporate,
958,CARBO Ceramics Inc.,Corporate,
959,CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE,Government,
960,CERION LLC,Corporate,
961,CITY UNIVERSITY OF HONG KONG,Academic,
962,CLEARSIGN COMBUSTION CORPORATION,Corporate,
963,CNH Industrial America LLC,Corporate,
964,CNRS,Government,
965,COOK MEDICAL TECHNOLOGIES LLC,Corporate,
966,COVERIS FLEXIBLES US LLC,Corporate,
967,CP KELCO APS,Corporate,
968,CPC International Inc.,Corporate,
969,CSEM Centre Suisse d'Electronique et de Microtechnique SA-Recherche et Developpement,Corporate,
970,Cabot Corporation,Corporate,
971,Cadtrak Corporation,Corporate,
972,California Institute of Technology,Academic,
973,Callahan Cellular L.L.C.,Corporate,
974,Canon Kabushiki Kaisha,Corporate,
975,Carl Zeiss Meditec AG,Corporate,
976,Carl Zeiss Microscopy GmbH,Corporate,
977,Carnegie Mellon University,Academic,
978,Case Western Reserve University,Academic,
979,Cbrite Inc.,Corporate,
980,Cedar Ridge Research,Corporate,
981,Cedars-Sinai Medical Center,Hospital,
982,Celanese Corporation,Corporate,
983,Celanese International Corporation,Corporate,
984,Central Iowa Health System,Government,?
985,Centre de Recherche Industrielle du Quebec,Corporate,
986,Certain-teed Corporation,Corporate,
987,Cetac Technologies Inc.,Corporate,
988,Cetus Corporation,Corporate,
989,Chevron Oronitz Company LLC,Corporate,
990,Chevron Phillips Chemical Company LP,Corporate,
991,Chevron U.S.A. Inc.,Corporate,
992,Child Laboratories Inc.,Corporate,
993,Children's Hospital and Research Center at Oakland,Hospital,
994,Children's National Medical Center,Hospital,
995,China University of Petroleum-Beijing,Academic,
996,Chipmos Technologies Inc.,Corporate,
997,Chiron Corporation,Corporate,
998,Cima NanoTech Israel Ltd.,Corporate,
999,City of Hope,Hospital,
1000,Cleanvantage LLC,Corporate,
1001,Clemson University,Academic,
1002,Clemson University Research Foundation,Academic,
1003,Coactive Drive Corporation,Corporate,
1004,Colgate-Palmolive Company,Corporate,
1005,Coloplast A/S,Government,
1006,Colorado School of Mines,Academic,
1007,Colorado State University Research Foundation,Academic,
1008,Columbia Insurance Company,Corporate,
1009,Columbia University,Academic,
1010,Commissariat a l'Energie Atomique,Government,
1011,Commissariat a l'Energie Atomique et aux Energies Alternatives,Government,
1012,Commonwealth Scientific & Industrial Research Organization,Government,
1013,Community Power Corporation,Corporate,
1014,Compagnie Generale des Etablissements Michelin,Government,
1015,Conoco Inc.,Corporate,
1016,ConocoPhillips Company,Corporate,
1017,Conversant Intellectual Property Management Inc.,Corporate,
1018,Cook Biotech Incorporated,Government,
1019,CoolEarth Solar,Government,
1020,Cooper Technologies Company,Corporate,
1021,Cornell University,Academic,
1022,Corning Incorporated,Government,
1023,Corporation for National Research Initiatives,Corporate,
1024,Council of Scientific and Industrial Research,Academic,
1025,Covidien LP,Government,
1026,Crestovo LLC,Corporate,
1027,Cristal USA Inc.,Corporate,
1028,Crowder College,Academic,
1029,Crystal Solar Inc.,Corporate,
1030,Crystal Solar Incorporated,Government,
1031,Crystalplex Corporation,Corporate,
1032,Custom Electronics Inc.,Corporate,
1033,Cymatics Laboratories Corp.,Corporate,
1034,Cypress Semiconductor Corp.,Corporate,
1035,D-Wave Systems Inc.,Corporate,
1036,DECA Technologies Inc.,Corporate,
1037,DEKA Products Limited Partnership,Corporate,
1038,DIC Corporation,Corporate,
1039,DISCOVERYBIOMED INC.,Corporate,
1040,DPx Holdings B.V.,Government,
1041,DSP Group LTD.,Corporate,
1042,Dana Corporation,Corporate,
1043,Danisco US Inc.,Corporate,
1044,Danmarks Tekniske Universitet,Academic,
1045,Delavau LLC,Corporate,
1046,Dell Software Inc.,Corporate,
1047,Denso Corporation,Corporate,
1048,Deployable Space Systems,Government,
1049,Deutsches Krebsforschungszentrum Stiftung Des Offenlichen Rechts,Government,
1050,Dexerials Corporation,Corporate,
1051,Dialight Corporation,Corporate,
1052,Dialogic Corporation,Corporate,
1053,DiscoveRx Corporation,Corporate,
1054,Dolby Laboratories Licensing Corporation,Corporate,
1055,Dow AgroSciences LLC,Corporate,
1056,Dow Corning Corporation,Corporate,
1057,Dow Global Technologies Inc.,Corporate,
1058,Dow Technology Investments LLC,Corporate,
1059,Dr. Reddy's Laboratories Ltd.,Corporate,
1060,Dresser-Rand Company,Corporate,
1061,Drexel University,Academic,
1062,DuPont Teijin Films U.S. Limited Partnership,Corporate,
1063,Duke University,Academic,
1064,Duquesne University of the Holy Ghost,Academic,
1065,Dymax Corporation,Corporate,
1066,E Ink Corporation,Corporate,
1067,E. I. du Pont de Nemours and Company,Corporate,
1068,E. I. du Pont de Nemours and Company duPont Displays Inc,Corporate,
1069,E. Tech Incorporation,Government,
1070,E.I. du Pont de Nemours and Company,Corporate,
1071,ECOSYNTHETIX LTD.,Corporate,
1072,ELC Management LLC,Corporate,
1073,EMC Corporation,Corporate,
1074,EMD Technologies Inc.,Corporate,
1075,ENERGY INDEPENDENCE OF AMERICA CORP.,Corporate,
1076,ENI S.p.A.,Government,
1077,EPCOS AG,Corporate,
1078,EXOS LLC,Corporate,
1079,East China University of Science and Technology,Academic,
1080,Eastman Chemical Company,Corporate,
1081,Eastman Kodak Company,Corporate,
1082,Eaton Corporation,Corporate,
1083,EchoStar Technologies LLC,Corporate,
1084,Ecolab Inc.,Corporate,
1085,Ecole Normale Superieure de Cachan,Academic,
1086,Ecole Polytechnique Federale De Lausanne,Academic,
1087,Electronics and Telecommunications Research Institute,Academic,
1088,Electrovaya Inc.,Corporate,
1089,Elwha LLC,Corporate,
1090,Em-Tech LLC,Corporate,
1091,Embro Corporation,Corporate,
1092,Emory University,Academic,
1093,Empire Technology Development LLC,Corporate,
1094,Envisionit LLC,Corporate,
1095,Evernote Corporation,Corporate,
1096,Evoqua Water Technologies LLC,Corporate,
1097,Exatec LLC,Corporate,
1098,Excelsior Nanotech Corporation,Corporate,
1099,ExxonMobil Chemical Patents Inc.,Corporate,
1100,ExxonMobil Research and Engineering Company,Corporate,
1101,ExxonMobil Upstream Research Company,Corporate,
1102,FEI Company,Corporate,
1103,FLOW CONTROL LLC.,Corporate,
1104,FPInnovations,Government,
1105,FRONT EDGE TECHNOLOGY INC.,Corporate,
1106,FUJIFILM Corporation,Corporate,
1107,Fairchild Semiconductor Corporation,Corporate,
1108,FastCAP Systems Corporation,Corporate,
1109,Fayetteville State University,Academic,
1110,Federal Signal Corporation,Corporate,
1111,Ferric Inc.,Corporate,
1112,Ferro Corporation,Corporate,
1113,Fianium Ltd.,Corporate,
1114,Fike Corporation,Corporate,
1115,Finisar Corporation,Corporate,
1116,FlashSilicon Incorporation,Government,
1117,Floadia Corporation,Corporate,
1118,Fluidigm Corporation,Corporate,
1119,Forsyth Dental Infirmary for Children,Government,
1120,Fred Hutchinson Cancer Research Center,Academic,
1121,Friedrich-Alexander-Universitaet Erlangen-Nuernberg,Academic,
1122,Fujitsu Limited,Corporate,
1123,Fujitsu Semiconductor Limited,Corporate,
1124,G.D.O. Inc,Corporate,
1125,GCP Applied Technologies Inc.,Corporate,
1126,GE Healthcare Limited,Corporate,
1127,GE-Hitachi Nuclear Energy Americas LLC,Corporate,
1128,GEN-PROBE INCORPORATED,Government,
1129,GENCO SCIENCES LLC,Corporate,
1130,GENERAL ELECTRIC COMPANY,Corporate,
1131,GENERAL MOTORS LLC,Corporate,
1132,GIGA SOLAR FPC,Government,
1133,GLIKNIK INC.,Corporate,
1134,GLOBALFOUNDRIES Inc.,Corporate,
1135,GLYCON LLC,Corporate,
1136,GOAL ZERO LLC,Corporate,
1137,GOLBA LLC,Corporate,
1138,GOOGLE TECHNOLOGY HOLDINGS LLC,Corporate,
1139,GREENFIELD MASTER IPCO LIMITED,Corporate,
1140,GREENHILL ANTIBALLISTICS CORPORATION,Corporate,
1141,Galemed Corporation,Corporate,
1142,Garrity Power Services LLC,Corporate,
1143,Gas Technology Institute,Academic,
1144,Genesco Inc.,Corporate,
1145,Genzyme Corporation,Corporate,
1146,Georgetown University,Academic,
1147,Georgia Tech Research Corporation,Corporate,
1148,Georgia-Pacific Gypsum LLC,Corporate,
1149,Gestion Ultra International Inc.,Corporate,
1150,Global Eagle Entertainment Inc.,Corporate,
1151,Global Filtration Systems,Government,
1152,Global OLED Technology LLC,Corporate,
1153,Glucan Biorenewables LLC,Corporate,
1154,Google Inc.,Corporate,
1155,Grain Processing Corporation,Corporate,
1156,Grandis Inc.,Corporate,
1157,Greatbatch Ltd.,Corporate,
1158,Green Extraction Technologies,Government,
1159,Greggory Tate Homrighous and Frank Bryan Homrighous,Government,
1160,Gtech Corporation,Corporate,
1161,Gula Consulting Limited Liability Company,Corporate,
1162,H R D CORPORATION,Corporate,
1163,HAMAMATSU PHOTONICS K.K.,Government,
1164,HGST NETHERLANDS B.V.,Government,
1165,HOWARD INDUSTRIES,Government,
1166,HTC Corporation,Corporate,
1167,Hadasit Medical Research Services & Development Company Ltd.,Corporate,
1168,Hamilton Sundstrand Corporation,Corporate,
1169,Harris Corporation,Corporate,
1170,Heat Seal LLC,Corporate,
1171,Heidelberger Druckmaschinen AG,Corporate,
1172,Helios Focus LLC,Corporate,
1173,Henkel AG & Co. KGaA,Corporate,
1174,Henry Ford Health Systems,Government,
1175,Heraeus Precious Metals North America Conshohocken LLC,Corporate,
1176,Hewlett Packard Enterprise Development LP,Government,
1177,Hewlett-Packard Indigo B.V.,Government,
1178,Hitachi High-Technologies Corporation,Corporate,
1179,Hollingsworth & Vose Company,Corporate,
1180,Honeywell International Inc.,Corporate,
1181,Hosiden Corporation,Corporate,
1182,Howard University,Academic,
1183,Hoya Corporation,Corporate,
1184,Humanetics Corporation,Corporate,
1185,Hunt Energy Enterprises LLC,Corporate,
1186,Hunter Douglas Inc.,Corporate,
1187,Hynix Semiconductor Inc.,Corporate,
1188,Hysitron Incorporated,Government,
1189,Hyundai Motor Company,Corporate,
1190,IDEALAB,Government,
1191,IDEX Health & Science LLC,Corporate,
1192,II-VI Incorporated,Government,
1193,IMDS Corporation,Corporate,
1194,IMEC,Government,
1195,INDIANA UNIVERSITY RESEARCH & TECHNOLOGY CORPORATION,Corporate,
1196,INENTEC INC.,Corporate,
1197,INFINEUM INTERNATIONAL LIMITED,Corporate,
1198,INTEL IP CORPORATION,Corporate,
1199,INVISTA North America S.a.r.l.,Government,
1200,Icahn School of Medicine at Mount Sinai,Academic,
1201,Ideal Power Inc.,Corporate,
1202,Illinois Institute of Technology,Academic,
1203,Imperial Innovations Limited,Corporate,
1204,InView Technology Corporation,Corporate,
1205,Incept LLC,Corporate,
1206,Incyte Holdings Corporation,Corporate,
1207,Industrial Technology Research Institute,Academic,
1208,Infineon Technologies AG,Corporate,
1209,Infineon Technologies Americas Corp.,Corporate,
1210,Infinera Corporation,Corporate,
1211,Innolux Corporation,Corporate,
