22nd Century Limited	xxiicentury.com/
Global OLED Technology LLC	globaloledtech.com/
Glucan Biorenewables LLC	glucanbio.com/
Grain Processing Corporation	grainprocessing.com/
Greatbatch Ltd.	integer.net/
Gtech Corporation	gtech.co.uk/
HAMAMATSU PHOTONICS K.K.	hamamatsu.com/jp/en/index.html
HOWARD INDUSTRIES	howard-ind.com/
HTC Corporation	htc.com/us/
Harris Corporation	harris.com/
Heat Seal LLC	heatsealco.com/
Helios Focus LLC	heliosfocus.com/
Henkel AG & Co. KGaA	henkel.com/
Honeywell International Inc.	honeywell.com/
Hosiden Corporation	hosiden.com/
Humanetics Corporation	humaneticsatd.com/
Hunt Energy Enterprises LLC	huntenergyenterprises.com/
Hunter Douglas Inc.	hunterdouglas.com/
Hynix Semiconductor Inc.	skhynix.com/eng/index.jsp
Hysitron Incorporated	hysitron.com/
Hyundai Motor Company	hyundaiusa.com/
IDEALAB	idealab.com/
IDEX Health & Science LLC	idex-hs.com/
II-VI Incorporated	ii-vi.com/
INENTEC INC.	inentec.com/
INFINEUM INTERNATIONAL LIMITED	infineum.com/
INVISTA North America S.a.r.l.	invista.com/
Ideal Power Inc.	idealpower.com/
InView Technology Corporation	inview.tv/
Incyte Holdings Corporation	incyte.com/
Infineon Technologies AG	infineon.com/
Infineon Technologies Americas Corp.	infineon.com/
Infinera Corporation	infinera.com/
Intellectual Keystone Technology LLC	ikt.us.com/
International Business Machines Corporation	ibm.com/us-en/
International Technology Center	itc-inc.org/
IntriEnergy Inc.	intrienergy.com/#!
Invensas Corporation	invensas.com/
Iogen Corporation	iogen.ca/
Ivoclar Vivadent AG	ivoclarvivadent.com/
JAC Products Inc.	jacproducts.com/
JNC Corporation	jncwheels.com/
JOLED Inc.	j-oled.com/
JSR Corporation	jsr.vccs.edu/
Johns Manville	jm.com/
Johnson Matthey PLC	matthey.com/
KJ BIOSCIENCES LLC	kjbiosciences.com/
KLA-Tencor Corporation	kla-tencor.com/
KUBIX INC.	kuebix.com/
Kabushikikaisha Toshiba	toshiba.com/tai/
Kao Corporation	us.army.mil/
Karsten Manufacturing Corporation	ping.com/
Kemira OY	kemira.com/
Kia Motors Corporation 	kia.com/us/en/home
Kimberly-Clark Worldwide	kimberly-clark.com/en-us
Kinetech Power Company LLC	kinetechpower.com/
Kodak Alaris Inc.	kodakalaris.com/
Kraton Polymers U.S. LLC	kraton.com/
Kronos International Inc	kronos.com/
LATITUDE PHARMACEUTICALS INC.	latitudepharma.com/
LG Electronics Inc.	lg.com/us
LGS Innovations LLC	lgsinnovations.com/
Lam Research Corporation	lamresearch.com/
Lattice Semiconductor Corporation	latticesemi.com/
LifeNet Health	lifenethealth.org/
Linne Industries LLC	linneindustries.com/
Litron Laboratories Limited	litronlabs.com/
Lof Solar Corporation	lofsolar.com/
Lovelace Respiratory Research Institute	lrri.org/
Lumentum Operations LLC	lumentum.com/en
Luna Innovations Incorporated	lunainc.com/
MAHLE International GmbH	mahle.com/
MERCK SHARP & DOHME CORP.	merck.com/index.html
MILLENIUM SYNTHFUELS CORPORATION	milleniumsynthfuels.com/
Marathon Equipment Company	marathonequipment.com/
Marine Biotech Inc.	marinebiotech.eu/
Mediatek Inc.	mediatek.com/
Medicis Pharmaceutical Corporation	medicis.com/
Met Tech Inc.	mettech.us/
Michigan Biotechnology Institute	mbi.org/
Microchip Technology Incorporated	microchip.com/
Milliken & Company	milliken.com/
Mitsubishi Electric Corporation	mitsubishielectric.com/
Monolithe Semiconductor Inc.	monolithsemi.com/
Musco Corporation	musco.com/
NANOBIO CORPORATION	bluewillow.com/
NEC Corporation	nec.com/
NEWFIELD THERAPEUTICS CORPORATION	newfieldthera.com/
NICHIA CORPORATION	nichiha.com/
Nalco Company	ecolab.com/nalco-water
National Education Corporation	nationaleducation.com/
NeoPhotonics Corporation	neophotonics.com/
NeoVision LLC	neovisiongroup.com/
Newdoll Enterprises LLC	newholdllc.com/
Newport Corporation	newport.com/
Nokia Corporation	nokia.com/
Nordson Corporation	nordson.com/
Northrop Grumman Systems Corporation	northropgrumman.com/
Novartis AG	novartis.com/
Novozymes A/S	novozymes.com/
Novozymes Inc.	novozymes.com/
Nthdegree Technologies Worldwide Inc.	ndeg.com/
Nutech Ventures	nutechventures.org/
O.B.I. Inc.	obi.org/
OLYMPUS CORPORATION	olympusamerica.com/
Oki Data Corporation	oki.com/us/printing/
Olympus NDT	olympus-ims.com/en/
Omron Corporation	omron.com/
One Earth Designs Inc.	oneearthdesigns.com/
Optodot Corporation	optodot.com/
Ormat Technologies Inc.	ormat.com/en/home/a/main/
Osram Sylvania Inc.	sylvania.com/
Owens-Brockway Glass Container Inc.	o-i.com/
PACCAR Inc	paccar.com/
PLEX LLC	plex.tv/
PQ CORPORATION	pqcorp.com/
Pacific Industrial Development Corporation	pidc.com/
Palo Alto Research Center Incorporated	parc.com/
Pansonic Corporation	shop.panasonic.com/
Parker-Hannifin Corporation	parker.com/
Pegatron Corporation	pegatroncorp.com/
Pentair Thermal Management LLC	nventthermal.com/
Pfizer Inc.	pfizer.com/
Pharmion Corporation	celgene.com/
Phillips 66 Company	phillips66.com/
Pixar	pixar.com/
Polaris Products LLC	polaris.com/en-us
PolyOne Corporation	polyone.com/
PolyPlus Battery Company	polyplus.com/
Proterra Inc.	proterra.com/
Pyrexar Medical Inc.	pyrexar.com/
QUALCOMM Incorporated	qualcomm.com/
Qiagen GmbH	qiagen.com/us/
Qualsig Inc.	qualsig.com/
Quantum Materials Corporation	qmcdots.com/
QuantumScape Corporation	quantumscape.com/
R.J. Reynolds Tobacco Company	rjrt.com/
Raytheon Company	raytheon.com/
Reliance Controls Corporation	reliancecontrols.com/
Renesas Electronics Corporation	renesas.com/en-us/
Research Triangle Institute	rti.org/
Ricoh Company Limited	ricoh.com/
Rima Enterprises	rimaenterprises.in/
Robert Bosch GmbH	bosch.com/
Rohm and Haas Chemicals LLC	dow.com/en-us
Rohm and Haas Company	dow.com/en-us
Roll-N-Lock Corporation	rollnlock.com/
Rolls-Royce PLC	rolls-royce.com/
SABIC GLOBAL TECHNOLOGIES B.V.	sabic.com/en
SAE Magnetics (HK) Ltd.	sae.com.hk/
SEIKO NPC Corporation	npc.co.jp/en/
SEaB Energy Holdings Ltd.	seabenergy.com/
SICPA Holding SA	sicpa.com/
SII Semiconductor Corporation	ablic.com/en/semicon/
SOLENA FUELS CORPORATION	solenafuels.com/
STMicroelectronics Limited	st.com/content/st_com/en.html
STMicroelectronics S.A.	st.com/content/st_com/en.html
SUNSALUTER	sunsaluter.org/
SYNTHOMER USA LLC	synthomer.com/
SanDisk Technologies LLC	sandisk.com/
Sanofi	sanofi.com/en/
Sanuvox Technologies	sanuvox.com/
Schlumberger Technology Corporation	slb.com/
Seagate Technology LLC	seagate.com/
Seiko Epson Corporation	global.epson.com/
Seiko Instruments Inc.	seikoinstruments.com/
Selas Heat Technology Company LLC	selas.com/
Sensor-Kinesis Corporation	sensor-kinesis.com/
Shell Oil Company	shell.us/
Shimadzu Corporation	shimadzu.com/
Sick AG	sick.com/de/en/
Sigma-Aldrich Co. LLC	sigmaaldrich.com/
Silicon Genesis Corporation	sigen.net/
Silicor Materials Inc.	silicormaterials.com/
Sion Power Corporation	sionpower.com/
SolaBlock LLC	solablock.com/
Solaire Generation LLC	sunpowercarports.com/
Solar Junction Corporation	sj-solar.com/
Solar-Tectic LLC	solartecticllc.com/
SolarWorld Americas Inc.	solarworld-usa.com/
Sony Corporation	sony.com/
Southwest Research Institute	swri.org/
Starlight Energy Holdings LLC	starlightenergy.us/
Starsource Scientific LLC	starsource.com/about/?41.html
Stora Enso Oyj	storaenso.com/
Sumco Corporation	sumco.com/
Sun Chemical Corporation	sunchemical.com/
Sun Drilling Products Corporation	sundrilling.com/
Sun Synchrony	sunsynchrony.com/
SunCulture Solar Inc.	solpad.com/
SunEdison Semiconductor Limited	gw-semi.com/
SunLink Corporation	sunlink.com/
SunPower Corporation	us.sunpower.com/
Sungevity Inc.	sungevity.com/
