Name,patent_pattern,rd_pattern,product_pattern,trial_pattern,demo_pattern,manufacturing_pattern,venture_pattern,investment_pattern,university_pattern,partnership_pattern,greenness_pattern,customization_pattern,awards_pattern,membership_pattern,customer_pattern
Novus Technology,0,1,3,0,0,0,0,0,0,0,0,0,2,0,0
Taiwan Semiconductor Manufacturing Company,9,83,14,14,12,71,1,9,68,21,17,34,13,8,37
THE BOARD INSTITUTE,1,24,4,2,9,12,13,19,26,17,0,4,2,28,6
Michigan Biotechnology Institute,0,8,1,8,5,16,0,0,2,4,7,0,1,2,3
Greatbatch,2,27,3,7,8,71,3,2,0,12,0,29,2,0,24
Bioneer,0,17,8,3,7,6,1,1,0,13,0,5,1,0,4
fybr,2,4,1,4,3,7,0,1,0,2,3,2,1,1,4
Two Blades Foundation,3,95,2,0,4,16,3,17,83,4,2,0,34,23,0
Delta Electronics,1,22,13,13,2,20,0,13,10,10,41,3,19,8,3
Kulite Semiconductor Products,7,31,13,52,74,58,2,1,10,33,0,17,3,2,14
Toda Kogyo,1,7,4,2,0,19,0,2,0,3,1,7,0,0,7
Heat Seal,1,2,4,10,1,39,3,0,0,5,0,2,0,1,3
iBio,1,26,7,4,9,33,6,11,26,8,2,1,7,9,4
AT&T,0,0,6,2,2,0,2,0,0,0,0,0,2,0,1
Ceramatec,0,5,3,7,4,28,2,23,0,12,1,3,4,1,3
SB ENERGY,0,1,0,0,0,1,0,13,0,3,0,2,0,0,2
Tela Innovations,28,7,4,1,2,23,11,9,19,10,0,10,0,3,13
Lattice Semiconductor,4,26,32,27,40,58,3,13,1,33,1,24,4,4,25
LifeNet Health,5,28,3,3,3,37,0,34,7,36,1,8,1,7,9
Zoetis Services,1,49,6,13,14,28,5,8,1,60,8,23,15,7,23
MANUFACTURING RESOURCES,0,0,0,1,1,7,0,0,0,2,0,0,2,1,1
Acorn Technologies,14,45,3,4,1,58,3,9,38,7,0,4,8,15,5
Abbott Molecular,0,2,0,2,2,2,0,0,0,0,0,0,0,0,0
Caribou Biosciences,10,24,0,4,2,4,1,4,25,6,0,2,8,5,3
VMware,0,60,146,50,74,51,58,29,30,288,44,168,230,22,177
Cetac Technologies,0,7,11,8,3,25,3,1,2,3,2,12,0,5,7
Nvidia,1,14,17,7,7,29,1,5,10,26,2,6,6,1,6
NetApp,1,10,11,8,16,24,3,15,2,54,4,34,5,0,28
Selas Heat Technology Company,2,1,3,7,2,13,1,1,0,0,0,5,0,0,4
MicroContinuum,0,2,0,1,0,18,0,0,1,3,0,3,2,0,0
Seagate Technology,0,0,9,3,5,2,1,2,0,15,0,11,0,7,13
Cyberonics,0,0,4,0,0,4,0,8,0,16,0,1,8,1,1
Dexerials,2,31,64,7,4,114,11,24,7,24,18,28,46,40,35
Abbott Cardiovascular Systems,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
Pharmion,1,104,19,14,13,45,7,15,22,73,25,0,31,59,4
AROG PHARMACEUTICALS,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
HTC,0,3,0,1,3,10,0,0,1,10,0,5,40,6,9
GE Healthcare Dharmacon,0,25,12,6,17,12,1,3,40,10,1,11,3,11,1
Bitrode,0,6,6,17,15,22,0,2,0,1,1,8,0,1,6
ProNAi Therapeutics,0,88,4,13,7,8,8,23,66,6,0,0,11,8,0
Sun Drilling Products,1,0,0,1,1,3,0,1,0,0,0,0,0,0,1
E Techorporation,0,9,16,5,10,10,1,18,5,4,10,2,0,4,5
Verliant Energy,0,0,0,2,1,5,0,0,0,0,5,1,0,0,1
Bridgelux,3,19,18,4,2,24,4,2,13,14,0,6,2,1,8
Waters Technologies,1,79,17,21,23,28,1,25,2,9,2,11,6,7,15
Microsemi SoC,4,19,35,28,24,86,3,6,1,60,1,40,84,12,44
Nanoholdings,2,21,2,2,3,19,1,11,19,7,1,3,0,0,2
Stratasys,1,2,16,2,3,31,2,1,3,23,2,10,0,0,11
Kemira OY,1,28,20,10,9,78,7,25,1,60,38,49,3,7,48
Conexant Systems,3,20,6,4,5,31,6,7,0,30,3,7,2,4,11
TheGreenCell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Englewood Lab,0,12,5,1,1,18,1,1,0,4,0,10,1,0,13
EchoStar Technologies,1,3,2,1,0,8,1,3,10,4,0,3,1,3,4
Cross Match Technologies,1,10,35,5,7,10,4,1,0,26,2,16,7,1,22
Avantor Performance Materials,0,22,101,9,9,86,6,6,1,45,0,66,4,8,62
22nd Century Limited,7,41,12,13,9,26,1,6,22,10,0,0,2,3,3
S C Johnson & Son,6,6,29,1,3,19,0,22,1,12,20,3,11,2,19
Wostec,0,0,1,0,5,2,0,0,9,1,0,5,0,0,1
AgroFresh,1,9,3,4,3,28,2,6,1,16,5,31,1,0,40
Mainstream Engineering Corp,2,34,6,2,9,23,0,1,3,0,1,0,130,1,0
GOJO Industries,1,10,31,5,7,19,1,1,3,5,13,9,9,1,5
Toray Plastics (America),2,2,2,4,1,13,1,3,0,1,1,2,0,0,2
Tata Consultancy Services Limited,0,3,3,3,2,11,0,12,6,12,7,4,2,2,7
Foret Plasma Labs,4,0,1,0,1,2,0,0,0,0,1,0,0,0,0
The Charles Stark Draper Laboratory,0,16,3,6,7,22,2,0,2,2,0,4,2,2,0
Auterra,3,3,0,0,0,17,0,1,0,3,2,0,0,0,0
Denso,0,25,11,5,3,40,2,3,4,10,10,5,4,3,8
Pharmatrophix,0,17,4,0,0,0,3,4,7,3,0,0,2,1,0
CoolEarth Solar,0,0,0,1,0,10,0,0,0,0,3,3,0,1,3
Texas Research,1,16,4,21,22,9,2,1,2,2,0,1,1,0,9
Cook Biotech,1,8,2,2,2,8,1,0,2,12,0,3,0,0,3
IMRA America,1,29,6,18,14,69,0,0,0,2,0,4,0,1,3
Reynolds Technologies,3,2,7,3,0,16,0,2,0,1,3,0,1,1,3
Meso Scale Technologies,1,22,19,4,9,14,2,0,0,8,0,17,1,4,12
DePuy Synthes Products,0,8,4,2,4,11,1,4,1,3,0,5,5,2,5
Dow AgroSciences,0,4,6,1,1,6,1,2,0,1,4,1,1,0,2
Teledyne Scientific & Imaging,0,20,2,11,21,11,1,4,1,7,1,13,2,4,9
Monsanto Technology,2,39,20,14,12,30,31,38,6,66,32,9,9,1,10
NOK,0,1,4,1,0,7,3,1,0,6,0,1,0,1,1
National Education,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Agilent Technologies,1,102,17,17,12,24,17,16,4,16,4,30,8,1,26
Amkor Technology,0,4,5,11,11,11,0,2,0,5,0,7,0,2,5
Nutech Ventures,0,12,0,1,1,4,1,3,8,3,2,0,0,0,0
SolarLego,0,0,1,1,0,7,0,0,0,2,3,0,0,0,0
Bend Research,1,25,8,13,9,50,5,1,8,5,2,21,1,0,31
KOLON INDUSTRIES,0,2,7,3,1,12,2,3,2,9,9,13,2,5,13
UCB Pharma SA,0,13,27,3,5,24,4,17,0,52,21,0,10,19,0
Achushnet Company,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
AMPT,6,9,22,5,6,34,3,3,11,28,7,18,5,9,18
Minebea Co,0,3,13,4,3,19,1,8,0,2,8,0,0,1,0
ADASA,0,0,9,2,2,1,0,0,0,0,2,4,0,0,3
Echogen Power Systems,1,7,8,8,9,17,4,4,6,22,5,7,1,2,8
Sagacious Investment Group LLC,0,1,0,1,1,0,0,4,0,2,0,0,0,0,0
Kabushikikaisha Toshiba,0,8,4,7,3,12,0,1,0,0,0,6,4,1,7
Integrated Solar Technology,0,2,4,3,3,13,0,0,0,10,8,7,2,0,8
OSI Optoelectronics,3,3,12,3,4,35,0,2,0,11,0,17,1,1,20
SolarCity,22,2,51,13,13,48,4,12,0,33,14,24,9,2,26
Abbott Point of Care,0,5,4,19,18,7,0,2,1,1,0,5,0,0,5
Clean Energy Labs,4,14,4,2,1,8,0,0,11,1,0,1,3,0,1
Hon Hai Precision Industry Co,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ConocoPhillips Company,0,24,8,3,2,64,1,18,1,15,29,0,9,1,0
Deep Science,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Sangamo BioSciences,2,122,6,10,4,39,14,27,63,17,0,1,0,40,0
Cristal USA,1,12,10,5,1,21,2,4,0,12,4,6,1,14,6
Baxter Healthcare SA,0,3,4,2,3,12,2,2,1,21,7,3,0,1,3
Saint-Gobain Performance Plastics,0,1,3,4,1,14,3,2,2,0,1,2,1,1,3
DECA Technologies,2,18,9,6,6,41,2,3,6,3,0,5,2,6,7
PluroGen Therapeutics,8,25,8,2,6,10,0,10,11,8,0,0,4,13,2
Wizard Labs,0,7,14,1,2,5,0,0,0,0,0,1,0,0,0
Weatherford Canada Partnership,9,21,24,12,16,59,7,33,27,27,21,10,6,24,13
Amberwave,2,4,2,1,1,5,0,1,6,0,1,0,0,2,0
St Jude Medical,0,0,2,0,3,1,0,0,0,2,4,0,0,0,0
Applied Membrane Technologies,2,14,3,3,1,11,0,1,2,1,0,2,0,1,0
UT-Battelle,1,83,1,2,1,20,1,2,32,10,4,0,4,3,1
LG Display Co,1,24,10,17,7,81,2,7,2,9,14,18,9,5,15
HIQ SOLAR,3,5,6,4,4,10,0,0,3,0,2,1,2,0,1
S&S X-Ray Products,0,0,6,0,0,11,0,1,0,3,1,1,1,0,1
Agrivida,0,6,1,0,1,20,0,8,1,6,5,1,1,0,3
Kimberly-Clark Worldwide,3,16,36,6,11,41,0,7,11,154,27,17,16,7,52
Synaptic Research,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Arcturus Therapeutics,6,17,0,1,0,2,0,1,2,19,0,0,0,1,0
Harris,1,21,16,17,24,36,9,18,3,13,3,22,17,8,21
Ormat Technologies,1,16,9,6,2,29,6,11,22,14,35,8,3,4,11
Proton Power,2,20,1,3,3,16,0,1,0,0,9,3,0,2,4
GlassPoint Solar,0,1,1,1,0,2,0,2,0,1,1,2,0,0,2
Ortho-Clinical Diagnostics,4,58,7,41,44,7,2,14,0,11,3,12,11,8,13
EMD Technologies,4,0,0,1,1,11,0,0,0,1,0,5,0,0,4
Northrop Grumman Systems,2,18,13,21,21,44,4,10,2,34,12,27,14,18,28
Advanced Water Technology,0,1,0,3,3,1,0,0,0,0,0,1,0,0,1
ECOSYNTHETIX,0,0,0,1,1,10,0,1,0,2,40,4,6,1,5
SEaB Energy Holdings,1,1,0,0,0,7,0,2,1,1,4,1,1,0,1
McElroy Manufacturing,1,0,1,8,8,44,0,0,2,2,0,10,0,1,10
Roche Molecular Systems,1,173,42,157,85,123,14,65,58,137,57,8,33,87,3
Danisco US,1,17,2,9,17,12,0,3,4,15,7,15,11,13,23
One Earth Designs,1,3,2,2,2,3,0,2,1,0,5,1,1,0,3
VINYLAST,0,0,0,0,0,3,0,0,0,1,0,5,0,0,4
Schneider Electric USA,0,22,51,40,33,92,5,11,2,109,92,55,23,11,63
Johnson Controls Technology Company,8,7,40,4,1,73,5,6,8,36,37,18,18,2,17
Plant Sensory Systems,5,10,3,1,0,6,0,3,6,10,4,0,0,1,0
Interez,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
NeoPhotonics,0,12,9,3,0,23,5,1,14,2,1,1,1,1,1
MicroLink Devices,3,25,4,8,4,38,0,0,8,1,2,8,5,2,8
Areesys Technologies,0,0,0,0,0,3,0,0,0,0,1,1,0,0,1
Hysitron,36,32,2,41,38,34,1,3,8,6,0,10,19,2,10
Universal Display,13,15,7,6,6,15,1,5,13,9,7,8,13,9,9
COVERIS FLEXIBLES US,0,2,12,3,2,29,1,4,0,20,16,24,3,0,27
BAE Systems Information and Electronic Systems Integration,2,18,4,6,7,25,0,10,1,43,5,10,5,6,9
Galectin Therapeutics,2,37,3,17,12,6,7,20,33,5,0,0,4,17,2
Braun Intertec Geothermal,0,14,9,31,29,89,5,9,36,2,2,0,21,16,29
II-VI,1,7,2,7,11,82,6,5,1,16,2,11,9,3,17
System Biosciences,1,64,33,8,42,53,3,6,1,13,2,39,2,16,28
Analog Devices,1,10,34,21,13,66,31,24,1,35,4,31,16,4,27
Pixar,0,2,0,0,3,14,0,1,1,0,0,0,1,2,0
aTyr Pharma,3,30,7,9,13,8,7,14,31,11,0,0,1,17,2
Senaya,1,7,3,0,1,13,1,3,14,3,0,0,2,5,0
VIOLIN MEMORY,21,14,42,5,5,20,9,7,16,36,0,31,22,5,34
RADIANCE SOLAR,0,3,0,2,2,14,0,5,0,0,3,3,1,0,5
U S MICROPOWER,0,6,2,8,5,6,0,0,0,1,0,5,0,0,3
Envision Solar,2,1,4,0,0,9,1,14,2,1,3,0,4,4,0
Hitachi High-Technologies,0,23,18,29,14,53,10,4,2,16,8,22,2,2,23
Access Business Group,0,1,6,0,0,13,0,0,0,3,2,2,1,0,2
HTS,0,0,1,5,4,13,0,1,0,4,0,12,0,0,9
Tau Therapeutics,1,5,0,9,1,0,0,1,0,1,0,0,1,0,0
Brookhaven Science Associates,0,95,1,4,4,2,0,1,49,16,5,1,3,9,1
Ferro,0,0,1,1,2,3,0,1,0,1,1,7,0,1,8
Silicon Genesis,1,1,1,6,6,11,0,0,1,3,1,0,0,1,0
Theraclone Sciences,0,16,0,1,3,4,4,1,7,20,0,0,0,0,0
Dialogic,2,28,78,12,28,50,9,23,8,36,3,52,30,24,38
Canon US Life Sciences,0,1,2,1,1,0,0,1,0,0,1,1,0,0,1
Genisphere,7,50,6,12,15,21,3,18,22,40,0,9,3,3,3
Corporation for National Research Initiatives,0,6,1,1,2,2,0,0,7,2,0,0,0,3,0
Dr Reddy's Laboratories,0,14,7,0,2,4,1,5,0,22,3,3,0,1,3
Pentron Clinical Technologies,0,1,3,0,0,0,0,0,0,0,0,1,0,0,1
Furukawa Electric Co,1,31,64,20,5,76,2,10,2,21,14,5,0,11,5
Seiko Epson,0,13,29,8,4,38,0,1,0,6,10,29,1,4,29
Voxtel,0,2,0,1,0,4,0,0,0,1,0,4,1,0,4
Selecta Biosciences,0,26,2,1,2,13,8,10,33,7,0,0,8,16,0
Smith & Nephew,1,3,3,4,2,18,3,14,0,14,4,5,2,0,5
Synopsys,0,47,51,43,58,140,30,26,36,92,2,57,23,15,38
AccuRay,0,15,9,0,2,20,6,5,14,7,4,14,2,2,15
GENERAL ELECTRIC COMPANY,0,1,1,1,1,0,0,3,0,0,1,0,0,0,0
Bigelow Aerospace,2,6,1,1,1,2,0,1,0,1,1,0,2,0,1
KOLO TECHNOLOGIES,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0
GTherm,0,1,0,0,0,2,0,0,0,1,1,0,0,0,0
Phoseon Technology,8,2,3,9,3,8,0,3,0,8,0,7,3,0,6
AC,0,0,0,0,0,1,0,0,0,0,0,3,0,0,3
Stablcor Technology,1,1,0,1,1,0,0,1,0,0,0,1,0,0,2
THEM,2,8,17,3,4,47,1,0,0,13,5,2,2,2,17
Arrowhead Center,0,21,3,1,0,5,1,4,9,11,0,0,6,3,2
Biotechnology Foundation,0,2,1,4,5,2,0,1,0,7,0,0,0,2,0
Adeka,0,30,37,6,1,63,2,4,0,7,4,5,1,2,5
Incyte Holdings,1,41,5,3,3,4,0,12,15,33,3,2,7,0,4
Xyleco,1,1,1,1,0,1,1,0,0,1,9,0,0,0,0
Yageo,0,1,1,2,1,0,0,2,0,2,0,1,1,1,1
Kajima,0,27,1,7,0,41,1,3,0,7,2,1,0,1,2
Arpin Renewable Energy,1,8,2,3,6,3,1,3,7,18,19,15,22,11,20
Cedar Ridge Research,12,9,5,0,0,6,0,3,0,0,0,2,0,0,4
Wave Energy Conversion of America,0,4,8,3,3,9,3,1,8,0,1,0,2,0,2
Intellectual Keystone Technology,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0
Simbol,0,0,8,1,3,1,0,0,2,1,3,1,1,1,3
MirTech,0,4,40,11,15,10,0,0,0,2,0,13,0,3,16
ATC Technologies,0,0,0,1,1,3,0,0,0,0,0,2,0,0,3
Bisco,0,0,3,1,1,6,0,0,0,5,0,7,0,0,7
Calient Technologies,1,10,3,5,6,16,2,6,13,4,1,1,0,1,4
BlackBerry Limited,2,19,33,17,13,29,6,17,29,54,4,40,14,4,38
Chromalox,14,9,32,43,21,188,11,10,0,12,3,52,3,1,39
Sandia,3,140,20,46,47,101,2,19,14,90,5,2,8,14,3
Markel,0,0,3,0,0,2,1,17,0,1,0,4,0,0,6
STANDARD ALCOHOL COMPANY OF AMERICA,1,2,2,0,0,9,0,1,0,3,6,1,0,0,1
Green Box Batteries,0,0,1,0,0,4,0,0,0,0,1,0,0,0,3
VINDICO NANOBIO TECHNOLOGY,0,6,3,0,1,5,2,0,7,0,0,0,0,0,0
Regeneron Pharmaceuticals,0,29,2,8,5,9,1,10,3,11,1,0,6,5,0
Xerox,0,10,73,0,9,65,5,14,2,63,33,46,17,3,44
Industrial Science & Technology Network,1,26,3,2,0,10,0,0,18,1,0,3,10,2,2
Atrium Medical,0,4,1,2,1,3,0,0,0,0,0,1,0,1,1
Adobe Systems,0,1,17,8,8,5,0,2,0,34,8,14,1,20,12
Karsten Manufacturing,3,0,4,2,2,3,0,1,0,8,0,4,1,5,2
KINO,0,0,4,3,1,5,1,5,3,1,0,0,6,3,0
GOAL ZERO,0,7,16,3,4,7,0,6,8,5,4,8,0,0,10
Sinton Consulting,0,2,2,12,12,7,0,0,2,1,2,1,0,0,1
Hadasit Medical Research Services & Development Company,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Handstand Innovations,1,1,7,3,3,9,0,0,0,5,0,7,0,0,12
Hitachi Metals,0,4,8,8,8,40,1,0,0,8,2,7,2,2,11
Claret Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dermazone Solutions,2,8,0,2,1,4,0,0,1,1,1,2,0,0,3
Hewlett Packard Enterprise Development LP,1,13,41,30,39,30,13,20,3,118,1,55,10,7,60
Applied Genetic Technologies,3,76,2,28,6,29,13,11,65,29,0,1,5,18,2
Tarveda Therapeutics,0,15,3,6,5,4,3,1,16,4,0,0,1,0,0
Bayer Materialscience,2,43,29,5,6,33,6,7,1,57,44,9,3,17,12
Sweetwater Energy,4,0,0,4,2,7,1,3,0,5,2,0,0,0,0
Sienna Biopharmaceuticals,0,3,0,1,2,0,1,2,0,2,0,0,0,0,0
Intuitive Surgical Operations,2,10,25,22,20,57,0,12,0,13,0,6,4,2,5
Tigo Energy,11,8,14,14,14,29,4,21,3,41,14,13,21,3,14
Samsung SDI Co,5,22,54,6,12,73,10,21,7,65,74,22,10,9,23
nLIGHT,0,2,2,2,1,2,0,0,0,0,0,2,0,0,2
Enginuity Worldwide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eastman Kodak Company,0,13,25,11,8,25,0,6,7,35,10,10,17,3,24
Dynamic Solutions Worldwide,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1
Tapwave,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
MIETAMARK GENETICS,0,6,1,23,28,1,1,1,1,4,0,2,0,2,3
SABIC GLOBAL TECHNOLOGIES BV,3,30,31,29,13,142,3,29,3,87,57,42,6,14,42
Ignis Innovation,3,10,3,1,2,15,0,1,3,3,1,0,0,0,0
Applied Optoelectronics,6,8,6,1,4,43,4,15,21,11,3,1,3,7,4
Advanced Aqua Group,1,0,8,0,0,5,1,0,0,6,0,5,0,0,6
Omron,0,39,28,42,8,33,3,32,2,24,25,5,15,16,5
Delavau,0,5,13,2,5,5,2,0,1,21,0,18,0,0,11
ESCAPE THERAPEUTICS,0,7,0,0,0,1,2,2,7,0,0,0,0,0,0
FLOW CONTROL,2,2,6,4,2,8,0,0,0,0,1,1,2,0,2
Kodak Alaris,4,8,2,1,1,9,2,6,1,5,2,4,4,6,5
Nippon Shokubai Co,0,20,9,1,1,40,3,3,0,6,5,3,0,9,3
Dolby Laboratories Licensing,2,27,47,15,19,42,5,20,26,43,3,14,14,12,30
GCP Applied Technologies,2,13,23,24,149,194,3,8,0,55,55,53,1,4,50
Halliburton Energy Services,0,18,32,10,17,82,21,16,1,42,19,21,44,48,24
Sun Synchrony,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Renewable Power Conversion,7,5,3,2,2,20,3,1,2,0,0,0,0,1,1
EXOS,0,3,4,3,3,4,1,4,1,5,0,0,2,10,14
The Babcock & Wilcox Company,2,2,14,15,0,34,1,3,0,5,10,7,2,0,6
Tokyo Ohka Kogyo Co,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0
Abengoa Bioenergy New Technologies,0,2,6,0,0,7,0,1,0,2,5,0,3,0,0
Green Extraction Technologies,0,5,2,0,1,4,1,1,0,1,1,1,19,17,7
Colgate-Palmolive Company,0,7,50,3,3,12,1,8,9,34,36,5,11,7,25
Warsaw Orthopedic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Swagelok Company,1,19,63,13,11,132,15,23,29,39,4,143,10,28,144
TRI ALPHA ENERGY,1,17,2,6,6,13,1,4,8,7,3,0,2,1,0
Synthetic Genomics,0,5,0,2,4,21,0,1,0,10,1,1,0,0,1
BioNano Genomics,3,43,13,6,7,17,12,24,30,13,0,6,7,1,6
THYSSENKRUPP INDUSTRIAL SOLUTIONS,2,53,95,28,23,467,43,45,18,171,107,126,8,64,105
UNISANTIS ELECTRONICS SINGAPORE PTE,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
GOSOLARLIFE,0,0,3,0,0,0,1,0,0,1,1,2,0,0,2
Rima Enterprises,0,2,0,0,0,1,0,0,0,0,0,5,0,0,6
POSiFA MICROSYSTEMS,0,1,1,2,2,1,0,0,0,1,1,5,0,0,2
BTU,0,10,14,3,9,11,1,7,0,3,10,25,3,45,42
MILLENIUM SYNTHFUELS,3,1,0,1,1,4,0,0,1,5,5,1,0,0,1
CSEM Centre Suisse d'Electronique et de Microtechnique SA-Recherche et Developpement,0,59,8,18,9,43,6,5,10,58,13,5,13,9,10
UWM Research Foundation,3,14,3,2,2,13,2,8,22,27,11,3,7,1,4
Cima NanoTech Israel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint-Gobain Adfors Canada,0,0,6,3,0,11,0,0,0,2,0,9,2,0,7
Hunter Douglas,0,1,1,2,2,1,0,2,0,2,0,1,0,1,1
Oceanit Laboratories,0,3,0,1,0,11,1,1,0,0,4,2,1,0,2
Novartis AG,5,40,12,3,3,21,4,14,5,11,5,9,3,5,10
OPTERRA ENERGY SERVICES,0,0,0,1,0,0,0,1,0,1,7,6,0,0,5
Agienic,2,20,0,6,5,12,0,2,15,3,0,0,3,2,0
Biosense Webster (Israel),0,2,2,9,1,3,0,3,0,6,2,3,0,0,3
CI4 Technologies,16,4,2,1,1,4,2,6,0,1,0,3,2,6,8
Princeton Optronics,0,3,11,3,2,21,0,14,0,3,2,4,1,3,9
Winbond Electronics Corp,3,18,25,13,20,84,13,21,18,42,25,11,32,14,17
Kia Motors,0,0,22,2,4,12,1,0,0,1,0,6,2,1,0
Sanken Electric Co,0,6,5,2,0,3,1,6,0,1,0,0,0,0,0
Aerogen,2,19,6,6,3,6,8,10,20,9,0,5,18,15,3
GENERAL MOTORS,0,2,3,0,0,12,0,5,7,4,5,1,3,5,1
Continental Manufacturing,0,0,1,4,2,1,0,0,0,1,0,3,0,0,5
Nexcom Technology,0,0,4,13,2,11,0,0,0,24,0,15,0,0,14
UOP,1,172,38,10,28,31,14,7,216,18,7,10,19,36,17
Global Filtration Systems,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0
Pacific Industrial Development,0,1,17,2,2,36,0,6,4,2,1,22,0,3,15
TECNIUM,0,3,0,1,1,11,0,1,0,3,0,4,0,0,6
PACCAR,1,10,23,4,7,62,6,11,1,9,2,17,70,5,16
Integrated Nano-Technologies,0,8,2,17,16,13,0,0,0,1,0,0,0,1,0
Coleman Cable,0,4,2,2,1,28,0,1,10,4,0,6,0,1,6
Crestovo,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0
Bio-Rad Laboratories,0,46,23,27,30,25,5,13,9,18,3,11,8,7,11
Polysar,0,10,53,42,58,33,0,13,1,52,2,114,9,8,119
Esolar,0,0,1,1,1,2,0,0,0,0,4,3,0,1,5
Plasma-Therm,0,0,2,0,0,3,0,0,0,0,0,0,0,1,0
Opel Solar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TEKNOR APEX COMPANY,0,5,2,1,2,12,7,0,0,2,2,17,0,0,12
Taiyo Ink Mfg Co,7,34,33,2,1,55,1,2,0,3,2,8,3,3,8
WHATSAPP,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1
Google,0,0,4,0,0,2,0,3,0,1,0,0,0,0,1
PeterBrod Corp,0,0,2,4,1,2,0,0,0,0,0,10,0,1,8
Sensor Electronic Technology,4,3,8,0,0,8,2,0,0,4,0,6,3,0,3
New England Biolabs,3,187,59,20,38,66,7,5,43,26,29,19,41,16,18
Entech Solar,0,8,2,1,0,4,4,3,3,5,10,2,0,0,9
Yamaha,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Thorn Bioscience,0,17,0,3,1,8,10,0,4,1,0,3,0,0,1
Cura Vac,2,15,7,5,2,8,0,3,9,1,0,1,7,2,0
Brewer Science,6,45,20,12,15,97,1,5,37,35,5,25,48,26,26
Seetron,0,0,12,0,0,4,1,0,0,0,0,5,0,1,4
GEN-PROBE,1,7,3,63,55,6,7,8,7,8,5,3,6,1,3
Ensyn Renewables,0,7,3,5,5,23,0,3,1,12,14,0,0,1,1
Green Solar Transportation,1,0,0,1,1,0,0,0,0,0,2,0,0,0,0
Quest Diagnostics Investments,0,2,3,0,1,0,0,2,0,0,0,0,0,0,1
Vizio,0,0,2,4,4,1,0,1,0,1,2,2,5,2,6
Magnolia Optical Technologies,1,18,7,2,3,13,0,6,11,3,0,0,4,2,0
Nanotech Biomachines,2,33,4,3,3,37,5,16,25,4,1,1,2,7,1
Genomatica,1,4,2,4,2,27,0,1,0,6,6,0,1,0,0
Seiko Instruments,0,8,7,1,1,25,0,1,0,6,0,13,0,1,12
FEI Company,3,16,9,1,2,16,1,2,2,0,0,1,6,3,1
The Samuel Roberts Noble Foundation,0,14,2,0,1,11,0,0,3,1,1,0,0,1,0
Coloplast A|S,0,16,15,15,19,26,0,5,0,25,1,22,5,4,32
Neural Signals,0,10,1,0,3,8,0,0,19,11,0,0,0,1,0
Ford Global Technologies,8,27,66,16,20,127,2,26,7,68,36,12,17,19,13
Forest Concepts,13,7,2,0,0,17,0,1,1,0,0,1,6,0,2
Formula Plastics,0,0,3,1,1,16,0,1,0,1,0,9,0,0,9
CLEARSIGN COMBUSTION,1,3,5,3,0,28,2,15,11,2,1,2,1,9,4
TP Solar,0,2,0,0,0,4,0,2,0,4,3,0,0,0,0
IDEX Health & Science,1,23,42,9,16,92,10,6,4,50,2,44,2,3,35
Soraa,1,17,22,5,10,9,4,4,5,2,1,10,27,2,3
MAHLE,1,35,19,14,7,52,30,6,0,29,9,6,6,1,6
Siluria Technologies,2,27,12,8,5,52,5,17,30,21,4,2,11,6,2
Roll-N-Lock,0,0,6,1,1,8,3,0,0,1,0,0,0,0,0
Pacific Biosciences of California,0,7,0,2,6,5,1,4,1,11,0,1,1,0,1
Unistrut Corp,0,3,8,1,2,11,0,4,0,0,0,5,1,2,1
SAMSUNG DISPLAY CO,0,5,45,12,21,5,3,4,2,107,1,27,9,2,19
Canon Kabushiki Kaisha,38,136,147,43,25,296,17,26,20,120,28,27,31,67,31
Accuri Cytometers,0,12,2,3,4,2,0,0,0,0,0,6,1,0,0
The Henry M Jackson Foundation for the Advancement of Military Medicine,1,75,6,6,3,6,5,3,37,18,0,5,14,15,7
Grandis,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1
Glucan Biorenewables,2,20,2,1,1,22,2,3,14,13,13,0,5,1,0
