organization,organization_clnd,thes_types, employees
"RADIANCE SOLAR, LLC",RADIANCE SOLAR,Corporate,35
"Selecta Biosciences, Inc.",Selecta Biosciences,Corporate,35
"Sensor Electronic Technology, Inc.",Sensor Electronic Technology,Corporate,35
Covidien LP,Covidien LP,Corporate,35
"MEDport, Inc.",MEDport,Corporate,36
"NanoMech, Inc.",NanoMech,Corporate,36
"Advanced Cell Technology, Inc.",Advanced Cell Technology,Corporate,37
"Pinnacle Technology, Inc.",Pinnacle Technology,Corporate,37
"Deep Science, LLC",Deep Science,Corporate,38
"InVisage Technologies, Inc.",InVisage Technologies,Corporate,38
"MicroLink Devices, Inc.",MicroLink Devices,Corporate,38
"Rebellion Photonics, Inc.",Rebellion Photonics,Corporate,38
"California Industrial Facilities Resources, INC.",California Industrial Facilities Resources,Corporate,39
"Esolar, Inc.",Esolar,Corporate,39
"Ma-West, Inc.",Ma-West,Corporate,39
"Renmatix, Inc.",Renmatix,Corporate,39
"Amtech Systems, LLC",Amtech Systems,Corporate,40
"Ecovative Design, LLC",Ecovative Design,Corporate,40
"OSI Optoelectronics, Inc.",OSI Optoelectronics,Corporate,40
"SeQual Technologies, Inc.",SeQual Technologies,Corporate,40
"Yissum, Research Development Company of the Hebrew University of Jerusalem",Yissum,Corporate,40
"Blue Sea Systems, Inc.",Blue Sea Systems,Corporate,41
"iBio, Inc.",iBio,Corporate,41
"All Power Labs, Inc.",All Power Labs,Corporate,42
"Opel Solar, Inc.",Opel Solar,Corporate,42
"Vadient Optics, LLC",Vadient Optics,Corporate,42
"Voxtel, Inc.",Voxtel,Corporate,42
"Combined Energies, LLC",Combined Energies,Corporate,43
"Pixelligent Technologies, LLC",Pixelligent Technologies,Corporate,43
Marathon Equipment Company,Marathon Equipment Company,Corporate,43
"Amprius, Inc.",Amprius,Corporate,44
Asahi Kasei Kabushiki Kaisha,Asahi Kasei Kabushiki Kaisha,Corporate,44
"Conexant Systems, Inc.",Conexant Systems,Corporate,46
"Claret Medical, Inc.",Claret Medical,Corporate,47
"Koch Biological Solutions, LLC",Koch Biological Solutions,Corporate,47
"Pioneer Energy, Inc.",Pioneer Energy,Corporate,47
"Lehigh Technologies, LLC",Lehigh Technologies,Corporate,49
"Virent, Inc.",Virent,Corporate,49
"Avertech, Inc.",Avertech,Corporate,50
"Galectin Therapeutics, Inc.",Galectin Therapeutics,Corporate,50
"NeuMoDx Molecular, Inc.",NeuMoDx Molecular,Corporate,50
ExxonMobil Research and Engineering Company,ExxonMobil Research and Engineering Company,Corporate,50
"FHT, Inc.",FHT,Corporate,51
Michigan Biotechnology Institute,Michigan Biotechnology Institute,Corporate,51
"Biosphere Medical, Inc.",Biosphere Medical,Corporate,52
"Arcturus Therapeutics, Inc.",Arcturus Therapeutics,Corporate,53
"GEOTHERMAL ENERGY PROJECT, LLC",GEOTHERMAL ENERGY PROJECT,Corporate,54
"Gram Power, Inc.",Gram Power,Corporate,54
"Molecular Imprints, Inc.",Molecular Imprints,Corporate,55
"Clearside Biomedical, Inc.",Clearside Biomedical,Corporate,56
"Advanced Analogic Technologies, Inc.",Advanced Analogic Technologies,Corporate,57
"Locus Energy, LLC",Locus Energy,Corporate,57
"SEEK THERMAL, INC.",SEEK THERMAL,Corporate,58
"Caribou Biosciences, Inc.",Caribou Biosciences,Corporate,59
"Elenion Technologies, LLC",Elenion Technologies,Corporate,59
"Little Kids, Inc.",Little Kids,Corporate,59
"ASTUTE MEDICAL, INC.",ASTUTE MEDICAL,Corporate,60
"GangaGen, Inc.",GangaGen,Corporate,60
"LG NANOH2O, INC.",LG NANOH2O,Corporate,60
"Ceramatec, Inc.",Ceramatec,Corporate,61
"Sienna Biopharmaceuticals, Inc.",Sienna Biopharmaceuticals,Corporate,61
"Sienna Labs, Inc.",Sienna Labs,Corporate,61
"UWM Research Foundation, Inc.",UWM Research Foundation,Corporate,61
"Big Belly Solar, Inc.",Big Belly Solar,Corporate,62
"Mission Product Holdings, Inc.",Mission Product Holdings,Corporate,62
"aTyr Pharma, Inc.",aTyr Pharma,Corporate,62
CAMBRIDGE ENTERPRISE LIMITED,CAMBRIDGE ENTERPRISE LIMITED,Corporate,62
"PetraSolar, Inc.",PetraSolar,Corporate,64
"Fina Technology, Inc.",Fina Technology,Corporate,65
"IBC Pharmaceuticals, Inc.",IBC Pharmaceuticals,Corporate,65
"Angaza Design, Inc.",Angaza Design,Corporate,66
Phillips 66 Company,Phillips 66 Company,Corporate,66
"KOLO TECHNOLOGIES, INC.",KOLO TECHNOLOGIES,Corporate,67
"Heliae Development, LLC",Heliae Development,Corporate,68
"SOLAZYME, INC.",SOLAZYME,Corporate,68
"Shoals Technologies Group, LLC",Shoals Technologies Group,Corporate,68
"TerraVia Holdings, Inc.",TerraVia Holdings,Corporate,68
"Liquidia Technologies, Inc.",Liquidia Technologies,Corporate,69
"Nantero, Inc.",Nantero,Corporate,69
"Faurecia Interior Systems, Inc.",Faurecia Interior Systems,Corporate,71
"McAlister Technologies, LLC",McAlister Technologies,Corporate,71
"Photon Dynamics, Inc. ",Photon Dynamics,Corporate,71
"Ethox Chemicals, Inc.",Ethox Chemicals,Corporate,72
"NLT TECHNOLOGIES, LTD.",NLT TECHNOLOGIES,Corporate,72
"ProNAi Therapeutics, Inc.",ProNAi Therapeutics,Corporate,72
"TheGreenCell, Inc.",TheGreenCell,Corporate,72
"Crossbar, Inc.",Crossbar,Corporate,73
"NanoLab, Inc.",NanoLab,Corporate,76
"QD Vision, Inc.",QD Vision,Corporate,76
Weatherford Canada Partnership,Weatherford Canada Partnership,Corporate,76
"Canon Nanotechnologies, Inc.",Canon Nanotechnologies,Corporate,77
"Nanoco Technologies, Ltd.",Nanoco Technologies,Corporate,77
"Sharp Laboratories of America, Inc.",Sharp Laboratories of America,Corporate,77
"Poly-Med, Inc.",Poly-Med,Corporate,79
"ASCENT SOLAR TECHNOLOGIES, INC.",ASCENT SOLAR TECHNOLOGIES,Corporate,80
"Nant Holdings IP, LLC",Nant Holdings IP,Corporate,80
"Siluria Technologies, Inc.",Siluria Technologies,Corporate,81
"APPLIED STEMCELL, INC.",APPLIED STEMCELL,Corporate,82
"SolarReserve Technology, LLC",SolarReserve Technology,Corporate,82
"BioNano Genomics, Inc.",BioNano Genomics,Corporate,83
"American Piledriving Equipment, Inc.",American Piledriving Equipment,Corporate,85
"Calient Technologies, Inc.",Calient Technologies,Corporate,85
"Kala Pharmaceuticals, Inc.",Kala Pharmaceuticals,Corporate,85
"SB ENERGY, LLC",SB ENERGY,Corporate,85
"bioTheranostics, Inc.",bioTheranostics,Corporate,86
"Englewood Lab, LLC",Englewood Lab,Corporate,90
"Daikin Industries, Ltd.",Daikin Industries,Corporate,91
"IMRA America, Inc.",IMRA America,Corporate,91
"Gardner-Gibson, Inc.",Gardner-Gibson,Corporate,92
"OrbusNeich Medical, Inc.",OrbusNeich Medical,Corporate,93
"Sigmatel, Inc.",Sigmatel,Corporate,97
"Oceanit Laboratories, Inc.",Oceanit Laboratories,Corporate,100
"Kashiv Pharma, LLC",Kashiv Pharma,Corporate,102
"Cool Planet Energy Systems, Inc.",Cool Planet Energy Systems,Corporate,103
"Revera, Incorporated",Revera,Corporate,103
"SELMAN AND ASSOCIATES, LTD.",SELMAN AND ASSOCIATES,Corporate,103
"Sila Nanotechnologies, Inc.",Sila Nanotechnologies,Corporate,103
"Phoseon Technology, Inc.",Phoseon Technology,Corporate,104
"Cheil Industries, Inc.",Cheil Industries,Corporate,105
"GED Intergrated Solution, Inc.",GED Intergrated Solution,Corporate,106
"OPTERRA ENERGY SERVICES, INC.",OPTERRA ENERGY SERVICES,Corporate,106
"DCG SYSTEMS, INC.",DCG SYSTEMS,Corporate,107
"Swift Engineering, Inc.",Swift Engineering,Corporate,107
"Pioneer Hi-Bred International, Inc.",Pioneer Hi-Bred,Corporate,108
"Pioneer Hi-Bred, Inc.",Pioneer Hi-Bred,Corporate,108
"Triple Ring Technologies, Inc.",Triple Ring Technologies,Corporate,108
"Ube Industries, Ltd.",Ube Industries,Corporate,108
"Ostendo Technologies, Inc.",Ostendo Technologies,Corporate,109
"Kinestral Technologies, Inc.",Kinestral Technologies,Corporate,110
"Synopsys, Inc.",Synopsys,Corporate,111
"Daylight Solutions, Inc.",Daylight Solutions,Corporate,118
"Cardiva Medical, Inc.",Cardiva Medical,Corporate,119
"Genomatica, Inc.",Genomatica,Corporate,122
Bigelow Aerospace,Bigelow Aerospace,Corporate,122
"Everspin Technologies, Inc.",Everspin Technologies,Corporate,123
"TRI ALPHA ENERGY, INC.",TRI ALPHA ENERGY,Corporate,123
"Innovation Hammer, LLC",Innovation Hammer,Corporate,125
"Paratek Pharmaceuticals, Inc.",Paratek Pharmaceuticals,Corporate,126
"Green Solar Transportation, LLC",Green Solar Transportation,Corporate,130
"Intermolecular, Inc.",Intermolecular,Corporate,135
"Lion Copolymer Geismar, LLC",Lion Copolymer Geismar,Corporate,136
"Roho, Inc.",Roho,Corporate,136
"Egenera, Inc.",Egenera,Corporate,137
"Plasma-Therm, Inc.",Plasma-Therm,Corporate,138
VIOLIN MEMORY,VIOLIN MEMORY,Corporate,138
"Materia, Inc.",Materia,Corporate,139
"CUMMINS FILTRATION IP, INC.",CUMMINS FILTRATION IP,Corporate,141
"Epizyme, Inc.",Epizyme,Corporate,143
"Scientific Design Company, Inc.",Scientific Design Company,Corporate,143
"ASM America, Inc.",ASM America,Corporate,144
"Valicor, Inc.",Valicor,Corporate,144
"DHPC TECHNOLOGIES, INC.",DHPC TECHNOLOGIES,Corporate,145
"VALTED, LLC",VALTED,Corporate,145
"Deep Well Power, LLC",Deep Well Power,Corporate,148
"Bridgelux, Inc.",Bridgelux,Corporate,149
"Astex Pharmaceuticals, Inc.",Astex Pharmaceuticals,Corporate,150
"Interface Performance Materials, Inc.",Interface Performance Materials,Corporate,152
"Evri, Inc.",Evri,Corporate,156
"Nanosys, Inc.",Nanosys,Corporate,161
Imperial Innovations Limited,Imperial Innovations Limited,Corporate,161
"Transilwrap Company, Inc.",Transilwrap Company,Corporate,162
"Agena Bioscience, Inc.",Agena Bioscience,Corporate,169
Fujitsu Semiconductor Limited,Fujitsu Semiconductor Limited,Corporate,169
"Moxtek, Inc.",Moxtek,Corporate,171
"Coleman Cable, LLC",Coleman Cable,Corporate,178
"Singulex, Inc.",Singulex,Corporate,179
"Kobe Steel, Limited",Kobe Steel,Corporate,179
"Aerogen, Inc.",Aerogen,Corporate,182
"Synthetic Genomics, Inc.",Synthetic Genomics,Corporate,183
"Midrex Technologies, Inc.",Midrex Technologies,Corporate,184
"Newlans, Inc.",Newlans,Corporate,184
"MonoSol, LLC",MonoSol,Corporate,188
"Kulite Semiconductor Products, Inc",Kulite Semiconductor Products,Corporate,191
"Complete Genomics, Inc.",Complete Genomics,Corporate,196
"Codexis, Inc.",Codexis,Corporate,200
"Adhesives Research, Inc.",Adhesives Research,Corporate,202
"GlassPoint Solar, Inc.",GlassPoint Solar,Corporate,202
"Teledyne Scientific & Imaging, LLC",Teledyne Scientific & Imaging,Corporate,202
"Abraxis Bioscience, LLC",Abraxis Bioscience,Corporate,204
"Biocare Medical, LLC",Biocare Medical,Corporate,204
"McElroy Manufacturing, Inc.",McElroy Manufacturing,Corporate,217
"Sequenom, Inc.",Sequenom,Corporate,217
"CYKL Technology, Inc.",CYKL Technology,Corporate,220
"Soraa Laser Diode, Inc.",Soraa Laser Diode,Corporate,227
"Soraa, Inc.",Soraa,Corporate,227
"Applied Optoelectronics, Inc.",Applied Optoelectronics,Corporate,230
"Bend Research, Inc.",Bend Research,Corporate,230
"Haier US Appliance Solutions, Inc.",Haier US Appliance Solutions,Corporate,238
Atomic Energy Council-Institute of Nuclear Energy Research,Atomic Energy Council-Institute of Nuclear Energy Research,Corporate,239
"The Samuel Roberts Noble Foundation, Inc.",The Samuel Roberts Noble Foundation,Corporate,241
Sharp Kabushiki Kaisha,Sharp Kabushiki Kaisha,Corporate,241
"Ajinomoto Althea, Inc.",Ajinomoto Althea,Corporate,242
"Mitsubishi Polyester Film, LLC",Mitsubishi Polyester Film,Corporate,242
"Sangamo BioSciences, Inc.",Sangamo BioSciences,Corporate,242
Hyundai Motor Company,Hyundai Motor Company,Corporate,242
Lovelace Respiratory Research Institute,Lovelace Respiratory Research Institute,Corporate,245
"George Mason Research Foundation, Inc.",George Mason Research Foundation,Corporate,246
"Veracyte, Inc.",Veracyte,Corporate,253
Columbia Insurance Company,Columbia Insurance Company,Corporate,254
"INTEVAC, INC.",INTEVAC,Corporate,261
"Aseptia, Inc.",Aseptia,Corporate,263
"Hitachi Metals, Ltd.",Hitachi Metals,Corporate,267
"Tigo Energy, Inc.",Tigo Energy,Corporate,273
"Halliburton Energy Services, Inc.",Halliburton Energy Services,Corporate,278
"Headway Technologies, Inc.",Headway Technologies,Corporate,283
"Magnachip Semiconductor, Ltd.",Magnachip Semiconductor,Corporate,289
"Cross Match Technologies, Inc.",Cross Match Technologies,Corporate,294
"Applied NanoStructured Solutions, LLC",Applied NanoStructured Solutions,Corporate,296
"Applied Nanostructures, Inc.",Applied Nanostructures,Corporate,296
"FutureWei Technologies, Inc.",FutureWei Technologies,Corporate,305
"Canon, Inc. ",Canon,Corporate,317
"Inventus Holdings, LLC",Inventus Holdings,Corporate,338
"Electronic Warfare Associates, Inc.",Electronic Warfare Associates,Corporate,354
"ACell, Inc.",ACell,Corporate,368
"Saint-Gobain Adfors Canada, Ltd",Saint-Gobain Adfors Canada,Corporate,372
"KOLON INDUSTRIES, INC.",KOLON INDUSTRIES,Corporate,376
"Relypsa, Inc.",Relypsa,Corporate,384
"CAPAT, LLC",CAPAT,Corporate,387
"Toray Plastics (America), Inc.",Toray Plastics (America),Corporate,390
"nLIGHT, Inc.",nLIGHT,Corporate,403
"FUJIFILM Dimatix, Inc.",FUJIFILM Dimatix,Corporate,407
FPInnovations,FPInnovations,Corporate,410
"Truckee Applied Genomics, LLC",Truckee Applied Genomics,Corporate,424
"Agrigenetics, Inc.",Agrigenetics,Corporate,437
"Rockwell Automation Technologies, Inc.",Rockwell Automation Technologies,Corporate,446
"Sarepta Therapeutics, Inc.",Sarepta Therapeutics,Corporate,447
"Pacific Biosciences of California, Inc.",Pacific Biosciences of California,Corporate,450
"Sima Therapeutics, Inc.",Sima Therapeutics,Corporate,450
"Babcock Power Services, Inc.",Babcock Power Services,Corporate,463
"Carbon3D, Inc.",Carbon3D,Corporate,465
"Chromalox, Inc.",Chromalox,Corporate,465
"Meyer Tool, Inc.",Meyer Tool,Corporate,466
CSEM Centre Suisse d'Electronique et de Microtechnique SA-Recherche et Developpement,CSEM Centre Suisse d'Electronique et de Microtechnique SA-Recherche et Developpement,Corporate,469
"Piksel, Inc.",Piksel,Corporate,472
"PDF Solutions, Inc.",PDF Solutions,Corporate,474
"Amicus Therapeutics, Inc.",Amicus Therapeutics,Corporate,481
"HRL Laboratories, LLC",HRL Laboratories,Corporate,483
"New England Biolabs, Inc.",New England Biolabs,Corporate,483
"Praxair Technology, Inc.",Praxair Technology,Corporate,483
"AG ENERGY SOLUTIONS, INC.",AG ENERGY SOLUTIONS,Corporate,491
"SCHOTTKY LSI, INC.",SCHOTTKY LSI,Corporate,491
"WAFERTECH, LLC",WAFERTECH,Corporate,505
"AstenJohnson, Inc.",AstenJohnson,Corporate,519
"PTC Therapeutics, Inc.",PTC Therapeutics,Corporate,524
"Meso Scale Technologies, LLC.",Meso Scale Technologies,Corporate,532
"Isis Pharmaceuticals, Inc.",Isis Pharmaceuticals,Corporate,543
DEKA Products Limited Partnership,DEKA Products Limited Partnership,Corporate,551
"Lake Lite, Inc.",Lake Lite,Corporate,557
Bluestar Silicones France,Bluestar Silicones France,Corporate,563
"AGC Flat Glass North America, Inc.",AGC Flat Glass North America,Corporate,574
"Varian Semiconductor Equipment Associates, Inc.",Varian Semiconductor Equipment Associates,Corporate,574
"CELLTRION, INC.",CELLTRION,Corporate,575
Kawasaki Jukogyo Kabushiki Kaisha,Kawasaki Jukogyo Kabushiki Kaisha,Corporate,586
"MONTEREY RESEARCH, LLC",MONTEREY RESEARCH,Corporate,593
"ARBOR THERAPEUTICS, LLC",ARBOR THERAPEUTICS,Corporate,607
"Veracode, Inc.",Veracode,Corporate,607
"MAXLINEAR, INC.",MAXLINEAR,Corporate,641
"CMC ICOS BIOLOGICS, INC.",CMC ICOS BIOLOGICS,Corporate,670
"22nd Century Limited, LLC",22nd Century Limited,Corporate,707
"Digital Wind Systems, Inc.",Digital Wind Systems,Corporate,714
"DPD, Inc.",DPD,Corporate,724
Olympus NDT,Olympus NDT,Corporate,728
LifeNet Health,LifeNet Health,Corporate,736
TEKNOR APEX COMPANY,TEKNOR APEX COMPANY,Corporate,761
"UT-Battelle, LLC",UT-Battelle,Corporate,763
"Thorlabs Quantum Electronics, Inc.",Thorlabs Quantum Electronics,Corporate,780
"Thorlabs, Inc.",Thorlabs,Corporate,780
"AMO Wavefront Sciences, LLC",AMO Wavefront Sciences,Corporate,787
"Electrix, Inc.",Electrix,Corporate,787
"Braun Intertec Geothermal, LLC",Braun Intertec Geothermal,Corporate,796
"Transitions Optical, Inc.",Transitions Optical,Corporate,853
"Integrated DNA Technologies, Inc.",Integrated DNA Technologies,Corporate,865
"Novellus Systems, Inc.",Novellus Systems,Corporate,867
"SunEdison, Inc.",SunEdison,Corporate,893
"OFS Fitel, LLC",OFS Fitel,Corporate,915
"Power Integrations, Inc.",Power Integrations,Corporate,936
"OmniVision Technologies, Inc.",OmniVision Technologies,Corporate,962
"RES USA, LLC",RES USA,Corporate,963
Takeda Pharmaceutical Company Limited,Takeda Pharmaceutical Company Limited,Corporate,966
"POET Research, Inc",POET Research,Corporate,969
SunEdison Semiconductor Limited,SunEdison Semiconductor Limited,Corporate,973
"Fenwal, Inc.",Fenwal,Corporate,977
"Genomic Health, Inc.",Genomic Health,Corporate,983
"Chemtreat, Inc.",Chemtreat,Corporate,"1,000"
"Matrix Odyssey, LLC",Matrix Odyssey,Corporate,"1,059"
Rohm and Haas Company,Rohm and Haas Company,Corporate,"1,066"
"RF Micro Devices, Inc.",RF Micro Devices,Corporate,"1,117"
Watlow Electric Manufacturing Company,Watlow Electric Manufacturing Company,Corporate,"1,122"
"Alnylam Pharmaceuticals, Inc.",Alnylam Pharmaceuticals,Corporate,"1,125"
"Sumitomo Electric Industries, Ltd.",Sumitomo Electric Industries,Corporate,"1,127"
"Sumitomo Electric Device Innovations, Inc.",Sumitomo Electric Device Innovations,Corporate,"1,130"
"Plasma Tech Holdings, LLC",Plasma Tech Holdings,Corporate,"1,133"
"Cavium, Inc.",Cavium,Corporate,"1,140"
"Christie Digital Systems, Inc.",Christie Digital Systems,Corporate,"1,167"
"Battelle Energy Alliance, LLC",Battelle Energy Alliance,Corporate,"1,235"
CP KELCO APS,CP KELCO APS,Corporate,"1,238"
Ivoclar Vivadent AG,Ivoclar Vivadent AG,Corporate,"1,256"
"GOJO Industries, Inc.",GOJO Industries,Corporate,"1,296"
"SUMITOMO WIRING SYSTEMS, LTD.",SUMITOMO WIRING SYSTEMS,Corporate,"1,319"
"Globus Medical, Inc.",Globus Medical,Corporate,"1,371"
"Coriant Advanced Technology, LLC",Coriant Advanced Technology,Corporate,"1,380"
"Oculus VR, LLC",Oculus VR,Corporate,"1,388"
"Ventana Medical Systems, Inc.",Ventana Medical Systems,Corporate,"1,400"
"Stratasys, Inc.",Stratasys,Corporate,"1,427"
ATI Technologies ULC,ATI Technologies ULC,Corporate,"1,511"
SICPA Holding SA,SICPA Holding SA,Corporate,"1,658"
"SRG Global, Inc.",SRG Global,Corporate,"1,812"
"Masimo Semiconductor, Inc.",Masimo Semiconductor,Corporate,"1,898"
"Adtran, Inc.",Adtran,Corporate,"1,901"
"Integrated Device Technology, Inc.",Integrated Device Technology,Corporate,"1,912"
Alcatel Lucent,Alcatel Lucent,Corporate,"1,951"
"Allison Transmission, Inc.",Allison Transmission,Corporate,"1,959"
"Silicon Storage Technology, Inc.",Silicon Storage Technology,Corporate,"2,011"
Fujitsu Limited,Fujitsu Limited,Corporate,"2,075"
"Cyberonics, Inc.",Cyberonics,Corporate,"2,114"
Southwest Research Institute,Southwest Research Institute,Corporate,"2,118"
Pixar,Pixar,Corporate,"2,177"
FEI Company,FEI Company,Corporate,"2,332"
Tokyo Electron Limited,Tokyo Electron Limited,Corporate,"2,347"
Carl Zeiss Meditec AG,Carl Zeiss Meditec AG,Corporate,"2,379"
"Bostik, Inc.",Bostik,Corporate,"2,437"
"Delphi Technologies, Inc.",Delphi Technologies,Corporate,"2,577"
Johns Manville,Johns Manville,Corporate,"2,578"
IMEC,IMEC,Corporate,"2,593"
"Entegris, Inc.",Entegris,Corporate,"2,625"
"SunRun, Inc.",SunRun,Corporate,"2,702"
Kemira OY,Kemira OY,Corporate,"2,743"
The Boeing Company,The Boeing Company,Corporate,"2,774"
Heidelberger Druckmaschinen AG,Heidelberger Druckmaschinen AG,Corporate,"2,779"
"Alexion Pharmaceuticals, Inc.",Alexion Pharmaceuticals,Corporate,"2,790"
"FLIR Systems, Inc.",FLIR Systems,Corporate,"2,796"
"Riverbed Technology, Inc.",Riverbed Technology,Corporate,"2,810"
"Cree, Inc.",Cree,Corporate,"2,975"
"Guardian Industries, Inc.",Guardian Industries,Corporate,"3,093"
Milliken & Company,Milliken & Company,Corporate,"3,122"
"First Solar, Inc.",First Solar,Corporate,"3,227"
"Crepaco, Inc.",Crepaco,Corporate,"3,512"
"DRS Network & Imaging Systems, LLC",DRS Network & Imaging Systems,Corporate,"3,567"
Sick AG,Sick AG,Corporate,"3,647"
"Mallinckrodt, Inc.",Mallinckrodt,Corporate,"3,661"
"Johnson & Johnson Vision Care, Inc.",Johnson & Johnson Vision Care,Corporate,"3,774"
"UChicago Argonne, LLC",UChicago Argonne,Corporate,"3,780"
Nederlandse Organisatie voor toegepast-natuurwetenschappelijk onderzoek TNO,Nederlandse Organisatie voor toegepast-natuurwetenschappelijk onderzoek TNO,Corporate,"3,848"
Chevron Phillips Chemical Company LP,Chevron Phillips Chemical Company LP,Corporate,"3,865"
BlackBerry Limited,BlackBerry Limited,Corporate,"4,015"
"Domtar Paper Company, LLC",Domtar Paper Company,Corporate,"4,036"
"Bemis Company, Inc.",Bemis Company,Corporate,"4,038"
"Ortho-Clinical Diagnostics, Inc.",Ortho-Clinical Diagnostics,Corporate,"4,059"
SAINT-GOBAIN ABRASIFS,SAINT-GOBAIN ABRASIFS,Corporate,"4,075"
"Star Technology and Research, Inc.",Star Technology and Research,Corporate,"4,360"
Battelle Memorial Institute,Battelle Memorial Institute,Corporate,"4,365"
Nalco Company,Nalco Company,Corporate,"4,381"
"Twitter, Inc.",Twitter,Corporate,"4,383"
Dresser-Rand Company,Dresser-Rand Company,Corporate,"4,550"
"Intuitive Surgical Operations, Inc.",Intuitive Surgical Operations,Corporate,"4,566"
"Carestream Health, Inc.",Carestream Health,Corporate,"4,793"
"Hitachi, Ltd.",Hitachi,Corporate,"4,924"
Novozymes A/S,Novozymes A/S,Corporate,"5,129"
"Novozymes North America, Inc.",Novozymes North America,Corporate,"5,144"
"Dana-Farber Cancer Institute, Inc.",Dana-Farber Cancer Institute,Corporate,"5,261"
"Amkor Technology, Inc.",Amkor Technology,Corporate,"5,293"
Commonwealth Scientific & Industrial Research Organization,Commonwealth Scientific & Industrial Research Organization,Corporate,"5,349"
"Illinois Tool Works, Inc.",Illinois Tool Works,Corporate,"5,526"
"Abengoa Bioenergy New Technologies, LLC.",Abengoa Bioenergy New Technologies,Corporate,"5,770"
"Lawrence Livermore National Security, LLC",Lawrence Livermore National Security,Corporate,"6,014"
BOLTIER R&D,BOLTIER R&D,Corporate,"6,234"
Stora Enso Oyj,Stora Enso Oyj,Corporate,"6,265"
"Cadence Design Systems, Inc.",Cadence Design Systems,Corporate,"6,465"
"Cornell Research Foundation, Inc.",Cornell Research Foundation,Corporate,"6,529"
Johnson Matthey PLC,Johnson Matthey PLC,Corporate,"6,865"
Maxim Integrated Products,Maxim Integrated Products,Corporate,"6,870"
"Bio-Rad Laboratories, Inc.",Bio-Rad Laboratories,Corporate,"6,983"
"Agilent Technologies, Inc.",Agilent Technologies,Corporate,"7,156"
"Janssen Biotech, Inc.",Janssen Biotech,Corporate,"7,169"
"Nationwide Children's Hospital, Inc.",Nationwide Children's Hospital,Corporate,"7,443"
Biocon Limited,Biocon Limited,Corporate,"7,585"
"Regeneron Pharmaceuticals, Inc.",Regeneron Pharmaceuticals,Corporate,"7,670"
"Los Alamos National Security, LLC",Los Alamos National Security,Corporate,"7,970"
"ServiceNow, Inc.",ServiceNow,Corporate,"8,175"
"Freescale Semiconductor, Inc.",Freescale Semiconductor,Corporate,"8,324"
Eastman Kodak Company,Eastman Kodak Company,Corporate,"8,702"
Eastman Chemical Company,Eastman Chemical Company,Corporate,"8,809"
"DePuy Synthes Products, LLC",DePuy Synthes Products,Corporate,"8,968"
"Smith & Nephew, Inc.",Smith & Nephew,Corporate,"9,880"
"Semiconductor Components Industries, L.L.C.",Semiconductor Components Industries,Corporate,"10,270"
"Analog Devices, Inc.",Analog Devices,Corporate,"10,359"
Sanofi,Sanofi,Corporate,"10,417"
"Gilead Sciences, Inc.",Gilead Sciences,Corporate,"11,034"
"AIR PRODUCTS AND CHEMICALS, INC.",AIR PRODUCTS AND CHEMICALS,Corporate,"11,192"
"Red Hat, Inc.",Red Hat,Corporate,"11,400"
"NCC Nano, LLC",NCC Nano,Corporate,"11,634"
"Siemens Energy, Inc.",Siemens Energy,Corporate,"11,769"
"NetApp, Inc.",NetApp,Corporate,"11,908"
"Toyota Motor Engineering & Manufacturing North America, Inc.",Toyota Motor Engineering & Manufacturing North America,Corporate,"11,982"
Archer Daniels Midland Company,Archer Daniels Midland Company,Corporate,"12,390"
"Western Digital (Fremont), LLC",Western Digital (Fremont),Corporate,"12,436"
"Teradata US, Inc.",Teradata US,Corporate,"14,083"
"Micron Technology, Inc.",Micron Technology,Corporate,"16,147"
Infineon Technologies AG,Infineon Technologies AG,Corporate,"16,411"
"NXP USA, INC.",NXP USA,Corporate,"16,995"
"Applied Materials, Inc.",Applied Materials,Corporate,"17,951"
"Solvay Specialty Polymers USA, LLC",Solvay Specialty Polymers USA,Corporate,"18,818"
The Goodyear Tire & Rubber Company,The Goodyear Tire & Rubber Company,Corporate,"19,016"
"Rockwell Collins, Inc.",Rockwell Collins,Corporate,"20,137"
STMicroelectronics Limited,STMicroelectronics Limited,Corporate,"20,757"
"PPG Industries Ohio, Inc.",PPG Industries Ohio,Corporate,"21,397"
"Alcon Research, Ltd.",Alcon Research,Corporate,"21,409"
"Genentech, Inc.",Genentech,Corporate,"21,635"
"Saint-Gobain Ceramics & Plastics, Inc.",Saint-Gobain Ceramics & Plastics,Corporate,"21,928"
"Becton, Dickinson and Company",Becton,Corporate,"24,087"
Colgate-Palmolive Company,Colgate-Palmolive Company,Corporate,"24,143"
Syngenta Participations AG,Syngenta Participations AG,Corporate,"24,314"
Baxter Healthcare SA,Baxter Healthcare SA,Corporate,"24,877"
Rolls-Royce PLC,Rolls-Royce PLC,Corporate,"27,091"
"Rolls-Royce North American Technologies, Inc.",Rolls-Royce North American Technologies,Corporate,"27,095"
"American Air Liquide, Inc.",American Air Liquide,Corporate,"28,422"
"Boston Scientific Scimed, Inc.",Boston Scientific Scimed,Corporate,"29,164"
Bristol-Myers Squibb Company,Bristol-Myers Squibb Company,Corporate,"29,517"
"Nissan North America, Inc.",Nissan North America,Corporate,"35,036"
adidas AG,adidas AG,Corporate,"35,663"
"CPT IP Holdings, LLC",CPT IP Holdings,Corporate,"36,545"
"Thermo Finnigan, LLC",Thermo Finnigan,Corporate,"38,536"
